run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,test_075.png,closing,0.75,4,0.90793,0.98286,1,0,0
A_dice_s0,A_dice,test_075.png,closing,1.0,6,0.89522,0.97554,0,1,-1
A_dice_s0,A_dice,test_075.png,closing,1.5,9,0.87115,0.95976,1,1,-1
A_dice_s0,A_dice,test_075.png,closing,2.0,12,0.83941,0.93936,0,3,-3
A_dice_s0,A_dice,test_075.png,bridge_only,0.0,0,0.92444,0.99572,0,0,0
A_dice_s0,A_dice,test_075.png,bridge_only,0.25,2,0.91866,0.99108,0,1,-1
A_dice_s0,A_dice,test_075.png,bridge_only,0.5,3,0.91538,0.9875,1,0,0
A_dice_s0,A_dice,test_075.png,bridge_only,0.75,4,0.9115,0.98287,1,0,0
A_dice_s0,A_dice,test_075.png,bridge_only,1.0,6,0.90204,0.97593,0,1,-1
A_dice_s0,A_dice,test_075.png,bridge_only,1.5,9,0.8863,0.95983,1,1,-1
A_dice_s0,A_dice,test_075.png,bridge_only,2.0,12,0.86866,0.94244,0,3,-3
A_dice_s0,A_dice,test_076.png,closing,0.0,0,0.88515,0.9977,0,0,0
A_dice_s0,A_dice,test_076.png,closing,0.25,2,0.88831,0.99374,0,5,-5
A_dice_s0,A_dice,test_076.png,closing,0.5,3,0.88586,0.98925,0,9,-9
A_dice_s0,A_dice,test_076.png,closing,0.75,4,0.87547,0.98563,0,11,-11
A_dice_s0,A_dice,test_076.png,closing,1.0,6,0.50151,0.54828,0,318,-318
A_dice_s0,A_dice,test_076.png,closing,1.5,9,0.49652,0.52576,0,321,-321
A_dice_s0,A_dice,test_076.png,closing,2.0,12,0.49258,0.48781,0,321,-321
A_dice_s0,A_dice,test_076.png,bridge_only,0.0,0,0.88515,0.9977,0,0,0
A_dice_s0,A_dice,test_076.png,bridge_only,0.25,2,0.88005,0.99363,0,5,-5
A_dice_s0,A_dice,test_076.png,bridge_only,0.5,3,0.87676,0.98917,0,9,-9
A_dice_s0,A_dice,test_076.png,bridge_only,0.75,4,0.87283,0.98597,0,11,-11
A_dice_s0,A_dice,test_076.png,bridge_only,1.0,6,0.81564,0.95011,1,16,-16
A_dice_s0,A_dice,test_076.png,bridge_only,1.5,9,0.81063,0.94261,1,25,-25
A_dice_s0,A_dice,test_076.png,bridge_only,2.0,12,0.80492,0.93296,0,34,-34
A_dice_s0,A_dice,test_077.png,closing,0.0,0,0.91768,0.99996,0,0,0
A_dice_s0,A_dice,test_077.png,closing,0.25,2,0.91253,0.9928,0,1,-1
A_dice_s0,A_dice,test_077.png,closing,0.5,3,0.90946,0.9904,0,2,-2
A_dice_s0,A_dice,test_077.png,closing,0.75,4,0.90493,0.9868,0,2,-2
A_dice_s0,A_dice,test_077.png,closing,1.0,6,0.89285,0.9778,0,3,-3
A_dice_s0,A_dice,test_077.png,closing,1.5,9,0.86829,0.96317,0,5,-5
A_dice_s0,A_dice,test_077.png,closing,2.0,12,0.46586,0.58949,0,48,-48
A_dice_s0,A_dice,test_077.png,bridge_only,0.0,0,0.91768,0.99996,0,0,0
A_dice_s0,A_dice,test_077.png,bridge_only,0.25,2,0.91149,0.99299,0,1,-1
A_dice_s0,A_dice,test_077.png,bridge_only,0.5,3,0.90828,0.99071,0,2,-2
A_dice_s0,A_dice,test_077.png,bridge_only,0.75,4,0.90467,0.98699,0,2,-2
A_dice_s0,A_dice,test_077.png,bridge_only,1.0,6,0.8961,0.97826,0,4,-4
A_dice_s0,A_dice,test_077.png,bridge_only,1.5,9,0.8823,0.96548,0,5,-5
A_dice_s0,A_dice,test_077.png,bridge_only,2.0,12,0.75852,0.89313,0,6,-6
A_dice_s0,A_dice,test_078.png,closing,0.0,0,0.84083,0.98033,0,1,1
A_dice_s0,A_dice,test_078.png,closing,0.25,2,0.83461,0.97685,1,1,-1
