epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.7749,0.8215,0.8443,44.2,30.0,3.3536,1.1
20,0.7472,0.8179,0.8458,51.0,27.0,2.9515,2.2
30,0.735,0.8193,0.8453,48.0,24.0,3.1073,3.2
40,0.7272,0.8235,0.8521,37.8,28.8,3.1443,4.3
50,0.7241,0.8199,0.8504,48.6,26.8,2.7416,5.3
60,0.7155,0.8172,0.8491,45.6,26.0,2.7812,6.4
70,0.7138,0.8164,0.8464,56.2,23.0,2.9665,7.4
80,0.7113,0.8167,0.851,48.8,27.8,2.7469,8.5
90,0.7082,0.816,0.8497,46.6,28.8,2.9689,9.5
100,0.7052,0.8167,0.8495,47.8,26.0,2.8997,10.5
