epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.273,0.9205,0.9583,8.05,19.65,2.3982,0.7
20,0.255,0.9207,0.9587,7.05,10.15,2.3935,1.4
30,0.2464,0.9227,0.9596,5.85,13.5,2.3454,2.1
40,0.2395,0.9218,0.9572,7.4,9.95,2.4971,2.8
50,0.2357,0.9219,0.9577,8.45,12.8,2.3022,3.5
60,0.2288,0.923,0.9591,7.95,14.45,2.2787,4.2
70,0.2294,0.9237,0.9593,9.05,16.7,2.282,4.9
80,0.228,0.9236,0.9594,10.15,11.5,2.2728,5.6
90,0.223,0.9239,0.9596,8.8,11.7,2.2585,6.3
100,0.2221,0.9233,0.9564,9.65,19.65,2.4274,7.0
