epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4539,0.8217,0.8339,46.2,27.7,4.6398,1.5
20,0.4344,0.8215,0.8293,56.0,26.2,4.0213,3.0
30,0.4305,0.8254,0.8348,56.7,24.95,3.5288,4.6
40,0.4234,0.8251,0.8352,49.05,23.8,3.6768,6.0
50,0.424,0.826,0.8336,57.7,24.6,3.5092,7.5
60,0.4138,0.8255,0.8355,50.85,24.8,3.5848,9.0
70,0.4127,0.8255,0.8354,51.6,23.8,3.5579,10.4
80,0.4108,0.8241,0.831,57.25,26.25,3.3286,11.9
90,0.4047,0.826,0.8368,47.0,25.0,3.5418,13.3
100,0.4054,0.8275,0.8375,54.35,23.9,3.4628,14.8
