run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,12_g,closing,1.5,6,0.78784,0.79834,27,45,-45
A_dice_s0,A_dice,12_g,closing,2.0,8,0.76921,0.78622,19,46,-46
A_dice_s0,A_dice,12_g,bridge_only,0.0,0,0.81495,0.81652,80,47,-47
A_dice_s0,A_dice,12_g,bridge_only,0.25,1,0.81443,0.81635,76,44,-44
A_dice_s0,A_dice,12_g,bridge_only,0.5,2,0.81351,0.81537,58,45,-45
A_dice_s0,A_dice,12_g,bridge_only,0.75,3,0.81179,0.81437,50,44,-44
A_dice_s0,A_dice,12_g,bridge_only,1.0,4,0.809,0.8129,48,42,-42
A_dice_s0,A_dice,12_g,bridge_only,1.5,6,0.79933,0.80611,45,38,-38
A_dice_s0,A_dice,12_g,bridge_only,2.0,8,0.78774,0.79892,42,39,-39
A_dice_s0,A_dice,12_h,closing,0.0,0,0.86897,0.9061,90,11,11
A_dice_s0,A_dice,12_h,closing,0.25,1,0.86876,0.90704,83,6,6
A_dice_s0,A_dice,12_h,closing,0.5,2,0.86827,0.90599,71,6,6
A_dice_s0,A_dice,12_h,closing,0.75,3,0.8659,0.90313,58,6,6
A_dice_s0,A_dice,12_h,closing,1.0,4,0.86339,0.90034,44,5,5
A_dice_s0,A_dice,12_h,closing,1.5,6,0.85083,0.8892,32,11,11
A_dice_s0,A_dice,12_h,closing,2.0,8,0.83217,0.87432,29,14,14
A_dice_s0,A_dice,12_h,bridge_only,0.0,0,0.86897,0.9061,90,11,11
A_dice_s0,A_dice,12_h,bridge_only,0.25,1,0.86869,0.90635,86,13,13
A_dice_s0,A_dice,12_h,bridge_only,0.5,2,0.86832,0.90593,80,13,13
A_dice_s0,A_dice,12_h,bridge_only,0.75,3,0.86706,0.90438,74,17,17
A_dice_s0,A_dice,12_h,bridge_only,1.0,4,0.86548,0.90318,65,18,18
A_dice_s0,A_dice,12_h,bridge_only,1.5,6,0.85788,0.89614,53,21,21
A_dice_s0,A_dice,12_h,bridge_only,2.0,8,0.84572,0.88678,51,24,24
A_dice_s0,A_dice,13_dr,closing,0.0,0,0.79734,0.77605,62,32,-32
A_dice_s0,A_dice,13_dr,closing,0.25,1,0.7972,0.77696,54,42,-42
A_dice_s0,A_dice,13_dr,closing,0.5,2,0.79702,0.77688,47,39,-39
A_dice_s0,A_dice,13_dr,closing,0.75,3,0.79556,0.77473,38,43,-43
A_dice_s0,A_dice,13_dr,closing,1.0,4,0.79274,0.77233,25,41,-41
A_dice_s0,A_dice,13_dr,closing,1.5,6,0.78234,0.76578,16,39,-39
A_dice_s0,A_dice,13_dr,closing,2.0,8,0.76226,0.75369,6,38,-38
A_dice_s0,A_dice,13_dr,bridge_only,0.0,0,0.79734,0.77605,62,32,-32
A_dice_s0,A_dice,13_dr,bridge_only,0.25,1,0.79705,0.77653,55,30,-30
A_dice_s0,A_dice,13_dr,bridge_only,0.5,2,0.79655,0.77657,49,26,-26
A_dice_s0,A_dice,13_dr,bridge_only,0.75,3,0.79578,0.7765,42,25,-25
A_dice_s0,A_dice,13_dr,bridge_only,1.0,4,0.79359,0.77463,31,23,-23
A_dice_s0,A_dice,13_dr,bridge_only,1.5,6,0.78752,0.77209,24,21,-21
A_dice_s0,A_dice,13_dr,bridge_only,2.0,8,0.77555,0.76572,16,20,-20
A_dice_s0,A_dice,13_g,closing,0.0,0,0.78081,0.79941,60,80,-80
A_dice_s0,A_dice,13_g,closing,0.25,1,0.78049,0.7993,56,79,-79
A_dice_s0,A_dice,13_g,closing,0.5,2,0.77915,0.79852,46,77,-77
A_dice_s0,A_dice,13_g,closing,0.75,3,0.77587,0.79477,40,74,-74
A_dice_s0,A_dice,13_g,closing,1.0,4,0.7719,0.79167,36,70,-70
A_dice_s0,A_dice,13_g,closing,1.5,6,0.75811,0.78032,28,68,-68
A_dice_s0,A_dice,13_g,closing,2.0,8,0.7351,0.76555,16,73,-73
A_dice_s0,A_dice,13_g,bridge_only,0.0,0,0.78081,0.79941,60,80,-80
A_dice_s0,A_dice,13_g,bridge_only,0.25,1,0.78056,0.79939,59,77,-77
A_dice_s0,A_dice,13_g,bridge_only,0.5,2,0.77993,0.79936,51,76,-76
A_dice_s0,A_dice,13_g,bridge_only,0.75,3,0.77827,0.79774,46,73,-73
A_dice_s0,A_dice,13_g,bridge_only,1.0,4,0.77652,0.7968,43,70,-70
A_dice_s0,A_dice,13_g,bridge_only,1.5,6,0.76948,0.7922,40,67,-67
A_dice_s0,A_dice,13_g,bridge_only,2.0,8,0.75823,0.78607,30,68,-68
A_dice_s0,A_dice,13_h,closing,0.0,0,0.84786,0.88627,87,10,10
A_dice_s0,A_dice,13_h,closing,0.25,1,0.84759,0.88729,79,4,4
A_dice_s0,A_dice,13_h,closing,0.5,2,0.84677,0.88746,67,11,11
A_dice_s0,A_dice,13_h,closing,0.75,3,0.84472,0.88572,59,15,15
A_dice_s0,A_dice,13_h,closing,1.0,4,0.84083,0.8847,53,13,13
A_dice_s0,A_dice,13_h,closing,1.5,6,0.82701,0.87519,38,17,17
A_dice_s0,A_dice,13_h,closing,2.0,8,0.80799,0.86184,29,21,21
A_dice_s0,A_dice,13_h,bridge_only,0.0,0,0.84786,0.88627,87,10,10
A_dice_s0,A_dice,13_h,bridge_only,0.25,1,0.84752,0.88694,81,14,14
A_dice_s0,A_dice,13_h,bridge_only,0.5,2,0.84683,0.88699,73,20,20
A_dice_s0,A_dice,13_h,bridge_only,0.75,3,0.84556,0.88585,66,27,27
A_dice_s0,A_dice,13_h,bridge_only,1.0,4,0.84268,0.88475,60,25,25
A_dice_s0,A_dice,13_h,bridge_only,1.5,6,0.83177,0.87749,45,27,27
A_dice_s0,A_dice,13_h,bridge_only,2.0,8,0.81857,0.86837,39,29,29
A_dice_s0,A_dice,14_dr,closing,0.0,0,0.77275,0.76894,37,98,-98
A_dice_s0,A_dice,14_dr,closing,0.25,1,0.77234,0.76904,30,119,-119
A_dice_s0,A_dice,14_dr,closing,0.5,2,0.7708,0.76798,20,123,-123
A_dice_s0,A_dice,14_dr,closing,0.75,3,0.76811,0.76455,13,122,-122
A_dice_s0,A_dice,14_dr,closing,1.0,4,0.76327,0.76124,6,120,-120
A_dice_s0,A_dice,14_dr,closing,1.5,6,0.7456,0.74872,7,124,-124
A_dice_s0,A_dice,14_dr,closing,2.0,8,0.72312,0.73494,18,129,-129
A_dice_s0,A_dice,14_dr,bridge_only,0.0,0,0.77275,0.76894,37,98,-98
A_dice_s0,A_dice,14_dr,bridge_only,0.25,1,0.77231,0.76848,34,94,-94
A_dice_s0,A_dice,14_dr,bridge_only,0.5,2,0.77133,0.76741,26,94,-94
A_dice_s0,A_dice,14_dr,bridge_only,0.75,3,0.76958,0.76588,19,91,-91
A_dice_s0,A_dice,14_dr,bridge_only,1.0,4,0.76639,0.76408,14,87,-87
A_dice_s0,A_dice,14_dr,bridge_only,1.5,6,0.75627,0.75647,3,83,-83
A_dice_s0,A_dice,14_dr,bridge_only,2.0,8,0.7417,0.74787,4,84,-84
A_dice_s0,A_dice,14_g,closing,0.0,0,0.77244,0.78111,84,96,-96
A_dice_s0,A_dice,14_g,closing,0.25,1,0.77217,0.78126,80,98,-98
A_dice_s0,A_dice,14_g,closing,0.5,2,0.77088,0.78048,71,96,-96
A_dice_s0,A_dice,14_g,closing,0.75,3,0.7683,0.7777,62,94,-94
A_dice_s0,A_dice,14_g,closing,1.0,4,0.76506,0.77463,55,96,-96
A_dice_s0,A_dice,14_g,closing,1.5,6,0.75259,0.76695,45,95,-95
A_dice_s0,A_dice,14_g,closing,2.0,8,0.73469,0.75337,39,93,-93
A_dice_s0,A_dice,14_g,bridge_only,0.0,0,0.77244,0.78111,84,96,-96
A_dice_s0,A_dice,14_g,bridge_only,0.25,1,0.77216,0.78097,81,93,-93
A_dice_s0,A_dice,14_g,bridge_only,0.5,2,0.77136,0.78061,74,91,-91
A_dice_s0,A_dice,14_g,bridge_only,0.75,3,0.77006,0.77962,67,89,-89
A_dice_s0,A_dice,14_g,bridge_only,1.0,4,0.76867,0.77834,64,88,-88
A_dice_s0,A_dice,14_g,bridge_only,1.5,6,0.7622,0.77391,58,87,-87
A_dice_s0,A_dice,14_g,bridge_only,2.0,8,0.75364,0.76788,55,85,-85
A_dice_s0,A_dice,14_h,closing,0.0,0,0.84907,0.89616,92,3,3
A_dice_s0,A_dice,14_h,closing,0.25,1,0.84877,0.89741,83,2,-2
A_dice_s0,A_dice,14_h,closing,0.5,2,0.84797,0.89717,79,4,-4
A_dice_s0,A_dice,14_h,closing,0.75,3,0.84662,0.89459,68,1,1
A_dice_s0,A_dice,14_h,closing,1.0,4,0.84335,0.89139,58,3,3
A_dice_s0,A_dice,14_h,closing,1.5,6,0.83125,0.88119,44,9,9
A_dice_s0,A_dice,14_h,closing,2.0,8,0.81079,0.8661,37,10,10
A_dice_s0,A_dice,14_h,bridge_only,0.0,0,0.84907,0.89616,92,3,3
A_dice_s0,A_dice,14_h,bridge_only,0.25,1,0.84883,0.89646,84,3,3
A_dice_s0,A_dice,14_h,bridge_only,0.5,2,0.84826,0.89616,81,4,4
A_dice_s0,A_dice,14_h,bridge_only,0.75,3,0.84743,0.89461,73,8,8
