epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,1.407,0.7515,0.7936,139.4,17.6,8.2348,0.9
20,1.3861,0.7384,0.759,242.4,19.8,11.2537,1.7
30,1.3274,0.7438,0.7723,174.6,20.6,10.3608,2.5
40,1.3146,0.7612,0.7955,165.2,20.2,8.7461,3.4
50,1.2963,0.7801,0.8243,89.0,19.8,5.8327,4.2
60,1.276,0.7525,0.7843,188.2,21.0,8.9497,5.0
70,1.2875,0.7636,0.7976,162.8,21.0,8.6217,5.9
80,1.2694,0.7592,0.7931,156.4,18.0,8.6908,6.7
90,1.2702,0.7496,0.7809,162.2,16.4,9.8579,7.5
100,1.2626,0.7675,0.8016,149.0,19.6,7.9458,8.4
