epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4572,0.8174,0.8273,79.05,30.75,3.9995,13.8
20,0.4458,0.8236,0.8333,53.9,27.6,3.8271,27.6
30,0.4365,0.8229,0.83,66.5,29.75,3.5904,41.4
40,0.4294,0.8256,0.8341,48.7,28.55,4.0145,55.2
50,0.4306,0.8221,0.8316,59.05,24.15,3.6118,69.0
60,0.4222,0.8255,0.8334,48.95,26.3,3.9264,82.8
70,0.4218,0.8251,0.837,51.45,24.95,3.5978,96.7
80,0.4231,0.8226,0.8322,52.75,27.4,3.729,110.5
90,0.4191,0.8234,0.8315,54.75,27.2,3.7011,124.4
100,0.4148,0.8244,0.8338,58.45,25.4,3.4851,138.2
