epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4647,0.8208,0.832,74.2,28.0,3.0032,0.9
20,0.4518,0.8249,0.8363,63.2,33.0,3.1657,1.7
30,0.4429,0.8231,0.8294,60.8,30.8,3.3672,2.5
40,0.4377,0.8274,0.8376,49.6,30.0,2.9715,3.4
50,0.4352,0.8281,0.8384,48.8,28.8,3.2752,4.2
60,0.4256,0.8267,0.8351,51.0,29.2,3.2084,5.0
70,0.4265,0.8239,0.8321,58.4,27.0,3.0327,5.9
80,0.4232,0.8243,0.8321,53.0,28.2,3.2459,6.7
90,0.4214,0.825,0.8347,56.0,28.4,3.2459,7.5
100,0.4171,0.8255,0.8355,51.2,28.2,3.1567,8.4
