epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5148,0.8145,0.8267,72.35,30.65,4.1243,1.0
20,0.4978,0.8144,0.8225,82.0,29.3,4.0876,2.0
30,0.4826,0.8173,0.8282,73.2,27.05,4.0392,2.9
40,0.4711,0.8177,0.8245,72.1,27.45,4.1161,3.9
50,0.4598,0.8172,0.8263,65.6,24.6,4.481,4.8
60,0.4597,0.8162,0.8205,76.9,28.25,4.43,5.7
70,0.4559,0.8173,0.8246,66.05,25.65,4.2105,6.6
80,0.4479,0.8151,0.822,64.1,27.1,4.499,7.5
90,0.4507,0.8143,0.8202,78.2,27.25,4.4552,8.3
100,0.4417,0.8129,0.8205,79.2,27.8,4.3935,9.1
