epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.9159,0.8108,0.8386,79.4,26.0,3.8474,0.9
20,0.8927,0.8116,0.8393,73.6,29.6,3.3791,1.8
30,0.8863,0.8098,0.836,81.6,26.8,3.7734,2.6
40,0.8702,0.8113,0.8408,63.8,26.0,3.5193,3.5
50,0.8493,0.8065,0.833,82.0,24.8,4.2796,4.4
60,0.861,0.8109,0.8352,87.0,26.6,4.1407,5.2
70,0.8578,0.8112,0.8408,64.2,30.4,3.584,6.1
80,0.8408,0.8131,0.8396,72.2,28.6,3.5193,7.0
90,0.8418,0.8126,0.8386,64.2,30.0,3.6467,7.8
100,0.8348,0.8116,0.8383,75.8,25.8,3.9217,8.7
