image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_086.png,0.21,8,0.8787,0.97849,0,10
test_086.png,0.52,19,0.8787,0.97849,0,10
test_086.png,1.04,37,0.8787,0.97849,0,10
test_086.png,2.08,75,0.8787,0.97849,0,10
test_086.png,5.21,188,0.8787,0.97849,0,10
test_086.png,10.42,375,0.8787,0.97849,0,10
test_087.png,0.0,0,0.778,0.94283,11,18
test_087.png,0.21,8,0.77807,0.94335,4,18
test_087.png,0.52,19,0.7781,0.94348,3,18
test_087.png,1.04,37,0.7782,0.94361,2,18
test_087.png,2.08,75,0.77853,0.94405,0,18
test_087.png,5.21,188,0.77853,0.94405,0,18
test_087.png,10.42,375,0.77853,0.94405,0,18
test_088.png,0.0,0,0.86132,0.98377,5,225
test_088.png,0.21,8,0.86139,0.98464,2,225
test_088.png,0.52,19,0.86145,0.98536,1,225
test_088.png,1.04,37,0.86145,0.98536,1,225
test_088.png,2.08,75,0.86178,0.98696,0,225
test_088.png,5.21,188,0.86178,0.98696,0,225
test_088.png,10.42,375,0.86178,0.98696,0,225
test_089.png,0.0,0,0.80955,0.98489,2,3
test_089.png,0.21,8,0.80958,0.98516,1,3
test_089.png,0.52,19,0.80969,0.98564,0,3
test_089.png,1.04,37,0.80969,0.98564,0,3
test_089.png,2.08,75,0.80969,0.98564,0,3
test_089.png,5.21,188,0.80969,0.98564,0,3
test_089.png,10.42,375,0.80789,0.97921,1,3
test_090.png,0.0,0,0.78817,0.95962,4,1
test_090.png,0.21,8,0.78822,0.96006,1,1
test_090.png,0.52,19,0.78822,0.96006,1,1
test_090.png,1.04,37,0.78834,0.96016,0,1
test_090.png,2.08,75,0.78834,0.96016,0,1
test_090.png,5.21,188,0.78834,0.96016,0,1
test_090.png,10.42,375,0.78834,0.96016,0,1
test_091.png,0.0,0,0.82878,0.9612,13,22
test_091.png,0.21,8,0.82887,0.96189,7,22
test_091.png,0.52,19,0.82896,0.96241,5,22
test_091.png,1.04,37,0.82939,0.96341,1,22
test_091.png,2.08,75,0.82939,0.96341,1,22
test_091.png,5.21,188,0.82976,0.96431,0,22
test_091.png,10.42,375,0.82976,0.96431,0,22
test_092.png,0.0,0,0.90962,0.99341,0,19
test_092.png,0.21,8,0.90962,0.99341,0,19
test_092.png,0.52,19,0.90962,0.99341,0,19
test_092.png,1.04,37,0.90962,0.99341,0,19
test_092.png,2.08,75,0.90962,0.99341,0,19
test_092.png,5.21,188,0.90962,0.99341,0,19
test_092.png,10.42,375,0.90962,0.99341,0,19
test_093.png,0.0,0,0.95018,0.9823,5,11
test_093.png,0.21,8,0.95029,0.98303,0,11
test_093.png,0.52,19,0.95029,0.98303,0,11
test_093.png,1.04,37,0.95029,0.98303,0,11
test_093.png,2.08,75,0.95029,0.98303,0,11
test_093.png,5.21,188,0.95029,0.98303,0,11
test_093.png,10.42,375,0.95029,0.98303,0,11
test_094.png,0.0,0,0.89514,0.99724,1,2
test_094.png,0.21,8,0.89515,0.99736,0,2
test_094.png,0.52,19,0.89515,0.99736,0,2
test_094.png,1.04,37,0.89515,0.99736,0,2
test_094.png,2.08,75,0.89515,0.99736,0,2
test_094.png,5.21,188,0.89515,0.99736,0,2
test_094.png,10.42,375,0.89515,0.99736,0,2
