epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4581,0.8016,0.8362,62.95,30.35,4.2106,1.3
20,0.4419,0.8031,0.8476,47.25,24.05,4.119,2.5
30,0.4344,0.7997,0.8507,43.1,23.9,4.0658,3.7
40,0.4294,0.8002,0.8498,47.8,24.65,4.0989,4.9
50,0.4267,0.8023,0.854,36.65,24.6,4.0994,6.2
60,0.4256,0.7982,0.8544,40.05,23.6,4.0071,7.4
70,0.4214,0.7998,0.8558,38.95,25.1,4.051,8.7
80,0.4195,0.7987,0.8546,34.65,25.2,4.0927,9.9
90,0.4207,0.7968,0.8568,42.6,24.3,3.8058,11.1
100,0.4148,0.7982,0.8552,37.35,25.35,4.0236,12.4
