epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5659,0.8169,0.8293,75.1,25.85,3.8983,1.1
20,0.5482,0.8207,0.8325,54.9,25.3,4.2592,2.2
30,0.5386,0.8208,0.8289,61.0,28.55,3.7786,3.3
40,0.5275,0.823,0.8338,53.1,26.55,4.1632,4.3
50,0.5305,0.8205,0.8327,55.15,23.85,3.7389,5.4
60,0.5237,0.8235,0.8334,54.6,26.45,3.7581,6.5
70,0.524,0.8228,0.835,59.45,26.85,3.6072,7.6
80,0.5244,0.822,0.8322,51.15,28.45,3.8522,8.6
90,0.5178,0.8224,0.832,52.45,29.2,3.8695,9.7
100,0.5174,0.8227,0.8328,58.9,27.15,3.5686,10.8
