image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0001,ah,0.7191564397211802,0.779685507920764,43,1,47,4,20.248456731316587
im0001,vk,0.7335180425276229,0.742875140927915,44,5,47,3,13.152946437965905
im0002,ah,0.7866190928779545,0.851313218082736,41,9,43,2,12.144905288845973
im0002,vk,0.6846077557949942,0.7274614873334619,39,14,43,4,9.486832980505138
im0003,ah,0.6816083270376899,0.7459242317528934,59,8,68,9,23.345235059857504
im0003,vk,0.5743124468386731,0.5960730369184128,40,29,68,28,16.278820596099706
im0004,ah,0.7868529324343351,0.8431822694428297,28,8,39,11,17.46424919657298
im0004,vk,0.7059718042135277,0.7010627321412572,35,10,39,4,9.055385138137417
im0005,ah,0.7353651333174437,0.7556857918007461,41,34,50,9,25.942243542145693
im0005,vk,0.7445754280763577,0.7493806351033654,39,4,50,11,8.246211251235321
im0044,ah,0.7479931604296921,0.8171826187777154,31,6,47,16,15.0
im0044,vk,0.7835137908647302,0.7397860289597228,40,38,47,7,13.341664064126334
im0077,ah,0.7372800211311784,0.8155055099392986,19,14,26,7,13.416407864998739
im0077,vk,0.8567701818961513,0.8434604540946994,17,24,26,9,6.708203932499369
im0081,ah,0.7420956362686177,0.8284602834688762,24,11,27,3,15.231546211727817
im0081,vk,0.8280475584324134,0.7840823504164706,20,63,27,7,9.848857801796104
im0082,ah,0.7763896820864268,0.8404190809343275,10,2,18,8,9.0
im0082,vk,0.8278509626627173,0.7789147962059839,11,40,18,29,10.295630140987
im0139,ah,0.7039915186853962,0.7990736936338865,59,15,63,4,16.55294535724685
im0139,vk,0.8088300008801197,0.7654702218869723,54,84,63,9,10.04987562112089
