epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5566,0.8168,0.8284,60.05,26.85,4.8549,1.1
20,0.5462,0.8175,0.8264,60.05,27.4,4.3175,2.2
30,0.5372,0.8203,0.8325,62.35,27.7,3.6541,3.4
40,0.5334,0.8219,0.8315,53.35,28.35,4.0959,4.5
50,0.5245,0.8193,0.8371,50.45,27.1,3.8449,5.6
60,0.5292,0.8199,0.8334,57.7,28.1,3.7981,6.7
70,0.526,0.8203,0.8352,52.15,26.35,3.6576,7.8
80,0.5175,0.8233,0.8344,53.55,29.15,3.8205,8.8
90,0.5188,0.8226,0.8333,64.3,28.5,3.5549,9.8
100,0.5157,0.8237,0.8352,54.65,26.25,3.7422,10.9
