epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3961,0.8174,0.8319,59.9,28.05,4.2525,15.6
20,0.3707,0.8152,0.8239,63.45,25.05,4.0451,31.1
30,0.3463,0.8154,0.8241,59.35,25.75,4.2829,46.7
40,0.3286,0.8128,0.8168,67.4,25.55,4.2153,62.3
50,0.3089,0.8092,0.8113,77.85,26.35,4.3601,77.8
60,0.3002,0.8084,0.803,77.6,28.55,4.4948,93.4
70,0.2875,0.8083,0.8042,77.3,27.95,4.3387,108.9
80,0.2758,0.8065,0.8046,77.9,27.1,4.5235,124.5
90,0.2693,0.8037,0.7996,90.85,26.8,4.4083,140.0
100,0.2627,0.8022,0.7963,89.15,28.05,4.5214,155.5
