epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5186,0.8179,0.832,59.15,25.65,4.2694,1.1
20,0.4971,0.8181,0.8266,69.4,24.95,4.0797,2.1
30,0.4828,0.8186,0.8276,61.95,26.1,4.1317,3.2
40,0.4743,0.8159,0.8242,72.7,23.9,4.1485,4.2
50,0.4625,0.8145,0.8213,80.6,25.7,4.4368,5.2
60,0.4582,0.8142,0.8206,73.35,25.95,4.2363,6.3
70,0.4574,0.8158,0.8223,74.75,26.35,4.3086,7.3
80,0.451,0.8144,0.8234,70.9,27.05,4.2768,8.3
90,0.4434,0.8143,0.8192,65.35,26.25,4.5588,9.4
100,0.4404,0.8139,0.819,73.6,28.1,4.2637,10.4
