epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.7477,0.8119,0.8254,67.45,28.25,4.1544,1.1
20,0.7265,0.8191,0.8333,66.05,25.4,3.7304,2.2
30,0.7122,0.8212,0.8344,66.8,25.65,3.5974,3.3
40,0.7055,0.8239,0.8349,54.2,24.8,3.8086,4.4
50,0.7057,0.8234,0.8339,59.3,22.85,3.5581,5.5
60,0.7003,0.8204,0.8358,50.8,24.15,3.7823,6.6
70,0.6954,0.8214,0.8332,63.05,22.6,3.5124,7.7
80,0.6965,0.8207,0.8332,52.9,24.4,3.5316,8.8
90,0.698,0.8218,0.8332,54.7,25.0,3.5319,9.9
100,0.688,0.8229,0.8348,54.5,24.85,3.5624,11.0
