run,config,seed,epoch,threshold,dice,traced
A_dice_clw1_s1,A_dice_clw1,1,10,0.75,0.8024185851538844,0.1819500819804079
A_dice_clw1_s1,A_dice_clw1,1,10,0.775,0.7983345580158628,0.16115845618841837
A_dice_clw1_s1,A_dice_clw1,1,10,0.8,0.7930793656884659,0.14937492899950333
A_dice_clw1_s1,A_dice_clw1,1,10,0.825,0.7862075411262913,0.13781442532739588
A_dice_clw1_s1,A_dice_clw1,1,10,0.85,0.7773351215675709,0.11257788717430962
A_dice_clw1_s1,A_dice_clw1,1,10,0.875,0.7657748351860285,0.09538123706447602
A_dice_clw1_s1,A_dice_clw1,1,10,0.9,0.7505496322010083,0.08007389336184609
A_dice_clw1_s10,A_dice_clw1,10,10,0.1,0.7856939335176534,0.5285939526525295
A_dice_clw1_s10,A_dice_clw1,10,10,0.125,0.7932742243373099,0.5087442571526312
A_dice_clw1_s10,A_dice_clw1,10,10,0.15,0.7988835031867841,0.4932168392874109
A_dice_clw1_s10,A_dice_clw1,10,10,0.175,0.8030897173822871,0.4794578951843616
A_dice_clw1_s10,A_dice_clw1,10,10,0.2,0.8064062257105603,0.45217544606380805
A_dice_clw1_s10,A_dice_clw1,10,10,0.225,0.8092005525587895,0.43588492598923273
A_dice_clw1_s10,A_dice_clw1,10,10,0.25,0.811176407338509,0.41190162167096966
A_dice_clw1_s10,A_dice_clw1,10,10,0.275,0.8128352276387824,0.40329379539247506
A_dice_clw1_s10,A_dice_clw1,10,10,0.3,0.8142866537336008,0.3799097493289614
A_dice_clw1_s10,A_dice_clw1,10,10,0.325,0.8155045847246515,0.36826691266201195
A_dice_clw1_s10,A_dice_clw1,10,10,0.35,0.8165412141379981,0.3593697635426221
A_dice_clw1_s10,A_dice_clw1,10,10,0.375,0.817264422370162,0.3487945276434497
A_dice_clw1_s10,A_dice_clw1,10,10,0.4,0.8177991042433427,0.33828271441248253
A_dice_clw1_s10,A_dice_clw1,10,10,0.425,0.8180164536544051,0.327354885003941
A_dice_clw1_s10,A_dice_clw1,10,10,0.45,0.8181971633551341,0.31644375506917166
A_dice_clw1_s10,A_dice_clw1,10,10,0.475,0.8182640620324048,0.3071885643059093
A_dice_clw1_s10,A_dice_clw1,10,10,0.5,0.8179887620158915,0.29504399952345833
A_dice_clw1_s10,A_dice_clw1,10,10,0.525,0.817625713529293,0.2850637930222663
A_dice_clw1_s10,A_dice_clw1,10,10,0.55,0.8172201531595086,0.2730355520543478
A_dice_clw1_s10,A_dice_clw1,10,10,0.575,0.8165141109261682,0.2640113811804761
A_dice_clw1_s10,A_dice_clw1,10,10,0.6,0.8156407438594488,0.256816977302077
A_dice_clw1_s10,A_dice_clw1,10,10,0.625,0.8144481737591043,0.2398089216493412
A_dice_clw1_s10,A_dice_clw1,10,10,0.65,0.8129535631084494,0.2236424408655056
A_dice_clw1_s10,A_dice_clw1,10,10,0.675,0.8113014796035279,0.20918021353811583
A_dice_clw1_s10,A_dice_clw1,10,10,0.7,0.8089788497264916,0.18066471228605738
A_dice_clw1_s10,A_dice_clw1,10,10,0.725,0.8064778291684567,0.16512594121466845
A_dice_clw1_s10,A_dice_clw1,10,10,0.75,0.8030069535801541,0.14677191275510942
A_dice_clw1_s10,A_dice_clw1,10,10,0.775,0.7986520416095673,0.13440502852670855
