run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw1_s0,A_dice_clw1,0,30,17,0.80418,0.82131,94.0,1006.683,7984
A_dice_clw1_s0,A_dice_clw1,0,30,18,0.82065,0.87093,69.0,863.416,7659
A_dice_clw1_s0,A_dice_clw1,0,30,19,0.85398,0.8845,75.0,2666.286,8476
A_dice_clw1_s0,A_dice_clw1,0,30,20,0.8072,0.84185,104.0,882.132,7373
A_dice_clw1_s0,A_dice_clw1,0,40,01,0.82068,0.85437,92.0,4061.02,9312
A_dice_clw1_s0,A_dice_clw1,0,40,02,0.84683,0.85502,107.0,4473.002,9289
A_dice_clw1_s0,A_dice_clw1,0,40,03,0.78689,0.7681,115.0,462.344,9221
A_dice_clw1_s0,A_dice_clw1,0,40,04,0.82343,0.79468,87.0,2776.038,8926
A_dice_clw1_s0,A_dice_clw1,0,40,05,0.7999,0.77747,110.0,2638.775,9586
A_dice_clw1_s0,A_dice_clw1,0,40,06,0.78901,0.76777,136.0,2294.175,9989
A_dice_clw1_s0,A_dice_clw1,0,40,07,0.79889,0.78756,111.0,2911.585,8968
A_dice_clw1_s0,A_dice_clw1,0,40,08,0.78244,0.77087,116.0,733.071,8585
A_dice_clw1_s0,A_dice_clw1,0,40,09,0.78475,0.78076,89.0,877.256,8726
A_dice_clw1_s0,A_dice_clw1,0,40,10,0.80025,0.78072,107.0,2075.269,9137
A_dice_clw1_s0,A_dice_clw1,0,40,11,0.80403,0.77588,117.0,2867.84,10456
A_dice_clw1_s0,A_dice_clw1,0,40,12,0.82111,0.83996,88.0,1600.058,8712
A_dice_clw1_s0,A_dice_clw1,0,40,13,0.8061,0.79288,123.0,1591.932,10186
A_dice_clw1_s0,A_dice_clw1,0,40,14,0.80997,0.8146,112.0,3476.449,8358
A_dice_clw1_s0,A_dice_clw1,0,40,15,0.79325,0.81373,134.0,3448.462,7651
A_dice_clw1_s0,A_dice_clw1,0,40,16,0.83207,0.86202,99.0,3872.783,8812
A_dice_clw1_s0,A_dice_clw1,0,40,17,0.8038,0.81629,115.0,972.038,7984
A_dice_clw1_s0,A_dice_clw1,0,40,18,0.81418,0.85635,105.0,3183.916,7659
A_dice_clw1_s0,A_dice_clw1,0,40,19,0.84578,0.86799,101.0,4736.273,8476
A_dice_clw1_s0,A_dice_clw1,0,40,20,0.80329,0.83164,136.0,749.072,7373
A_dice_clw1_s0,A_dice_clw1,0,50,01,0.8204,0.85105,84.0,3819.348,9312
A_dice_clw1_s0,A_dice_clw1,0,50,02,0.84521,0.84929,85.0,2637.802,9289
A_dice_clw1_s0,A_dice_clw1,0,50,03,0.78761,0.76518,104.0,625.989,9221
A_dice_clw1_s0,A_dice_clw1,0,50,04,0.82495,0.79058,73.0,2564.744,8926
A_dice_clw1_s0,A_dice_clw1,0,50,05,0.80232,0.77702,84.0,1891.634,9586
A_dice_clw1_s0,A_dice_clw1,0,50,06,0.78976,0.76402,98.0,1937.279,9989
A_dice_clw1_s0,A_dice_clw1,0,50,07,0.80042,0.78535,97.0,2405.273,8968
A_dice_clw1_s0,A_dice_clw1,0,50,08,0.78075,0.76354,96.0,706.007,8585
A_dice_clw1_s0,A_dice_clw1,0,50,09,0.77842,0.78074,86.0,590.541,8726
A_dice_clw1_s0,A_dice_clw1,0,50,10,0.801,0.78097,86.0,1608.313,9137
A_dice_clw1_s0,A_dice_clw1,0,50,11,0.80262,0.77664,97.0,2335.418,10456
A_dice_clw1_s0,A_dice_clw1,0,50,12,0.81388,0.83208,72.0,1569.862,8712
A_dice_clw1_s0,A_dice_clw1,0,50,13,0.80948,0.79103,111.0,1390.346,10186
A_dice_clw1_s0,A_dice_clw1,0,50,14,0.81485,0.82358,86.0,3238.401,8358
A_dice_clw1_s0,A_dice_clw1,0,50,15,0.78981,0.81269,112.0,3008.561,7651
A_dice_clw1_s0,A_dice_clw1,0,50,16,0.82971,0.86622,92.0,3610.859,8812
A_dice_clw1_s0,A_dice_clw1,0,50,17,0.80175,0.82061,107.0,905.334,7984
A_dice_clw1_s0,A_dice_clw1,0,50,18,0.81367,0.85175,82.0,1738.938,7659
A_dice_clw1_s0,A_dice_clw1,0,50,19,0.84789,0.87353,99.0,4688.892,8476
A_dice_clw1_s0,A_dice_clw1,0,50,20,0.80303,0.83674,114.0,1170.633,7373
A_dice_clw1_s0,A_dice_clw1,0,60,01,0.81714,0.84552,91.0,3714.257,9312
A_dice_clw1_s0,A_dice_clw1,0,60,02,0.84206,0.84258,116.0,4335.818,9289
A_dice_clw1_s0,A_dice_clw1,0,60,03,0.78995,0.76445,115.0,864.545,9221
A_dice_clw1_s0,A_dice_clw1,0,60,04,0.82476,0.79205,66.0,2579.496,8926
A_dice_clw1_s0,A_dice_clw1,0,60,05,0.8055,0.77852,84.0,2468.181,9586
A_dice_clw1_s0,A_dice_clw1,0,60,06,0.79015,0.76694,99.0,1153.884,9989
A_dice_clw1_s0,A_dice_clw1,0,60,07,0.79963,0.78603,107.0,2358.918,8968
A_dice_clw1_s0,A_dice_clw1,0,60,08,0.78365,0.76356,97.0,813.603,8585
A_dice_clw1_s0,A_dice_clw1,0,60,09,0.78168,0.77992,88.0,738.151,8726
A_dice_clw1_s0,A_dice_clw1,0,60,10,0.80102,0.78159,85.0,2098.342,9137
A_dice_clw1_s0,A_dice_clw1,0,60,11,0.8027,0.77349,103.0,2948.119,10456
A_dice_clw1_s0,A_dice_clw1,0,60,12,0.81825,0.83636,85.0,1162.487,8712
A_dice_clw1_s0,A_dice_clw1,0,60,13,0.80816,0.78567,116.0,1375.644,10186
A_dice_clw1_s0,A_dice_clw1,0,60,14,0.81403,0.82404,98.0,3578.445,8358
A_dice_clw1_s0,A_dice_clw1,0,60,15,0.79506,0.82108,110.0,3157.034,7651
A_dice_clw1_s0,A_dice_clw1,0,60,16,0.8317,0.87085,99.0,3934.157,8812
A_dice_clw1_s0,A_dice_clw1,0,60,17,0.80734,0.82538,98.0,1077.422,7984
A_dice_clw1_s0,A_dice_clw1,0,60,18,0.81276,0.8574,86.0,3513.006,7659
A_dice_clw1_s0,A_dice_clw1,0,60,19,0.84505,0.87301,88.0,4907.199,8476
A_dice_clw1_s0,A_dice_clw1,0,60,20,0.80031,0.83737,107.0,1291.179,7373
A_dice_clw1_s0,A_dice_clw1,0,70,01,0.81808,0.85088,80.0,3881.09,9312
A_dice_clw1_s0,A_dice_clw1,0,70,02,0.84382,0.85128,88.0,4669.099,9289
A_dice_clw1_s0,A_dice_clw1,0,70,03,0.79107,0.76701,118.0,868.441,9221
A_dice_clw1_s0,A_dice_clw1,0,70,04,0.8239,0.79137,85.0,2356.481,8926
A_dice_clw1_s0,A_dice_clw1,0,70,05,0.80603,0.78005,83.0,1859.616,9586
A_dice_clw1_s0,A_dice_clw1,0,70,06,0.79098,0.76672,102.0,2361.842,9989
A_dice_clw1_s0,A_dice_clw1,0,70,07,0.80128,0.78693,109.0,2574.619,8968
A_dice_clw1_s0,A_dice_clw1,0,70,08,0.78372,0.76396,99.0,716.451,8585
