epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.8031,0.8082,0.8257,112.6,25.8,4.6552,0.8
20,0.7099,0.8124,0.8353,84.4,28.4,3.8021,1.5
30,0.6689,0.8055,0.8201,112.2,26.0,4.8962,2.3
40,0.6466,0.8117,0.8265,87.4,27.0,3.9302,3.0
50,0.6325,0.8091,0.8234,97.0,26.8,4.1834,3.7
60,0.6179,0.8034,0.8173,115.0,30.2,4.4831,4.5
70,0.6115,0.8118,0.8262,84.6,29.4,3.6817,5.2
80,0.5963,0.8101,0.8234,97.6,28.4,3.9852,5.9
90,0.5851,0.8097,0.8198,103.8,29.0,3.9541,6.7
100,0.5813,0.8103,0.8217,90.2,29.2,3.9161,7.4
