config,run,epoch,seed,field_arm,image,source,along,across,erl_split,erl_bridged,dice,fg
A_dice,A_dice_s8,10,8,H_aug_dir,02,isotropic,0.75,0.75,0.79231,0.80344,0.6638,64710
A_dice,A_dice_s8,10,8,H_aug_dir,02,isotropic,1.0,1.0,0.8172,0.8174,0.59468,76529
A_dice,A_dice_s8,10,8,H_aug_dir,02,isotropic,1.5,1.5,0.83816,0.84942,0.48839,101262
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.0,0.25,0.53801,0.66669,0.85216,33981
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.0,0.5,0.60168,0.69657,0.79953,41782
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.0,1.0,0.72563,0.76627,0.68063,61540
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.5,0.0,0.5933,0.69402,0.84574,35993
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.5,0.25,0.6166,0.70701,0.842,38065
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.5,0.5,0.76292,0.77744,0.73435,54743
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,0.5,1.0,0.79882,0.80247,0.63032,69922
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.0,0.0,0.6731,0.73627,0.83039,40939
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.0,0.25,0.71394,0.75764,0.81949,43436
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.0,0.5,0.79116,0.79921,0.72123,56708
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.0,1.0,0.81584,0.81603,0.59975,75573
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.5,0.0,0.71196,0.77023,0.81323,43826
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.5,0.25,0.76029,0.79134,0.79014,47530
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.5,0.5,0.80944,0.80983,0.70376,59253
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,1.5,1.0,0.82481,0.82501,0.58499,78599
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,2.0,0.0,0.75635,0.79709,0.78738,47642
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,2.0,0.25,0.77955,0.80499,0.76603,50739
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,2.0,0.5,0.8211,0.82169,0.6815,62547
A_dice,A_dice_s8,10,8,H_aug_dir,02,oracle,2.0,1.0,0.83344,0.83462,0.57055,81717
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.0,0.25,0.53801,0.66669,0.85216,33981
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.0,0.5,0.57215,0.70751,0.82619,39198
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.0,1.0,0.66043,0.76626,0.74408,51728
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.5,0.0,0.57437,0.70591,0.82587,39091
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.5,0.25,0.62266,0.7139,0.81571,41291
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.5,0.5,0.76969,0.77877,0.73217,55053
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,0.5,1.0,0.79078,0.80363,0.6655,64422
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.0,0.0,0.66623,0.76833,0.74579,51489
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.0,0.25,0.68056,0.78254,0.72554,54746
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.0,0.5,0.79614,0.80325,0.66588,64342
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.0,1.0,0.81681,0.81701,0.59829,75855
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.5,0.0,0.70525,0.78903,0.66474,63424
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.5,0.25,0.76648,0.80054,0.61905,71591
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.5,0.5,0.81526,0.82499,0.56669,81991
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,1.5,1.0,0.82638,0.83677,0.52973,90372
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,2.0,0.0,0.72711,0.81058,0.57373,79853
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,2.0,0.25,0.77574,0.82226,0.54847,85670
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,2.0,0.5,0.82618,0.83973,0.50144,97439
A_dice,A_dice_s8,10,8,H_aug_dir,02,shuffled,2.0,1.0,0.83797,0.84962,0.46921,106799
A_dice,A_dice_s8,10,8,H_aug_dir,03,raw,0.0,0.0,0.06998,0.46562,0.79685,29006
A_dice,A_dice_s8,10,8,H_aug_dir,03,isotropic,0.25,0.25,0.06998,0.46562,0.79685,29006
A_dice,A_dice_s8,10,8,H_aug_dir,03,isotropic,0.5,0.5,0.56743,0.57578,0.72813,47755
A_dice,A_dice_s8,10,8,H_aug_dir,03,isotropic,0.75,0.75,0.58621,0.59854,0.67355,55581
A_dice,A_dice_s8,10,8,H_aug_dir,03,isotropic,1.0,1.0,0.61204,0.61969,0.61193,65716
A_dice,A_dice_s8,10,8,H_aug_dir,03,isotropic,1.5,1.5,0.6538,0.65924,0.51034,87361
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.0,0.25,0.06998,0.46562,0.79685,29006
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.0,0.5,0.14031,0.50182,0.77166,35850
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.0,1.0,0.54067,0.56708,0.6855,52481
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.5,0.0,0.12162,0.49872,0.79897,30714
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.5,0.25,0.13824,0.51168,0.79943,32511
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.5,0.5,0.54599,0.57397,0.73346,46950
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,0.5,1.0,0.58902,0.59585,0.64304,60009
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.0,0.0,0.22346,0.55182,0.79874,35174
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.0,0.25,0.22862,0.56707,0.7929,37280
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.0,0.5,0.57992,0.59469,0.72553,48600
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.0,1.0,0.61136,0.61901,0.61629,64964
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.5,0.0,0.25682,0.57741,0.79132,37817
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.5,0.25,0.2825,0.59034,0.77675,41095
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.5,0.5,0.60646,0.61357,0.7138,50800
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,1.5,1.0,0.63017,0.63862,0.6049,67626
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,2.0,0.0,0.55,0.59485,0.77318,41480
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,2.0,0.25,0.57535,0.60747,0.75948,43973
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,2.0,0.5,0.62484,0.62982,0.69564,53799
A_dice,A_dice_s8,10,8,H_aug_dir,03,oracle,2.0,1.0,0.64194,0.65187,0.59165,70526
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.0,0.25,0.06998,0.46562,0.79685,29006
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.0,0.5,0.11837,0.50117,0.78686,33482
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.0,1.0,0.18008,0.56984,0.7352,44245
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.5,0.0,0.12188,0.48871,0.78731,33391
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.5,0.25,0.1263,0.50353,0.78224,35355
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.5,0.5,0.55354,0.57446,0.73193,47145
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,0.5,1.0,0.58919,0.60408,0.67578,55171
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.0,0.0,0.23057,0.55796,0.73464,44154
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.0,0.25,0.23865,0.56887,0.7196,47010
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.0,0.5,0.58222,0.59352,0.67496,55222
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.0,1.0,0.61119,0.61884,0.61505,65157
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.5,0.0,0.49439,0.58286,0.66885,54523
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.5,0.25,0.5531,0.59971,0.62955,61667
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.5,0.5,0.61002,0.62465,0.58317,70682
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,1.5,1.0,0.62914,0.64208,0.54915,77980
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,2.0,0.0,0.53409,0.61168,0.58721,68736
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,2.0,0.25,0.58247,0.6243,0.56395,73989
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,2.0,0.5,0.63224,0.64766,0.52133,84120
A_dice,A_dice_s8,10,8,H_aug_dir,03,shuffled,2.0,1.0,0.65206,0.66365,0.49018,92477
A_dice,A_dice_s8,10,8,H_aug_dir,04,raw,0.0,0.0,0.3358,0.49604,0.82729,28506
A_dice,A_dice_s8,10,8,H_aug_dir,04,isotropic,0.25,0.25,0.3358,0.49604,0.82729,28506
A_dice,A_dice_s8,10,8,H_aug_dir,04,isotropic,0.5,0.5,0.58755,0.60979,0.72358,46751
A_dice,A_dice_s8,10,8,H_aug_dir,04,isotropic,0.75,0.75,0.60502,0.6297,0.66324,54315
A_dice,A_dice_s8,10,8,H_aug_dir,04,isotropic,1.0,1.0,0.6458,0.64977,0.59597,64422
A_dice,A_dice_s8,10,8,H_aug_dir,04,isotropic,1.5,1.5,0.67936,0.68195,0.49177,85550
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.0,0.25,0.3358,0.49604,0.82729,28506
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.0,0.5,0.38214,0.52243,0.79113,35006
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.0,1.0,0.57185,0.59105,0.67677,51745
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.5,0.0,0.36425,0.50924,0.82793,30023
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.5,0.25,0.39105,0.53438,0.82288,31871
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.5,0.5,0.57697,0.60386,0.72965,46028
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,0.5,1.0,0.60589,0.63094,0.62942,58915
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.0,0.0,0.4608,0.55573,0.81662,34134
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.0,0.25,0.54062,0.58376,0.80765,36133
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.0,0.5,0.60292,0.62615,0.72059,47335
