config,run,epoch,seed,field_arm,image,source,along,across,erl_split,erl_bridged,dice,fg
A_dice,A_dice_s0,20,0,H_aug_dir,01,raw,0.0,0.0,0.48439,0.68378,0.82251,33966
A_dice,A_dice_s0,20,0,H_aug_dir,01,isotropic,0.25,0.25,0.48439,0.68378,0.82251,33966
A_dice,A_dice_s0,20,0,H_aug_dir,01,isotropic,0.5,0.5,0.77246,0.80078,0.65868,56820
A_dice,A_dice_s0,20,0,H_aug_dir,01,isotropic,0.75,0.75,0.8006,0.81987,0.59787,65992
A_dice,A_dice_s0,20,0,H_aug_dir,01,isotropic,1.0,1.0,0.83139,0.83295,0.53058,78499
A_dice,A_dice_s0,20,0,H_aug_dir,01,isotropic,1.5,1.5,0.8598,0.86159,0.43266,103635
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.0,0.25,0.48439,0.68378,0.82251,33966
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.0,0.5,0.53413,0.73511,0.75263,42021
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.0,1.0,0.71706,0.79176,0.61706,62343
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.5,0.0,0.53368,0.71375,0.81012,36084
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.5,0.25,0.56268,0.7267,0.79735,38304
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.5,0.5,0.77133,0.79962,0.66694,55656
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,0.5,1.0,0.80022,0.81929,0.56578,71397
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.0,0.0,0.69562,0.77636,0.77775,41526
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.0,0.25,0.72804,0.78396,0.75806,44177
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.0,0.5,0.80194,0.81987,0.65212,57961
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.0,1.0,0.83119,0.83276,0.53595,77409
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.5,0.0,0.72768,0.79693,0.7536,44812
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.5,0.25,0.76909,0.81852,0.72311,48839
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.5,0.5,0.82885,0.82983,0.63411,60800
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,1.5,1.0,0.83885,0.84594,0.52102,80782
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,2.0,0.0,0.77379,0.82709,0.71895,49269
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,2.0,0.25,0.81217,0.83315,0.69556,52465
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,2.0,0.5,0.83846,0.84574,0.61011,64615
A_dice,A_dice_s0,20,0,H_aug_dir,01,oracle,2.0,1.0,0.8604,0.86279,0.50553,84425
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.0,0.25,0.48439,0.68378,0.82251,33966
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.0,0.5,0.5291,0.72102,0.78213,39293
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.0,1.0,0.64728,0.78318,0.6837,52251
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.5,0.0,0.52236,0.72469,0.78208,39346
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.5,0.25,0.53564,0.73404,0.7661,41600
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.5,0.5,0.77151,0.79982,0.66438,56011
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,0.5,1.0,0.80041,0.81968,0.59908,65749
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.0,0.0,0.6438,0.78906,0.68273,52326
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.0,0.25,0.66848,0.79862,0.65968,55801
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.0,0.5,0.80117,0.81871,0.59951,65684
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.0,1.0,0.83119,0.83276,0.53423,77754
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.5,0.0,0.69995,0.80574,0.59966,64894
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.5,0.25,0.7666,0.82181,0.55373,73422
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.5,0.5,0.82787,0.83373,0.50464,84042
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,1.5,1.0,0.84317,0.84554,0.47027,92659
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,2.0,0.0,0.75965,0.82921,0.51269,81665
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,2.0,0.25,0.80615,0.83784,0.48794,87770
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,2.0,0.5,0.83453,0.85324,0.44432,99822
A_dice,A_dice_s0,20,0,H_aug_dir,01,shuffled,2.0,1.0,0.85286,0.86319,0.4148,109428
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.0,0.25,0.48439,0.68378,0.82251,33966
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.0,0.5,0.57798,0.73457,0.7525,42161
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.0,1.0,0.73437,0.79559,0.61442,62943
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.5,0.0,0.50334,0.71464,0.81194,35727
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.5,0.25,0.5527,0.73145,0.799,37924
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.5,0.5,0.77132,0.79962,0.66758,55556
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,0.5,1.0,0.81445,0.82162,0.56378,71851
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.0,0.0,0.6427,0.75961,0.78399,40344
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.0,0.25,0.66918,0.77598,0.76551,42980
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.0,0.5,0.78895,0.81657,0.65561,57395
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.0,1.0,0.83119,0.83276,0.53635,77329
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.5,0.0,0.67596,0.77654,0.76542,42852
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.5,0.25,0.69212,0.7994,0.73809,46553
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.5,0.5,0.79392,0.8226,0.6456,58967
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,1.5,1.0,0.8359,0.84298,0.52429,79999
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,2.0,0.0,0.73133,0.80285,0.73843,46299
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,2.0,0.25,0.76248,0.81134,0.71727,49258
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,2.0,0.5,0.82612,0.83648,0.62908,61496
A_dice,A_dice_s0,20,0,H_aug_dir,01,predicted,2.0,1.0,0.84653,0.85741,0.51339,82541
A_dice,A_dice_s0,20,0,H_aug_dir,02,raw,0.0,0.0,0.27013,0.67923,0.85083,34938
A_dice,A_dice_s0,20,0,H_aug_dir,02,isotropic,0.25,0.25,0.27013,0.67923,0.85083,34938
A_dice,A_dice_s0,20,0,H_aug_dir,02,isotropic,0.5,0.5,0.77916,0.78677,0.71642,57324
A_dice,A_dice_s0,20,0,H_aug_dir,02,isotropic,0.75,0.75,0.7973,0.80384,0.65285,66533
A_dice,A_dice_s0,20,0,H_aug_dir,02,isotropic,1.0,1.0,0.82071,0.82305,0.58465,78592
A_dice,A_dice_s0,20,0,H_aug_dir,02,isotropic,1.5,1.5,0.84311,0.84984,0.47979,103871
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.0,0.25,0.27013,0.67923,0.85083,34938
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.0,0.5,0.59252,0.70504,0.79345,42890
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.0,1.0,0.73889,0.77648,0.67229,62942
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.5,0.0,0.57165,0.69585,0.8416,37094
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.5,0.25,0.58445,0.70794,0.83574,39261
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.5,0.5,0.77518,0.78563,0.72415,56249
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,0.5,1.0,0.79289,0.80307,0.62085,71656
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.0,0.0,0.67065,0.73427,0.82102,42393
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.0,0.25,0.70204,0.76817,0.80817,45020
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.0,0.5,0.78583,0.80327,0.70917,58487
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.0,1.0,0.81818,0.82208,0.58971,77604
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.5,0.0,0.72694,0.78828,0.80065,45613
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.5,0.25,0.77234,0.80654,0.77605,49468
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.5,0.5,0.80927,0.8215,0.68894,61492
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,1.5,1.0,0.8307,0.8307,0.57351,81015
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,2.0,0.0,0.78049,0.81351,0.77267,49739
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,2.0,0.25,0.7931,0.81877,0.75077,52940
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,2.0,0.5,0.82327,0.82776,0.66534,65086
A_dice,A_dice_s0,20,0,H_aug_dir,02,oracle,2.0,1.0,0.83857,0.83917,0.55763,84551
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.0,0.25,0.27013,0.67923,0.85083,34938
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.0,0.5,0.5548,0.70034,0.82233,40234
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.0,1.0,0.67081,0.77117,0.73612,52932
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.5,0.0,0.28386,0.70251,0.82205,40257
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.5,0.25,0.58246,0.71266,0.80955,42529
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.5,0.5,0.7592,0.78011,0.7215,56602
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,0.5,1.0,0.79385,0.81079,0.65578,66051
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,1.0,0.0,0.6786,0.76834,0.73596,52992
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,1.0,0.25,0.71322,0.77572,0.71468,56446
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,1.0,0.5,0.79883,0.80365,0.65433,66272
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,1.0,1.0,0.82032,0.82266,0.58804,77933
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,1.5,0.0,0.7335,0.79573,0.65373,65426
A_dice,A_dice_s0,20,0,H_aug_dir,02,shuffled,1.5,0.25,0.78371,0.81002,0.60698,73920
