epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4643,0.8187,0.8307,75.6,27.95,4.0119,0.8
20,0.4534,0.8184,0.8261,77.5,28.9,3.8923,1.6
30,0.4465,0.8184,0.8263,74.55,30.1,3.7111,2.4
40,0.4476,0.8221,0.8302,64.85,28.2,3.8995,3.3
50,0.4382,0.8195,0.8358,61.15,26.15,3.7219,4.1
60,0.4408,0.8194,0.8295,63.75,29.05,3.8127,4.9
70,0.4387,0.821,0.834,57.45,26.45,3.7254,5.7
80,0.4304,0.8235,0.8345,59.9,26.8,3.6098,6.5
90,0.4309,0.8215,0.8321,72.5,24.75,3.5877,7.3
100,0.4283,0.8232,0.8319,59.75,26.8,3.7017,8.1
