epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3949,0.8181,0.8216,96.8,34.2,3.6747,1.2
20,0.37,0.8191,0.8234,95.8,31.4,3.2649,2.4
30,0.3551,0.816,0.8164,91.8,32.4,3.5782,3.6
40,0.3426,0.8158,0.8144,88.0,32.2,3.4008,4.9
50,0.335,0.8144,0.8156,86.0,35.6,3.6206,6.1
60,0.3278,0.8148,0.8119,88.0,31.6,3.5219,7.3
70,0.3218,0.8154,0.8114,102.8,34.6,3.4332,8.5
80,0.3151,0.804,0.8015,87.8,37.6,4.2543,9.7
90,0.3126,0.8128,0.8063,99.2,32.2,3.4332,10.9
100,0.3075,0.8102,0.8034,93.2,34.4,3.9489,12.1
