epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6953,0.8135,0.8232,94.15,30.3,4.177,1.1
20,0.6561,0.8169,0.8286,69.15,27.45,4.2338,2.1
30,0.6393,0.8144,0.8231,79.5,27.95,4.2395,3.2
40,0.6144,0.8113,0.8195,88.15,27.35,4.8932,4.2
50,0.6075,0.8142,0.8191,70.9,28.5,4.4317,5.3
60,0.6022,0.8088,0.8162,96.05,25.2,5.0276,6.3
70,0.5878,0.8096,0.8144,88.4,29.25,4.6418,7.3
80,0.5851,0.8104,0.8158,82.75,27.05,4.7176,8.4
90,0.5793,0.8096,0.813,80.95,28.3,4.7405,9.4
100,0.5775,0.81,0.8134,84.8,29.75,4.6519,10.4
