epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4345,0.811,0.818,101.4,33.55,4.2483,0.8
20,0.4113,0.8181,0.8252,80.05,27.3,4.0306,1.6
30,0.3983,0.8146,0.8207,86.2,29.9,4.3367,2.3
40,0.3853,0.8173,0.8239,82.6,28.45,4.1136,3.1
50,0.3832,0.8152,0.8213,77.5,28.7,4.2677,3.9
60,0.378,0.8131,0.8186,85.65,29.7,4.6038,4.7
70,0.3685,0.813,0.8154,86.55,29.85,4.4731,5.5
80,0.3644,0.8122,0.8159,75.05,30.15,4.5242,6.2
90,0.3607,0.8088,0.8133,85.9,29.7,4.426,7.0
100,0.3596,0.8096,0.8137,95.0,29.3,4.4986,7.8
