epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,1.1169,0.7895,0.838,72.8,21.2,5.2289,1.0
20,1.0755,0.7853,0.8382,71.6,23.8,5.8,2.1
30,1.0608,0.7919,0.8452,59.4,22.4,4.6186,3.1
40,1.0392,0.784,0.8444,60.8,23.8,4.7736,4.1
50,1.031,0.7791,0.8369,67.2,23.6,5.6503,5.1
60,1.0255,0.7839,0.8451,70.6,24.6,4.8853,6.1
70,1.0202,0.7877,0.8437,59.6,21.2,4.7501,7.1
80,1.005,0.7855,0.841,72.6,23.0,5.0907,8.1
90,1.0141,0.7826,0.8423,64.8,22.0,4.9271,9.1
100,0.9956,0.7752,0.8322,77.4,21.8,6.3968,10.1
