epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5157,0.8153,0.8264,74.45,29.9,4.1178,0.9
20,0.497,0.8111,0.82,82.4,30.4,3.9301,1.7
30,0.4829,0.8174,0.8283,75.2,25.6,4.0223,2.5
40,0.4718,0.8158,0.8223,65.2,27.8,4.1954,3.4
50,0.4585,0.8168,0.8233,65.1,28.5,4.4301,4.2
60,0.4619,0.8155,0.821,76.75,28.85,4.2218,5.1
70,0.4504,0.815,0.8225,65.15,27.9,4.2085,5.9
80,0.4477,0.8149,0.8211,64.55,27.65,4.2968,6.7
90,0.445,0.8133,0.8172,71.6,28.25,4.3207,7.6
100,0.4448,0.8132,0.8204,71.45,28.85,4.3636,8.4
