epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4305,0.821,0.8303,85.4,31.6,3.3446,0.8
20,0.4027,0.8214,0.8335,70.6,29.6,3.5417,1.6
30,0.3923,0.8216,0.8306,80.8,29.2,3.6008,2.4
40,0.3786,0.8179,0.8242,82.2,32.4,3.8771,3.2
50,0.3701,0.8176,0.826,86.8,35.2,3.5219,4.0
60,0.3601,0.8184,0.8256,79.8,35.0,3.7911,4.8
70,0.3557,0.8153,0.8192,81.2,33.6,3.8208,5.6
80,0.3476,0.8174,0.821,85.8,31.2,3.5219,6.4
90,0.3417,0.8105,0.8132,86.0,34.2,4.1367,7.2
100,0.3404,0.8125,0.8135,96.8,31.6,3.7141,8.0
