epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4023,0.8244,0.8373,47.0,32.8,4.2713,1.7
20,0.3598,0.8242,0.834,53.8,26.0,3.5643,3.3
30,0.3094,0.82,0.8211,83.2,27.6,3.3242,5.0
40,0.2595,0.8158,0.8174,87.2,27.8,3.5345,6.6
50,0.2268,0.8108,0.8055,111.2,29.8,3.2899,8.2
60,0.2072,0.808,0.807,94.4,29.2,3.4435,9.8
70,0.1872,0.8074,0.8059,138.4,28.2,3.5536,11.5
80,0.1719,0.8081,0.8048,141.0,30.0,3.1416,13.1
90,0.1626,0.8077,0.802,126.2,29.2,3.5103,14.9
100,0.1514,0.8061,0.8046,134.6,29.8,3.4216,16.6
