image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0001,ah,0.7782020876043467,0.8292481901896407,33,5,37,4,12.36931687685298
im0001,vk,0.7606964738822294,0.7580697199346341,34,11,37,3,11.180339887498949
im0002,ah,0.8074686459351547,0.8524385053902908,45,11,47,2,13.0
im0002,vk,0.712784494063123,0.7359726693085841,43,16,47,4,12.36931687685298
im0003,ah,0.7624288243456625,0.8113098392903791,39,0,48,9,18.788294228055936
im0003,vk,0.6277303712819184,0.6178609743339601,20,37,48,28,18.027756377319946
im0004,ah,0.7818105965790572,0.8591435656597399,25,12,36,11,12.649110640673518
im0004,vk,0.7251910978827031,0.7093081695318398,32,14,36,4,9.219544457292887
im0005,ah,0.7567598195870447,0.7898939271753017,34,11,43,9,24.351591323771842
im0005,vk,0.7611940298507462,0.7460489554058225,32,19,43,11,8.48528137423857
im0044,ah,0.8023055422803436,0.8610890917077876,25,1,41,16,9.486832980505138
im0044,vk,0.7792258005822417,0.717796651120186,34,43,41,7,16.76305461424021
im0077,ah,0.8030277340438415,0.8611861316996403,15,4,22,7,8.06225774829855
im0077,vk,0.8559932845109561,0.8318688487620671,13,34,22,9,9.219544457292887
im0081,ah,0.8038246390009106,0.8713464974061236,20,2,23,3,7.810249675906654
im0081,vk,0.8108270095219682,0.747900523189668,16,76,23,7,14.317821063276353
im0082,ah,0.8327341877670105,0.8723183223969869,17,4,25,8,4.242640687119285
im0082,vk,0.8240142617449664,0.7523655817122312,4,46,25,29,12.806248474865697
im0139,ah,0.763687478036781,0.8365035701178256,52,8,56,4,13.0
im0139,vk,0.7789154342055365,0.7435170716459217,47,91,56,9,12.727922061357855
