image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0162,ah,0.7720362305287627,0.8491581160811683,40,20,44,4,5.656854249492381
im0162,vk,0.8297200995964626,0.8006552549863056,23,56,44,21,8.54400374531753
im0163,ah,0.7816960845473561,0.8569655250585937,25,8,26,1,10.44030650891055
im0163,vk,0.8691734534742679,0.8828938227350948,18,24,26,8,3.0
im0235,ah,0.8197624703087886,0.8648093775979484,26,2,35,9,6.708203932499369
im0235,vk,0.814561060081313,0.7766664271738192,28,34,35,7,12.529964086141668
im0236,ah,0.828221738818636,0.8688158254884684,29,9,32,3,6.106941809301722
im0236,vk,0.8243834213221969,0.7953146403387593,17,15,32,15,11.0
im0239,ah,0.8100156990013324,0.8640708823913612,25,21,28,3,6.708203932499369
im0239,vk,0.805776752147864,0.8125077850416411,25,19,28,3,9.463049648703066
im0240,ah,0.7980876240659566,0.8531254950936864,37,18,44,7,10.295630140987
im0240,vk,0.76338906205724,0.7442978691139365,35,39,44,9,14.212670403551895
im0255,ah,0.8271376122962141,0.8664958878636311,38,22,41,3,6.074486277268518
im0255,vk,0.8296462771154973,0.7968176353932405,24,40,41,17,8.0
im0291,ah,0.7948964514388911,0.8414225275626479,20,4,25,5,12.239107867957676
im0291,vk,0.7896725706685808,0.7581168147514601,21,15,25,4,19.849433241279208
im0319,ah,0.7480670103092784,0.7955562011644723,28,11,35,7,15.231546211727817
im0319,vk,0.7337223587223587,0.7188381174860488,27,12,35,8,23.021728866442675
im0324,ah,0.6474563507005687,0.6986723552763124,46,11,51,5,21.85403704758432
im0324,vk,0.6093126523514525,0.5919644964143261,42,27,51,9,26.92582403567252
