epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5635,0.818,0.83,64.1,25.85,4.5704,1.0
20,0.5511,0.8188,0.8324,62.85,26.6,4.09,2.0
30,0.5399,0.8184,0.8319,72.2,25.0,3.8253,3.0
40,0.5347,0.8206,0.8313,67.1,24.55,3.7776,4.0
50,0.5266,0.8199,0.8312,57.2,25.85,3.9952,5.1
60,0.5305,0.8208,0.8318,66.8,24.75,3.6348,6.1
70,0.5288,0.8228,0.8332,53.7,23.45,3.8605,7.1
80,0.5203,0.8196,0.8332,56.75,25.4,3.8402,8.1
90,0.5203,0.8222,0.836,52.55,24.6,3.6989,9.1
100,0.5181,0.8219,0.8346,53.5,22.4,3.7438,10.1
