run,config,seed,epoch,image,head,constant,classical
A_dice_dir_s3,A_dice_dir,3,40,11,0.2639,1.1985,0.3254
A_dice_dir_s3,A_dice_dir,3,40,12,0.2437,1.2153,0.3231
A_dice_dir_s3,A_dice_dir,3,40,13,0.2563,1.1961,0.3235
A_dice_dir_s3,A_dice_dir,3,40,14,0.2257,1.2165,0.2874
A_dice_dir_s3,A_dice_dir,3,40,15,0.206,1.1724,0.2896
A_dice_dir_s3,A_dice_dir,3,40,16,0.2168,1.2397,0.304
A_dice_dir_s3,A_dice_dir,3,40,17,0.2557,1.2187,0.3617
A_dice_dir_s3,A_dice_dir,3,40,18,0.2308,1.2111,0.3146
A_dice_dir_s3,A_dice_dir,3,40,19,0.1723,1.2007,0.2488
A_dice_dir_s3,A_dice_dir,3,40,20,0.209,1.1611,0.3032
A_dice_dir_s4,A_dice_dir,4,10,01,0.2454,1.1567,0.292
A_dice_dir_s4,A_dice_dir,4,10,02,0.2307,1.1914,0.2732
A_dice_dir_s4,A_dice_dir,4,10,03,0.3041,1.1693,0.3515
A_dice_dir_s4,A_dice_dir,4,10,04,0.2728,1.1853,0.3365
A_dice_dir_s4,A_dice_dir,4,10,05,0.2943,1.1732,0.3404
A_dice_dir_s4,A_dice_dir,4,10,06,0.2953,1.187,0.357
A_dice_dir_s4,A_dice_dir,4,10,07,0.2958,1.1686,0.3675
A_dice_dir_s4,A_dice_dir,4,10,08,0.2961,1.21,0.3908
A_dice_dir_s4,A_dice_dir,4,10,09,0.2909,1.1867,0.3481
A_dice_dir_s4,A_dice_dir,4,10,10,0.2669,1.2358,0.3351
A_dice_dir_s4,A_dice_dir,4,10,11,0.2751,1.1985,0.3254
A_dice_dir_s4,A_dice_dir,4,10,12,0.2471,1.2153,0.3231
A_dice_dir_s4,A_dice_dir,4,10,13,0.2681,1.1961,0.3235
A_dice_dir_s4,A_dice_dir,4,10,14,0.24,1.2165,0.2874
A_dice_dir_s4,A_dice_dir,4,10,15,0.2243,1.1724,0.2896
A_dice_dir_s4,A_dice_dir,4,10,16,0.2221,1.2397,0.304
A_dice_dir_s4,A_dice_dir,4,10,17,0.2568,1.2187,0.3617
A_dice_dir_s4,A_dice_dir,4,10,18,0.2534,1.2111,0.3146
A_dice_dir_s4,A_dice_dir,4,10,19,0.1856,1.2007,0.2488
A_dice_dir_s4,A_dice_dir,4,10,20,0.2198,1.1611,0.3032
A_dice_dir_s5,A_dice_dir,5,10,01,0.2373,1.1567,0.292
A_dice_dir_s5,A_dice_dir,5,10,02,0.2187,1.1914,0.2732
A_dice_dir_s5,A_dice_dir,5,10,03,0.2868,1.1693,0.3515
A_dice_dir_s5,A_dice_dir,5,10,04,0.2572,1.1853,0.3365
A_dice_dir_s5,A_dice_dir,5,10,05,0.2759,1.1732,0.3404
A_dice_dir_s5,A_dice_dir,5,10,06,0.2684,1.187,0.357
A_dice_dir_s5,A_dice_dir,5,10,07,0.2697,1.1686,0.3675
A_dice_dir_s5,A_dice_dir,5,10,08,0.2728,1.21,0.3908
A_dice_dir_s5,A_dice_dir,5,10,09,0.2711,1.1867,0.3481
A_dice_dir_s5,A_dice_dir,5,10,10,0.2498,1.2358,0.3351
A_dice_dir_s5,A_dice_dir,5,10,11,0.2572,1.1985,0.3254
A_dice_dir_s5,A_dice_dir,5,10,12,0.2425,1.2153,0.3231
A_dice_dir_s5,A_dice_dir,5,10,13,0.2586,1.1961,0.3235
A_dice_dir_s5,A_dice_dir,5,10,14,0.2209,1.2165,0.2874
A_dice_dir_s5,A_dice_dir,5,10,15,0.208,1.1724,0.2896
A_dice_dir_s5,A_dice_dir,5,10,16,0.2108,1.2397,0.304
A_dice_dir_s5,A_dice_dir,5,10,17,0.2487,1.2187,0.3617
A_dice_dir_s5,A_dice_dir,5,10,18,0.2239,1.2111,0.3146
A_dice_dir_s5,A_dice_dir,5,10,19,0.1705,1.2007,0.2488
A_dice_dir_s5,A_dice_dir,5,10,20,0.2086,1.1611,0.3032
H_aug_dir_s0,H_aug_dir,0,30,01,0.2247,1.1567,0.292
H_aug_dir_s0,H_aug_dir,0,30,02,0.2092,1.1914,0.2732
H_aug_dir_s0,H_aug_dir,0,30,03,0.2818,1.1693,0.3515
H_aug_dir_s0,H_aug_dir,0,30,04,0.2524,1.1853,0.3365
H_aug_dir_s0,H_aug_dir,0,30,05,0.2705,1.1732,0.3404
H_aug_dir_s0,H_aug_dir,0,30,06,0.2704,1.187,0.357
H_aug_dir_s0,H_aug_dir,0,30,07,0.2667,1.1686,0.3675
H_aug_dir_s0,H_aug_dir,0,30,08,0.2792,1.21,0.3908
H_aug_dir_s0,H_aug_dir,0,30,09,0.2556,1.1867,0.3481
H_aug_dir_s0,H_aug_dir,0,30,10,0.2486,1.2358,0.3351
H_aug_dir_s0,H_aug_dir,0,30,11,0.2576,1.1985,0.3254
H_aug_dir_s0,H_aug_dir,0,30,12,0.2295,1.2153,0.3231
H_aug_dir_s0,H_aug_dir,0,30,13,0.2466,1.1961,0.3235
H_aug_dir_s0,H_aug_dir,0,30,14,0.2142,1.2165,0.2874
H_aug_dir_s0,H_aug_dir,0,30,15,0.196,1.1724,0.2896
H_aug_dir_s0,H_aug_dir,0,30,16,0.205,1.2397,0.304
H_aug_dir_s0,H_aug_dir,0,30,17,0.2408,1.2187,0.3617
H_aug_dir_s0,H_aug_dir,0,30,18,0.22,1.2111,0.3146
H_aug_dir_s0,H_aug_dir,0,30,19,0.1656,1.2007,0.2488
H_aug_dir_s0,H_aug_dir,0,30,20,0.1983,1.1611,0.3032
H_aug_dir_s1,H_aug_dir,1,80,01,0.2149,1.1567,0.292
H_aug_dir_s1,H_aug_dir,1,80,02,0.2019,1.1914,0.2732
H_aug_dir_s1,H_aug_dir,1,80,03,0.2783,1.1693,0.3515
H_aug_dir_s1,H_aug_dir,1,80,04,0.241,1.1853,0.3365
H_aug_dir_s1,H_aug_dir,1,80,05,0.2641,1.1732,0.3404
H_aug_dir_s1,H_aug_dir,1,80,06,0.2599,1.187,0.357
H_aug_dir_s1,H_aug_dir,1,80,07,0.2567,1.1686,0.3675
H_aug_dir_s1,H_aug_dir,1,80,08,0.2736,1.21,0.3908
H_aug_dir_s1,H_aug_dir,1,80,09,0.2486,1.1867,0.3481
H_aug_dir_s1,H_aug_dir,1,80,10,0.2446,1.2358,0.3351
H_aug_dir_s1,H_aug_dir,1,80,11,0.2472,1.1985,0.3254
H_aug_dir_s1,H_aug_dir,1,80,12,0.2198,1.2153,0.3231
H_aug_dir_s1,H_aug_dir,1,80,13,0.2369,1.1961,0.3235
H_aug_dir_s1,H_aug_dir,1,80,14,0.2055,1.2165,0.2874
H_aug_dir_s1,H_aug_dir,1,80,15,0.194,1.1724,0.2896
H_aug_dir_s1,H_aug_dir,1,80,16,0.1942,1.2397,0.304
H_aug_dir_s1,H_aug_dir,1,80,17,0.2247,1.2187,0.3617
H_aug_dir_s1,H_aug_dir,1,80,18,0.2124,1.2111,0.3146
H_aug_dir_s1,H_aug_dir,1,80,19,0.1579,1.2007,0.2488
H_aug_dir_s1,H_aug_dir,1,80,20,0.1956,1.1611,0.3032
H_aug_dir_s2,H_aug_dir,2,70,01,0.2176,1.1567,0.292
H_aug_dir_s2,H_aug_dir,2,70,02,0.206,1.1914,0.2732
H_aug_dir_s2,H_aug_dir,2,70,03,0.2779,1.1693,0.3515
H_aug_dir_s2,H_aug_dir,2,70,04,0.249,1.1853,0.3365
H_aug_dir_s2,H_aug_dir,2,70,05,0.2723,1.1732,0.3404
H_aug_dir_s2,H_aug_dir,2,70,06,0.2611,1.187,0.357
H_aug_dir_s2,H_aug_dir,2,70,07,0.2594,1.1686,0.3675
H_aug_dir_s2,H_aug_dir,2,70,08,0.27,1.21,0.3908
H_aug_dir_s2,H_aug_dir,2,70,09,0.2488,1.1867,0.3481
H_aug_dir_s2,H_aug_dir,2,70,10,0.2455,1.2358,0.3351
H_aug_dir_s2,H_aug_dir,2,70,11,0.2452,1.1985,0.3254
H_aug_dir_s2,H_aug_dir,2,70,12,0.2217,1.2153,0.3231
H_aug_dir_s2,H_aug_dir,2,70,13,0.2356,1.1961,0.3235
H_aug_dir_s2,H_aug_dir,2,70,14,0.2106,1.2165,0.2874
H_aug_dir_s2,H_aug_dir,2,70,15,0.1954,1.1724,0.2896
H_aug_dir_s2,H_aug_dir,2,70,16,0.1959,1.2397,0.304
H_aug_dir_s2,H_aug_dir,2,70,17,0.2352,1.2187,0.3617
H_aug_dir_s2,H_aug_dir,2,70,18,0.2168,1.2111,0.3146
H_aug_dir_s2,H_aug_dir,2,70,19,0.1631,1.2007,0.2488
H_aug_dir_s2,H_aug_dir,2,70,20,0.1957,1.1611,0.3032
H_aug_dir_s3,H_aug_dir,3,70,01,0.2227,1.1567,0.292
H_aug_dir_s3,H_aug_dir,3,70,02,0.2049,1.1914,0.2732
H_aug_dir_s3,H_aug_dir,3,70,03,0.2804,1.1693,0.3515
H_aug_dir_s3,H_aug_dir,3,70,04,0.2422,1.1853,0.3365
H_aug_dir_s3,H_aug_dir,3,70,05,0.2677,1.1732,0.3404
H_aug_dir_s3,H_aug_dir,3,70,06,0.2635,1.187,0.357
H_aug_dir_s3,H_aug_dir,3,70,07,0.262,1.1686,0.3675
H_aug_dir_s3,H_aug_dir,3,70,08,0.2766,1.21,0.3908
H_aug_dir_s3,H_aug_dir,3,70,09,0.2625,1.1867,0.3481
H_aug_dir_s3,H_aug_dir,3,70,10,0.2472,1.2358,0.3351
H_aug_dir_s3,H_aug_dir,3,70,11,0.2502,1.1985,0.3254
H_aug_dir_s3,H_aug_dir,3,70,12,0.2304,1.2153,0.3231
H_aug_dir_s3,H_aug_dir,3,70,13,0.2458,1.1961,0.3235
H_aug_dir_s3,H_aug_dir,3,70,14,0.2134,1.2165,0.2874
H_aug_dir_s3,H_aug_dir,3,70,15,0.1976,1.1724,0.2896
H_aug_dir_s3,H_aug_dir,3,70,16,0.1967,1.2397,0.304
H_aug_dir_s3,H_aug_dir,3,70,17,0.2269,1.2187,0.3617
H_aug_dir_s3,H_aug_dir,3,70,18,0.2129,1.2111,0.3146
H_aug_dir_s3,H_aug_dir,3,70,19,0.1606,1.2007,0.2488
H_aug_dir_s3,H_aug_dir,3,70,20,0.1944,1.1611,0.3032
H_aug_dir_s4,H_aug_dir,4,60,01,0.2193,1.1567,0.292
H_aug_dir_s4,H_aug_dir,4,60,02,0.1992,1.1914,0.2732
H_aug_dir_s4,H_aug_dir,4,60,03,0.2699,1.1693,0.3515
H_aug_dir_s4,H_aug_dir,4,60,04,0.2379,1.1853,0.3365
H_aug_dir_s4,H_aug_dir,4,60,05,0.2579,1.1732,0.3404
H_aug_dir_s4,H_aug_dir,4,60,06,0.2547,1.187,0.357
H_aug_dir_s4,H_aug_dir,4,60,07,0.2524,1.1686,0.3675
H_aug_dir_s4,H_aug_dir,4,60,08,0.2679,1.21,0.3908
H_aug_dir_s4,H_aug_dir,4,60,09,0.2406,1.1867,0.3481
H_aug_dir_s4,H_aug_dir,4,60,10,0.2358,1.2358,0.3351
H_aug_dir_s4,H_aug_dir,4,60,11,0.2412,1.1985,0.3254
H_aug_dir_s4,H_aug_dir,4,60,12,0.2149,1.2153,0.3231
H_aug_dir_s4,H_aug_dir,4,60,13,0.2316,1.1961,0.3235
H_aug_dir_s4,H_aug_dir,4,60,14,0.2072,1.2165,0.2874
H_aug_dir_s4,H_aug_dir,4,60,15,0.1895,1.1724,0.2896
H_aug_dir_s4,H_aug_dir,4,60,16,0.1896,1.2397,0.304
H_aug_dir_s4,H_aug_dir,4,60,17,0.2168,1.2187,0.3617
H_aug_dir_s4,H_aug_dir,4,60,18,0.2074,1.2111,0.3146
H_aug_dir_s4,H_aug_dir,4,60,19,0.1594,1.2007,0.2488
H_aug_dir_s4,H_aug_dir,4,60,20,0.1921,1.1611,0.3032
H_aug_dir_s5,H_aug_dir,5,80,01,0.2221,1.1567,0.292
H_aug_dir_s5,H_aug_dir,5,80,02,0.2124,1.1914,0.2732
H_aug_dir_s5,H_aug_dir,5,80,03,0.2841,1.1693,0.3515
H_aug_dir_s5,H_aug_dir,5,80,04,0.2522,1.1853,0.3365
H_aug_dir_s5,H_aug_dir,5,80,05,0.2704,1.1732,0.3404
H_aug_dir_s5,H_aug_dir,5,80,06,0.2586,1.187,0.357
H_aug_dir_s5,H_aug_dir,5,80,07,0.2679,1.1686,0.3675
H_aug_dir_s5,H_aug_dir,5,80,08,0.2764,1.21,0.3908
H_aug_dir_s5,H_aug_dir,5,80,09,0.2531,1.1867,0.3481
H_aug_dir_s5,H_aug_dir,5,80,10,0.2522,1.2358,0.3351
H_aug_dir_s5,H_aug_dir,5,80,11,0.2478,1.1985,0.3254
H_aug_dir_s5,H_aug_dir,5,80,12,0.2236,1.2153,0.3231
H_aug_dir_s5,H_aug_dir,5,80,13,0.2464,1.1961,0.3235
H_aug_dir_s5,H_aug_dir,5,80,14,0.2185,1.2165,0.2874
H_aug_dir_s5,H_aug_dir,5,80,15,0.201,1.1724,0.2896
H_aug_dir_s5,H_aug_dir,5,80,16,0.2002,1.2397,0.304
H_aug_dir_s5,H_aug_dir,5,80,17,0.2353,1.2187,0.3617
H_aug_dir_s5,H_aug_dir,5,80,18,0.2187,1.2111,0.3146
H_aug_dir_s5,H_aug_dir,5,80,19,0.1675,1.2007,0.2488
H_aug_dir_s5,H_aug_dir,5,80,20,0.1976,1.1611,0.3032
