config,run,epoch,seed,image,source,along,across,erl_split,erl_bridged,dice,fg
K_focal_aug,K_focal_aug_s0,50,0,02,isotropic,1.5,1.5,0.88837,0.90016,0.46488,109373
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.0,0.25,0.36129,0.7465,0.82626,38887
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.0,0.5,0.73135,0.77727,0.76921,47062
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.0,1.0,0.78473,0.81178,0.64748,67578
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.5,0.0,0.73946,0.75733,0.81458,41206
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.5,0.25,0.74968,0.76297,0.80649,43374
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.5,0.5,0.8012,0.82151,0.69537,60758
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,0.5,1.0,0.82347,0.83916,0.59852,76515
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.0,0.0,0.76244,0.78991,0.78821,46815
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.0,0.25,0.78474,0.8188,0.77482,49458
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.0,0.5,0.83917,0.84588,0.68114,63138
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.0,1.0,0.85282,0.86099,0.56932,82546
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.5,0.0,0.79641,0.83465,0.76674,50283
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.5,0.25,0.82526,0.85044,0.74293,54186
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.5,0.5,0.85661,0.86519,0.66146,66377
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,1.5,1.0,0.87543,0.87966,0.55327,86259
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,2.0,0.0,0.83388,0.86219,0.73832,54622
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,2.0,0.25,0.8469,0.86579,0.71707,57903
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,2.0,0.5,0.86881,0.88067,0.6377,70346
K_focal_aug,K_focal_aug_s0,50,0,02,oracle,2.0,1.0,0.88837,0.88898,0.53773,89983
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.0,0.25,0.36129,0.7465,0.82626,38887
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.0,0.5,0.37526,0.75733,0.79355,44446
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.0,1.0,0.77673,0.82131,0.70849,57540
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.5,0.0,0.37089,0.7579,0.79401,44259
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.5,0.25,0.73671,0.76447,0.7814,46640
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.5,0.5,0.79391,0.82191,0.69351,61070
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,0.5,1.0,0.83052,0.8437,0.62987,71048
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.0,0.0,0.75998,0.82131,0.70844,57534
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.0,0.25,0.7726,0.82893,0.6878,60984
