run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,20,20,0.80801,0.84361,99.0,1143.549,7373
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,01,0.82655,0.86819,54.0,4428.03,9312
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,02,0.84693,0.85281,72.0,4803.174,9289
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,03,0.79666,0.78502,104.0,1296.077,9221
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,04,0.8246,0.7962,58.0,2811.278,8926
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,05,0.80773,0.79051,72.0,2019.767,9586
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,06,0.79901,0.77974,104.0,3023.672,9989
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,07,0.8108,0.80301,76.0,3045.275,8968
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,08,0.78846,0.7843,99.0,819.795,8585
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,09,0.79813,0.80684,56.0,1202.314,8726
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,10,0.80562,0.7848,74.0,2868.532,9137
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,11,0.81043,0.79045,83.0,3674.514,10456
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,12,0.82404,0.84364,76.0,1370.37,8712
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,13,0.81523,0.79867,84.0,1545.677,10186
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,14,0.81945,0.82777,90.0,3821.87,8358
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,15,0.80405,0.83565,69.0,3730.193,7651
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,16,0.84042,0.87474,83.0,4692.55,8812
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,17,0.81922,0.84878,84.0,1482.359,7984
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,18,0.81696,0.87099,60.0,1837.67,7659
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,19,0.84914,0.87559,73.0,5268.689,8476
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,30,20,0.80614,0.84245,97.0,1196.606,7373
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,40,01,0.82947,0.86564,59.0,4931.084,9312
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,40,02,0.84931,0.85543,68.0,4757.895,9289
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,40,03,0.80054,0.78171,94.0,1069.535,9221
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,40,04,0.8252,0.79844,61.0,2641.17,8926
