config,run,seed,variant,image,dice,cldice,betti0_err,erl,skel_px
A_dice,A_dice_s0,0,tta_iv,12,0.83002,0.84582,50.0,1584.141,8712
A_dice,A_dice_s0,0,tta_iv,13,0.82354,0.80771,65.0,1693.565,10186
A_dice,A_dice_s0,0,tta_iv,14,0.83052,0.84995,49.0,3885.545,8358
A_dice,A_dice_s0,0,tta_iv,15,0.81405,0.84842,45.0,2756.386,7651
A_dice,A_dice_s0,0,tta_iv,16,0.84041,0.87958,49.0,3852.801,8812
A_dice,A_dice_s0,0,tta_iv,17,0.81614,0.83481,52.0,1065.658,7984
A_dice,A_dice_s0,0,tta_iv,18,0.82125,0.87901,24.0,3158.84,7659
A_dice,A_dice_s0,0,tta_iv,19,0.8658,0.89769,39.0,5025.675,8476
A_dice,A_dice_s0,0,tta_iv,20,0.81478,0.85485,67.0,1374.135,7373
A_dice,A_dice_s0,0,swa,01,0.82905,0.86834,48.0,4275.915,9312
A_dice,A_dice_s0,0,swa,02,0.84909,0.84973,85.0,2660.727,9289
A_dice,A_dice_s0,0,swa,03,0.79412,0.78236,91.0,578.324,9221
A_dice,A_dice_s0,0,swa,04,0.82515,0.795,57.0,2581.323,8926
A_dice,A_dice_s0,0,swa,05,0.80446,0.78533,69.0,2348.945,9586
A_dice,A_dice_s0,0,swa,06,0.79652,0.76993,101.0,1336.383,9989
A_dice,A_dice_s0,0,swa,07,0.80509,0.79247,109.0,2566.519,8968
A_dice,A_dice_s0,0,swa,08,0.78927,0.7752,90.0,730.805,8585
A_dice,A_dice_s0,0,swa,09,0.79195,0.79219,80.0,1236.546,8726
A_dice,A_dice_s0,0,swa,10,0.8047,0.78358,55.0,2408.608,9137
A_dice,A_dice_s0,0,swa,11,0.8109,0.78321,81.0,3357.198,10456
A_dice,A_dice_s0,0,swa,12,0.82112,0.83694,67.0,1413.333,8712
A_dice,A_dice_s0,0,swa,13,0.81382,0.79571,85.0,1656.807,10186
A_dice,A_dice_s0,0,swa,14,0.81918,0.82927,94.0,3461.782,8358
A_dice,A_dice_s0,0,swa,15,0.80091,0.82217,99.0,3169.175,7651
A_dice,A_dice_s0,0,swa,16,0.83818,0.8703,70.0,4175.091,8812
A_dice,A_dice_s0,0,swa,17,0.81273,0.83155,81.0,1044.183,7984
A_dice,A_dice_s0,0,swa,18,0.82091,0.87153,57.0,1638.93,7659
A_dice,A_dice_s0,0,swa,19,0.85125,0.87863,60.0,4986.309,8476
A_dice,A_dice_s0,0,swa,20,0.81181,0.84739,86.0,1189.182,7373
A_dice,A_dice_s0,0,swa_tta,01,0.839,0.87428,46.0,3926.554,9312
A_dice,A_dice_s0,0,swa_tta,02,0.85707,0.8575,53.0,2285.805,9289
A_dice,A_dice_s0,0,swa_tta,03,0.79901,0.78897,63.0,683.109,9221
A_dice,A_dice_s0,0,swa_tta,04,0.83154,0.79794,39.0,2422.359,8926
A_dice,A_dice_s0,0,swa_tta,05,0.80366,0.77731,56.0,2156.397,9586
A_dice,A_dice_s0,0,swa_tta,06,0.78993,0.76182,59.0,2241.613,9989
A_dice,A_dice_s0,0,swa_tta,07,0.81737,0.80692,48.0,2615.133,8968
A_dice,A_dice_s0,0,swa_tta,08,0.78999,0.77564,60.0,604.321,8585
A_dice,A_dice_s0,0,swa_tta,09,0.80074,0.79874,51.0,832.975,8726
A_dice,A_dice_s0,0,swa_tta,10,0.80758,0.77519,59.0,2418.558,9137
A_dice,A_dice_s0,0,swa_tta,11,0.81511,0.78602,42.0,3207.088,10456
A_dice,A_dice_s0,0,swa_tta,12,0.8293,0.84482,47.0,1394.709,8712
A_dice,A_dice_s0,0,swa_tta,13,0.822,0.80521,67.0,1586.641,10186
A_dice,A_dice_s0,0,swa_tta,14,0.83406,0.85016,42.0,3528.783,8358
A_dice,A_dice_s0,0,swa_tta,15,0.81919,0.84946,49.0,2764.475,7651
A_dice,A_dice_s0,0,swa_tta,16,0.83958,0.87441,51.0,3581.165,8812
A_dice,A_dice_s0,0,swa_tta,17,0.81585,0.8329,54.0,1061.87,7984
A_dice,A_dice_s0,0,swa_tta,18,0.82624,0.87491,42.0,3627.348,7659
A_dice,A_dice_s0,0,swa_tta,19,0.87382,0.89641,46.0,4760.199,8476
A_dice,A_dice_s0,0,swa_tta,20,0.81969,0.84889,73.0,1187.096,7373
A_dice,A_dice_s1,1,rule_i,01,0.82492,0.86188,59.0,4290.727,9312
A_dice,A_dice_s1,1,rule_i,02,0.84993,0.85439,71.0,4879.456,9289
