config,run,epoch,seed,condition,radius_px,image,erl,skel_px,dice,foreground
A_dice,A_dice_s0,30,0,raw,0,14,4369.558,8358,0.81878,29939
A_dice,A_dice_s0,30,0,closing,6,14,5157.137,8358,0.72539,39516
A_dice,A_dice_s0,30,0,closing_fair,1,14,4587.201,8358,0.81719,30181
A_dice,A_dice_s0,30,0,oracle_sever,0,14,4791.125,8358,0.82115,30053
A_dice,A_dice_s0,30,0,oracle_all,0,14,8358.0,8358,0.84039,30994
A_dice,A_dice_s0,30,0,raw,0,15,3987.276,7651,0.79877,28038
A_dice,A_dice_s0,30,0,closing,6,15,4285.737,7651,0.67215,40309
A_dice,A_dice_s0,30,0,closing_fair,1,15,4021.97,7651,0.79741,28249
A_dice,A_dice_s0,30,0,oracle_sever,0,15,4110.057,7651,0.80079,28125
A_dice,A_dice_s0,30,0,oracle_all,0,15,7617.076,7651,0.81914,28929
A_dice,A_dice_s0,30,0,raw,0,16,4631.576,8812,0.84343,31160
A_dice,A_dice_s0,30,0,closing,6,16,5484.403,8812,0.757,40365
A_dice,A_dice_s0,30,0,closing_fair,1,16,4692.651,8812,0.84223,31418
A_dice,A_dice_s0,30,0,oracle_sever,0,16,4779.417,8812,0.84449,31216
A_dice,A_dice_s0,30,0,oracle_all,0,16,8665.243,8812,0.86395,32261
A_dice,A_dice_s0,30,0,raw,0,17,2459.769,7984,0.82114,27919
A_dice,A_dice_s0,30,0,closing,6,17,3496.812,7984,0.74874,36293
A_dice,A_dice_s0,30,0,closing_fair,1,17,2718.593,7984,0.82148,28147
A_dice,A_dice_s0,30,0,oracle_sever,0,17,2698.357,7984,0.82445,28076
A_dice,A_dice_s0,30,0,oracle_all,0,17,7984.0,7984,0.85224,29430
A_dice,A_dice_s0,30,0,raw,0,18,3453.904,7659,0.82084,30515
A_dice,A_dice_s0,30,0,closing,6,18,4002.118,7659,0.74346,38180
A_dice,A_dice_s0,30,0,closing_fair,1,18,3464.656,7659,0.81807,30807
A_dice,A_dice_s0,30,0,oracle_sever,0,18,3630.52,7659,0.82225,30583
A_dice,A_dice_s0,30,0,oracle_all,0,18,7547.708,7659,0.83996,31449
A_dice,A_dice_s0,30,0,raw,0,19,4496.653,8476,0.84894,32436
A_dice,A_dice_s0,30,0,closing,6,19,6079.711,8476,0.73437,43052
A_dice,A_dice_s0,30,0,closing_fair,1,19,5542.462,8476,0.84703,32663
A_dice,A_dice_s0,30,0,oracle_sever,0,19,4872.173,8476,0.85236,32614
A_dice,A_dice_s0,30,0,oracle_all,0,19,8233.349,8476,0.8629,33170
A_dice,A_dice_s0,30,0,raw,0,20,1287.726,7373,0.80525,30034
A_dice,A_dice_s0,30,0,closing,6,20,4233.796,7373,0.70152,40178
A_dice,A_dice_s0,30,0,closing_fair,1,20,1317.329,7373,0.80287,30322
A_dice,A_dice_s0,30,0,oracle_sever,0,20,1357.919,7373,0.80738,30131
A_dice,A_dice_s0,30,0,oracle_all,0,20,7299.352,7373,0.82082,30751
A_dice,A_dice_s1,20,1,raw,0,01,4290.727,9312,0.82744,34047
A_dice,A_dice_s1,20,1,closing,6,01,5718.666,9312,0.72235,46124
A_dice,A_dice_s1,20,1,closing_fair,1,01,4568.132,9312,0.82505,34420
A_dice,A_dice_s1,20,1,oracle_sever,0,01,4517.839,9312,0.82859,34109
A_dice,A_dice_s1,20,1,oracle_all,0,01,8944.818,9312,0.84717,35133
A_dice,A_dice_s1,20,1,raw,0,02,4879.456,9289,0.85086,35486
A_dice,A_dice_s1,20,1,closing,6,02,5952.582,9289,0.7524,47449
A_dice,A_dice_s1,20,1,closing_fair,1,02,5027.971,9289,0.84925,35824
A_dice,A_dice_s1,20,1,oracle_sever,0,02,5490.411,9289,0.85336,35637
A_dice,A_dice_s1,20,1,oracle_all,0,02,9161.659,9289,0.87094,36718
A_dice,A_dice_s1,20,1,raw,0,03,1051.475,9221,0.80211,29729
A_dice,A_dice_s1,20,1,closing,6,03,2004.191,9221,0.75419,38821
A_dice,A_dice_s1,20,1,closing_fair,1,03,1275.595,9221,0.80302,29977
A_dice,A_dice_s1,20,1,oracle_sever,0,03,1474.611,9221,0.81051,30171
