epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3947,0.8201,0.8371,38.45,27.75,4.2866,1.6
20,0.367,0.821,0.8244,52.1,26.5,4.2956,3.3
30,0.3389,0.8171,0.8193,61.15,27.05,4.2119,4.9
40,0.3075,0.8147,0.8136,74.65,28.3,3.9428,6.5
50,0.2753,0.8076,0.797,132.05,25.0,4.3613,8.1
60,0.2485,0.8071,0.8027,88.05,28.8,4.2398,9.7
70,0.2224,0.8051,0.7991,98.05,27.55,4.2997,11.3
80,0.2073,0.8039,0.8015,124.45,24.6,4.2207,12.9
90,0.1902,0.8022,0.798,117.25,26.3,4.212,14.5
100,0.1797,0.8016,0.7973,111.05,26.15,4.0828,16.1
