epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5599,0.817,0.8317,69.4,26.35,4.0212,1.0
20,0.5414,0.8197,0.8315,68.15,27.35,3.7959,1.9
30,0.5351,0.8212,0.8338,63.1,26.35,3.9569,2.9
40,0.5291,0.8219,0.8303,61.1,29.4,4.1168,3.8
50,0.5296,0.8209,0.8334,63.1,28.7,3.7235,4.8
60,0.5271,0.8214,0.8315,56.2,28.6,4.0584,5.7
70,0.5301,0.8218,0.8305,58.4,28.25,3.8561,6.6
80,0.5171,0.8226,0.8327,64.6,26.8,3.8497,7.6
90,0.5221,0.822,0.8321,60.1,28.5,3.7447,8.5
100,0.5194,0.8229,0.8327,57.05,27.75,3.5692,9.5
