epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5633,0.8188,0.8313,61.55,27.5,4.316,1.2
20,0.5416,0.8184,0.8293,59.4,25.7,3.9692,2.3
30,0.5367,0.8208,0.834,59.65,27.15,3.7814,3.3
40,0.5288,0.8198,0.8325,57.6,26.45,3.8159,4.4
50,0.5352,0.8215,0.8324,63.25,25.4,3.6888,5.4
60,0.5232,0.8225,0.8324,52.7,26.9,3.9023,6.4
70,0.519,0.8238,0.8343,52.0,24.9,3.7016,7.4
80,0.5154,0.8213,0.8335,58.2,26.05,3.6503,8.5
90,0.5169,0.8209,0.8321,53.05,26.25,3.9948,9.6
100,0.5124,0.8224,0.8351,54.75,25.15,3.7696,10.7
