epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6977,0.8192,0.8394,53.8,34.4,3.4306,1.2
20,0.6815,0.8202,0.8409,48.4,30.2,3.2454,2.5
30,0.6593,0.8238,0.843,48.2,30.6,2.8601,3.7
40,0.6536,0.8271,0.8463,42.0,26.2,2.9786,4.9
50,0.648,0.8246,0.8423,49.6,28.2,2.8504,6.1
60,0.6446,0.8228,0.8435,47.8,25.8,2.8375,7.3
70,0.6449,0.8248,0.8473,47.2,25.8,2.8971,8.5
80,0.6444,0.8244,0.8426,47.2,27.6,2.8375,9.8
90,0.6382,0.8226,0.8443,49.0,28.6,2.7812,11.0
100,0.6356,0.8209,0.8467,41.4,25.2,2.8258,12.2
