image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0162,ah,0.8367948173010685,0.880182991419347,37,28,41,4,2.0
im0162,vk,0.8196744040947902,0.7864554185932661,20,64,41,21,10.198039027185569
im0163,ah,0.8316704300792942,0.8795994525522276,17,0,18,1,5.0
im0163,vk,0.8704796489635346,0.8795544854928826,10,32,18,8,3.605551275463989
im0235,ah,0.8578452170006738,0.891231689416332,15,5,24,9,2.8284271247461903
im0235,vk,0.8036675342975126,0.7708130362902434,17,41,24,7,14.560219778561036
im0236,ah,0.8635487521295249,0.894166726307857,20,11,23,3,4.0
im0236,vk,0.8197071602275156,0.7932988965957876,8,17,23,15,12.649110640673518
im0239,ah,0.8379863276062127,0.8738520560339069,21,26,24,3,3.1622776601683795
im0239,vk,0.7759539253217617,0.7898057750451338,21,24,24,3,11.661903789690601
im0240,ah,0.815345942063682,0.8680381645646309,32,16,39,7,7.810249675906654
im0240,vk,0.7415451797751738,0.7334620886511508,30,37,39,9,16.15549442140351
im0255,ah,0.8632928321788612,0.892044685582782,18,32,21,3,2.8284271247461903
im0255,vk,0.8162001486252167,0.7882932447687213,4,50,21,17,10.0
im0291,ah,0.8366299660298263,0.8728550478394766,9,9,14,5,6.324555320336759
im0291,vk,0.8024827526546855,0.7639954570705412,10,20,14,4,21.556890099272657
im0319,ah,0.7802625960717335,0.8295717288125554,32,12,39,7,13.922996634023919
im0319,vk,0.7510478519035976,0.736531304908616,31,13,39,8,20.0
im0324,ah,0.7040730551734679,0.7749296213222774,27,12,32,5,15.132745950421556
im0324,vk,0.6575755747299825,0.6150455371933796,23,28,32,9,24.0
