epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4642,0.8227,0.831,61.6,28.6,3.7384,1.4
20,0.4422,0.8243,0.8395,52.6,26.0,3.1314,2.8
30,0.4353,0.8192,0.8202,47.6,29.6,4.6028,4.2
40,0.4314,0.824,0.8303,58.4,27.2,3.3981,5.6
50,0.4273,0.8284,0.8364,50.4,27.6,3.0807,7.0
60,0.419,0.8274,0.8361,48.6,27.2,2.9915,8.4
70,0.4154,0.8283,0.8372,51.8,26.0,2.9416,9.8
80,0.4153,0.8247,0.8338,58.0,28.0,3.0454,11.1
90,0.4066,0.828,0.8404,49.2,24.6,2.6374,12.5
100,0.4094,0.8274,0.8445,47.4,24.8,2.8743,13.9
