epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4686,0.8132,0.8401,39.4,28.2,4.672,1.1
20,0.4497,0.81,0.849,42.0,31.8,3.9023,2.2
30,0.444,0.8073,0.8547,40.8,26.8,3.5643,3.2
40,0.4349,0.8124,0.8548,40.8,26.2,3.786,4.3
50,0.432,0.8121,0.8571,43.8,22.6,3.5981,5.4
60,0.4309,0.8071,0.859,44.4,27.8,3.2129,6.5
70,0.4281,0.8098,0.8559,44.0,30.6,3.7849,7.5
80,0.4248,0.8103,0.8568,39.6,24.6,3.6173,8.6
90,0.4195,0.8095,0.8573,40.4,22.2,3.4797,9.7
100,0.4268,0.808,0.8563,40.2,22.8,3.4783,10.7
