epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,1.1222,0.7898,0.8239,108.6,25.8,5.8981,0.8
20,1.0962,0.7922,0.8242,100.2,25.8,5.7599,1.5
30,1.0739,0.7927,0.8241,90.2,21.2,5.766,2.3
40,1.0585,0.7824,0.8105,121.6,20.8,7.5699,3.0
50,1.0517,0.7897,0.8212,102.6,22.4,6.1248,3.7
60,1.0407,0.7868,0.8195,118.0,21.2,6.4545,4.4
70,1.0293,0.7942,0.8269,102.6,23.8,5.3918,5.2
80,1.0114,0.7979,0.8327,85.6,26.4,4.8979,5.9
90,1.0128,0.7848,0.8179,104.2,23.8,6.7642,6.6
100,1.0151,0.7921,0.8275,87.6,25.2,5.5918,7.3
