epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,1.4073,0.7643,0.8279,86.8,23.0,6.6618,1.4
20,1.3622,0.7465,0.8058,110.0,19.6,9.0979,2.7
30,1.3369,0.7627,0.8276,82.8,20.6,6.7455,4.0
40,1.2939,0.774,0.8389,74.8,20.6,5.5454,5.3
50,1.2872,0.7558,0.8237,80.4,20.4,7.3686,6.5
60,1.2925,0.7628,0.8279,80.2,19.8,6.5786,7.8
70,1.277,0.7707,0.8332,66.4,20.2,5.8962,9.1
80,1.2649,0.7544,0.8237,77.8,19.2,7.0453,10.4
90,1.2519,0.7545,0.8176,103.4,19.4,7.264,11.7
100,1.2445,0.751,0.8142,107.4,17.4,8.3002,13.0
