epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4792,0.8205,0.8311,64.8,32.6,4.1457,0.9
20,0.4618,0.8227,0.835,61.0,34.4,3.362,1.8
30,0.4587,0.8246,0.8338,67.0,31.8,3.3295,2.6
40,0.4549,0.8209,0.8302,58.0,34.6,3.5358,3.5
50,0.4478,0.8226,0.8327,70.0,31.4,3.2306,4.3
60,0.4477,0.8239,0.8363,63.2,31.4,3.2454,5.2
70,0.4438,0.8263,0.8357,58.8,32.2,3.2409,6.1
80,0.4407,0.8243,0.8344,62.8,30.4,3.0995,6.9
90,0.4421,0.8267,0.8358,57.0,31.2,3.3322,7.8
100,0.4379,0.8239,0.8334,72.4,27.8,2.9786,8.6
