run,config,image,min_size,dice,cldice,b0_pred,b0_gt,betti0_err,n,on,off,off_px,median_off
A_dice_s0,A_dice,08,2,0.7840253802370066,0.7735367931542155,101,3,98,125,58,67,425.0,4.0
A_dice_s0,A_dice,08,5,0.7849128581045702,0.7765291523922798,67,3,64,125,58,67,425.0,4.0
A_dice_s0,A_dice,08,10,0.785696874238248,0.7782274878764752,46,3,43,125,58,67,425.0,4.0
A_dice_s0,A_dice,08,20,0.7873562136415837,0.7821455479535819,31,3,28,125,58,67,425.0,4.0
A_dice_s0,A_dice,08,50,0.7879605013292822,0.7811894326222668,14,3,11,125,58,67,425.0,4.0
A_dice_s0,A_dice,08,100,0.7859661224802637,0.7726681526624498,7,3,4,125,58,67,425.0,4.0
A_dice_s0,A_dice,09,0,0.7928624356637894,0.7940042912618791,86,3,83,86,54,32,112.0,2.0
A_dice_s0,A_dice,09,2,0.7928195059403362,0.7939120458884766,66,3,63,86,54,32,112.0,2.0
A_dice_s0,A_dice,09,5,0.7929070047340127,0.7945226386399188,42,3,39,86,54,32,112.0,2.0
A_dice_s0,A_dice,09,10,0.7932967629151848,0.7957680866699668,28,3,25,86,54,32,112.0,2.0
A_dice_s0,A_dice,09,20,0.7930964958264446,0.7947614286792208,17,3,14,86,54,32,112.0,2.0
A_dice_s0,A_dice,09,50,0.7909776264591439,0.7892209180309202,9,3,6,86,54,32,112.0,2.0
A_dice_s0,A_dice,09,100,0.787442078834024,0.7822165879599307,4,3,1,86,54,32,112.0,2.0
A_dice_s0,A_dice,10,0,0.8012203970010976,0.7756594627309282,107,3,104,107,46,61,260.0,2.0
A_dice_s0,A_dice,10,2,0.8014070875521143,0.7763570018430365,82,3,79,107,46,61,260.0,2.0
A_dice_s0,A_dice,10,5,0.8023112767940355,0.7791695162365211,53,3,50,107,46,61,260.0,2.0
A_dice_s0,A_dice,10,10,0.8033699469476201,0.7819330592838706,36,3,33,107,46,61,260.0,2.0
A_dice_s0,A_dice,10,20,0.8031708551189071,0.7802936573507642,24,3,21,107,46,61,260.0,2.0
A_dice_s0,A_dice,10,50,0.8025898520084567,0.7764826108334799,11,3,8,107,46,61,260.0,2.0
A_dice_s0,A_dice,10,100,0.8012092864069363,0.7702038350325068,5,3,2,107,46,61,260.0,2.0
A_dice_s0,A_dice,11,0,0.8059646104279473,0.7771523238084066,108,3,105,108,56,52,360.0,4.0
A_dice_s0,A_dice,11,2,0.8060678669658978,0.7775428756197067,88,3,85,108,56,52,360.0,4.0
A_dice_s0,A_dice,11,5,0.8064663254446865,0.7785088965714949,67,3,64,108,56,52,360.0,4.0
A_dice_s0,A_dice,11,10,0.8067465962202804,0.7793141925638143,45,3,42,108,56,52,360.0,4.0
A_dice_s0,A_dice,11,20,0.8082503652859424,0.7825990501570765,29,3,26,108,56,52,360.0,4.0
A_dice_s0,A_dice,11,50,0.808627653175217,0.7784460305477807,6,3,3,108,56,52,360.0,4.0
A_dice_s0,A_dice,11,100,0.8086095566078347,0.7777126184231239,4,3,1,108,56,52,360.0,4.0
A_dice_s0,A_dice,12,0,0.8218094072142084,0.8377246852166323,75,1,74,75,33,42,302.0,3.5
A_dice_s0,A_dice,12,2,0.8218507081248003,0.8379019219079791,60,1,59,75,33,42,302.0,3.5
A_dice_s0,A_dice,12,5,0.8220331456383111,0.8387753131152613,41,1,40,75,33,42,302.0,3.5
A_dice_s0,A_dice,12,10,0.8228172624982196,0.8413339858007297,22,1,21,75,33,42,302.0,3.5
A_dice_s0,A_dice,12,20,0.8234202733078817,0.8432024182719823,13,1,12,75,33,42,302.0,3.5
A_dice_s0,A_dice,12,50,0.8230809156479874,0.8428581309847267,7,1,6,75,33,42,302.0,3.5
A_dice_s0,A_dice,12,100,0.8234723569350145,0.8417320067505734,4,1,3,75,33,42,302.0,3.5
A_dice_s0,A_dice,13,0,0.8126982093090304,0.7931890559250654,123,6,117,123,71,52,352.0,4.0
A_dice_s0,A_dice,13,2,0.8126261817016504,0.7931864381259397,99,6,93,123,71,52,352.0,4.0
A_dice_s0,A_dice,13,5,0.8128990855125943,0.7941969696107606,72,6,66,123,71,52,352.0,4.0
A_dice_s0,A_dice,13,10,0.812962367320682,0.7940013632282786,50,6,44,123,71,52,352.0,4.0
A_dice_s0,A_dice,13,20,0.8142866382098047,0.7952681627082413,25,6,19,123,71,52,352.0,4.0
A_dice_s0,A_dice,13,50,0.8133750081396106,0.7910905734838871,11,6,5,123,71,52,352.0,4.0
A_dice_s0,A_dice,13,100,0.8110533929510784,0.7824686124293873,2,6,4,123,71,52,352.0,4.0
A_dice_s0,A_dice,14,0,0.8113549134622348,0.8163997145081824,89,1,88,89,25,64,608.0,3.0
A_dice_s0,A_dice,14,2,0.8116340981943967,0.8174010724327824,70,1,69,89,25,64,608.0,3.0
A_dice_s0,A_dice,14,5,0.8119820848972783,0.8189689563419531,45,1,44,89,25,64,608.0,3.0
A_dice_s0,A_dice,14,10,0.8127507397389584,0.8208876567712011,35,1,34,89,25,64,608.0,3.0
A_dice_s0,A_dice,14,20,0.8142997560886818,0.8243242503101059,23,1,22,89,25,64,608.0,3.0
A_dice_s0,A_dice,14,50,0.8167675655842964,0.8263639748689368,8,1,7,89,25,64,608.0,3.0
A_dice_s0,A_dice,14,100,0.8149162073175243,0.8185833208032041,2,1,1,89,25,64,608.0,3.0
A_dice_s0,A_dice,15,0,0.7860543155923209,0.8067907795911947,135,2,133,135,29,106,1354.0,4.5
A_dice_s0,A_dice,15,2,0.7864295613812489,0.808199457217544,108,2,106,135,29,106,1354.0,4.5
A_dice_s0,A_dice,15,5,0.7874095796676441,0.8113090600668227,78,2,76,135,29,106,1354.0,4.5
A_dice_s0,A_dice,15,10,0.7886688884532445,0.8138186969333951,58,2,56,135,29,106,1354.0,4.5
A_dice_s0,A_dice,15,20,0.7923269720352865,0.8212253627482948,34,2,32,135,29,106,1354.0,4.5
A_dice_s0,A_dice,15,50,0.7978240435191296,0.8296994763456128,12,2,10,135,29,106,1354.0,4.5
A_dice_s0,A_dice,15,100,0.7984899870801033,0.8264737732040882,4,2,2,135,29,106,1354.0,4.5
A_dice_s0,A_dice,16,0,0.8330607496332766,0.8622039038845041,80,2,78,80,31,49,520.0,6.0
A_dice_s0,A_dice,16,2,0.8330691132323675,0.8624302765134183,65,2,63,80,31,49,520.0,6.0
A_dice_s0,A_dice,16,5,0.8331476793248945,0.8628606782760624,50,2,48,80,31,49,520.0,6.0
A_dice_s0,A_dice,16,10,0.8338375728893772,0.864957975533368,37,2,35,80,31,49,520.0,6.0
A_dice_s0,A_dice,16,20,0.8348648740293649,0.8678646716671701,24,2,22,80,31,49,520.0,6.0
A_dice_s0,A_dice,16,50,0.8352878738593758,0.8706778251110374,4,2,2,80,31,49,520.0,6.0
A_dice_s0,A_dice,16,100,0.8338714109080918,0.8674748491000563,1,2,1,80,31,49,520.0,6.0
A_dice_s0,A_dice,17,0,0.8160422670509125,0.8309330597855763,99,1,98,99,43,56,405.0,4.0
A_dice_s0,A_dice,17,2,0.8161439949734814,0.83137651693411,80,1,79,99,43,56,405.0,4.0
A_dice_s0,A_dice,17,5,0.816656492221174,0.8332004212773901,61,1,60,99,43,56,405.0,4.0
A_dice_s0,A_dice,17,10,0.8170141784820684,0.8341280668442973,46,1,45,99,43,56,405.0,4.0
A_dice_s0,A_dice,17,20,0.8179341741921039,0.8367911049215165,20,1,19,99,43,56,405.0,4.0
A_dice_s0,A_dice,17,50,0.8164108729547461,0.8347888312580555,8,1,7,99,43,56,405.0,4.0
A_dice_s0,A_dice,17,100,0.8137316027130684,0.8294361836520528,4,1,3,99,43,56,405.0,4.0
A_dice_s0,A_dice,18,0,0.8183688941839056,0.865906817052402,70,3,67,70,22,48,366.0,3.5
A_dice_s0,A_dice,18,2,0.81852487135506,0.8665167237890462,57,3,54,70,22,48,366.0,3.5
A_dice_s0,A_dice,18,5,0.818907881898016,0.8680808511789044,40,3,37,70,22,48,366.0,3.5
A_dice_s0,A_dice,18,10,0.8196875622250783,0.8708177030825702,25,3,22,70,22,48,366.0,3.5
A_dice_s0,A_dice,18,20,0.8199147546930262,0.8711118395278119,17,3,14,70,22,48,366.0,3.5
A_dice_s0,A_dice,18,50,0.820502512562814,0.8731363757182004,4,3,1,70,22,48,366.0,3.5
A_dice_s0,A_dice,18,100,0.8194271481942715,0.8702181176718269,2,3,1,70,22,48,366.0,3.5
A_dice_s0,A_dice,19,0,0.8540314709860795,0.8770344139867984,93,5,88,93,31,62,647.0,6.5
A_dice_s0,A_dice,19,2,0.8541773712876375,0.87757405389038,76,5,71,93,31,62,647.0,6.5
A_dice_s0,A_dice,19,5,0.8546062216128203,0.8790925965774733,60,5,55,93,31,62,647.0,6.5
A_dice_s0,A_dice,19,10,0.8553033684716547,0.8809983494162474,46,5,41,93,31,62,647.0,6.5
A_dice_s0,A_dice,19,20,0.8576601431157859,0.8864392840215496,27,5,22,93,31,62,647.0,6.5
A_dice_s0,A_dice,19,50,0.8613541666666666,0.8934209595199407,13,5,8,93,31,62,647.0,6.5
A_dice_s0,A_dice,19,100,0.859348469200203,0.8889921608038035,6,5,1,93,31,62,647.0,6.5
A_dice_s0,A_dice,20,0,0.8036384309266629,0.8337396111753353,110,3,107,110,28,82,957.0,7.5
A_dice_s0,A_dice,20,2,0.8038520596765938,0.8345251640990754,91,3,88,110,28,82,957.0,7.5
A_dice_s0,A_dice,20,5,0.8044868753202877,0.8366672817863074,70,3,67,110,28,82,957.0,7.5
A_dice_s0,A_dice,20,10,0.8058797768426664,0.8410345522504639,47,3,44,110,28,82,957.0,7.5
A_dice_s0,A_dice,20,20,0.806685130360042,0.8428155387044787,35,3,32,110,28,82,957.0,7.5
A_dice_s0,A_dice,20,50,0.8140360405795977,0.8593582020469087,8,3,5,110,28,82,957.0,7.5
A_dice_s0,A_dice,20,100,0.81251095487565,0.8565939285019777,5,3,2,110,28,82,957.0,7.5
B_cldice_s0,B_cldice,01,0,0.8235835289638982,0.862148068457539,60,9,51,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,01,2,0.8236301913131762,0.8623339240395591,54,9,45,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,01,5,0.823865530212847,0.8631106902917006,42,9,33,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,01,10,0.8244769575370539,0.8647710611451033,33,9,24,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,01,20,0.8256497697321243,0.8677504406676225,18,9,9,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,01,50,0.8249779559118237,0.8646880226964319,6,9,3,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,01,100,0.8236770146372848,0.8620092892725146,3,9,6,60,28,32,203.0,5.0
B_cldice_s0,B_cldice,02,0,0.8477015671793678,0.8472415570393338,59,4,55,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,02,2,0.8477587635760916,0.8474704958065621,52,4,48,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,02,5,0.8479902238903679,0.8485287773013166,36,4,32,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,02,10,0.8484283780045715,0.8500191303131337,28,4,24,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,02,20,0.8484875029198785,0.8498773731804777,13,4,9,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,02,50,0.848918123086389,0.8497635549564649,5,4,1,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,02,100,0.8490590983209202,0.8482483599382312,3,4,1,59,31,28,164.0,3.0
B_cldice_s0,B_cldice,03,0,0.7942076084878609,0.7777306046180816,84,1,83,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,03,2,0.7942380929617413,0.7779773717731582,69,1,68,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,03,5,0.794386412566781,0.7785611744121601,49,1,48,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,03,10,0.7946613876560554,0.7791070588034044,38,1,37,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,03,20,0.7950877417702062,0.779382611158312,26,1,25,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,03,50,0.7941166983840273,0.7740810514348754,10,1,9,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,03,100,0.7947338480292564,0.7705548759132645,4,1,3,84,47,37,297.0,3.0
B_cldice_s0,B_cldice,04,0,0.8239554036074574,0.7940911819468375,45,1,44,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,04,2,0.8238979939025417,0.793948106346653,37,1,36,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,04,5,0.8239617044228694,0.7942469707622419,24,1,23,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,04,10,0.8236643668078072,0.793485781053701,16,1,15,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,04,20,0.823886947272451,0.7939087239381706,12,1,11,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,04,50,0.8248480436144456,0.7945668978652366,7,1,6,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,04,100,0.8239759015640157,0.7897072220883798,2,1,1,45,32,13,138.0,4.0
B_cldice_s0,B_cldice,05,0,0.8093108666451295,0.7842976850325661,53,2,51,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,05,2,0.8093319049805302,0.7843719561173429,49,2,47,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,05,5,0.8095213788644445,0.7848637943090992,36,2,34,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,05,10,0.80970625798212,0.7849958902486496,29,2,27,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,05,20,0.8106751357442885,0.7868263834843566,17,2,15,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,05,50,0.8096105592410545,0.7825519836621357,5,2,3,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,05,100,0.8089031412709906,0.7802112579807633,2,2,0,53,31,22,149.0,5.5
B_cldice_s0,B_cldice,06,0,0.7993822497523962,0.773616736815366,77,4,73,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,06,2,0.7995298463605071,0.7741211535115392,61,4,57,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,06,5,0.7994420074286963,0.7741335953237849,42,4,38,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,06,10,0.7991716334983332,0.773104742117429,27,4,23,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,06,20,0.7992987424564243,0.7733271359145618,21,4,17,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,06,50,0.7983641053489003,0.7689374776250427,8,4,4,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,06,100,0.795217302312888,0.7607073156322599,3,4,1,77,49,28,137.0,1.5
B_cldice_s0,B_cldice,07,0,0.8125,0.7962584952774051,75,2,73,75,36,39,205.0,4.0
B_cldice_s0,B_cldice,07,2,0.8125239038976392,0.796425378065317,61,2,59,75,36,39,205.0,4.0
B_cldice_s0,B_cldice,07,5,0.8129589031562098,0.7976987930986787,44,2,42,75,36,39,205.0,4.0
B_cldice_s0,B_cldice,07,10,0.8137916601266154,0.7999615021335832,25,2,23,75,36,39,205.0,4.0
