method,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
frangi_s1-7_f0.08,25,0.45700187506167966,0.4745725899637254,1564,10,1565,1,17.0
frangi_s1-7_f0.1,25,0.47818240877756524,0.4790252312086351,2402,0,2403,1,17.69180601295413
frangi_s1-7_f0.12,25,0.4837192294267241,0.4698159993914979,3197,17,3198,1,18.35755975068582
frangi_s1-7_f0.14,25,0.4796955878728124,0.4516117258863662,3829,12,3830,1,18.973665961010276
sato_s1-3_f0.08,25,0.4141715187999605,0.43338259348099684,180,46,181,1,34.132096331752024
sato_s1-3_f0.1,25,0.495939654239001,0.5155622723421529,201,38,202,1,28.209915299075945
sato_s1-3_f0.12,25,0.5563219919219454,0.5698391329812468,344,33,345,1,21.02379604162864
sato_s1-3_f0.14,25,0.5915701257086518,0.5911874541095475,692,14,693,1,18.027756377319946
sato_s1-5_f0.08,25,0.3257080825027139,0.3263907467589292,138,48,139,1,44.654227123532216
sato_s1-5_f0.1,25,0.4143718193958206,0.42822103725505145,172,44,173,1,35.0
sato_s1-5_f0.12,25,0.48588002592955803,0.5022646821339061,191,17,192,1,29.732137494637012
sato_s1-5_f0.14,25,0.5406396351984225,0.5536498895884203,281,14,282,1,23.40939982143925
sato_s1-7_f0.08,25,0.2766801539524327,0.2608056544292565,117,39,118,1,56.04462507680822
sato_s1-7_f0.1,25,0.3641678998087126,0.3598210695024454,173,37,174,1,37.53664875824692
sato_s1-7_f0.12,25,0.44193274936422716,0.4495582325509364,216,35,217,1,32.0
sato_s1-7_f0.14,25,0.4957172787774217,0.5115604359681122,259,28,260,1,26.1725046566048
meijering_s1-3_f0.08,25,0.41255304450804303,0.4426686027672269,495,39,496,1,22.0
meijering_s1-3_f0.1,25,0.48475114591980367,0.506265881413786,883,40,884,1,18.06926332679739
meijering_s1-3_f0.12,25,0.5249738211192926,0.5298271951605636,1520,35,1521,1,18.384776310850235
meijering_s1-3_f0.14,25,0.546462903623367,0.5270413160452012,2195,27,2196,1,18.788294228055936
meijering_s1-5_f0.08,25,0.30952333958353895,0.30540282805868696,269,16,270,1,36.71511950137164
meijering_s1-5_f0.1,25,0.39935756307070414,0.41088789392638064,386,38,387,1,30.01666203960727
meijering_s1-5_f0.12,25,0.4708209364559613,0.48541513309661294,601,27,602,1,21.93171219946131
meijering_s1-5_f0.14,25,0.517408183386739,0.5178136112143243,1021,20,1022,1,21.095023109728988
meijering_s1-7_f0.08,25,0.27012730681930325,0.2567186399199503,192,35,193,1,42.1070065428546
meijering_s1-7_f0.1,25,0.35586674847511457,0.35885949381174415,331,38,332,1,33.60059523282288
meijering_s1-7_f0.12,25,0.4320928145205525,0.4471346655824563,487,25,488,1,24.20743687382041
meijering_s1-7_f0.14,25,0.48200640867636185,0.49464171632679693,746,34,747,1,22.02271554554524
otsu,25,0.13723430049300897,0.1504105804532983,307,20,308,1,52.81098370604357
frangi_s1-3_f0.08,26,0.481728863225028,0.5125891774481953,1351,3,1353,2,17.46424919657298
frangi_s1-3_f0.1,26,0.5052619224599977,0.5128477489003122,2112,5,2114,2,18.0
frangi_s1-3_f0.12,26,0.5090361985276997,0.491272476914301,2862,26,2864,2,18.384776310850235
frangi_s1-3_f0.14,26,0.5018086916304653,0.4600367564714407,3405,19,3407,2,18.973665961010276
frangi_s1-5_f0.08,26,0.481728863225028,0.5125891774481953,1351,3,1353,2,17.46424919657298
frangi_s1-5_f0.1,26,0.5052619224599977,0.5128477489003122,2112,5,2114,2,18.0
frangi_s1-5_f0.12,26,0.5090361985276997,0.491272476914301,2862,26,2864,2,18.384776310850235
frangi_s1-5_f0.14,26,0.5018086916304653,0.4600367564714407,3405,19,3407,2,18.973665961010276
frangi_s1-7_f0.08,26,0.4810393863655951,0.5118832761245399,1359,4,1361,2,17.46424919657298
frangi_s1-7_f0.1,26,0.5031102069559094,0.5094692531541157,2178,11,2180,2,17.88854381999832
frangi_s1-7_f0.12,26,0.5038777739965252,0.4856781900388594,2948,42,2950,2,18.384776310850235
frangi_s1-7_f0.14,26,0.49625873375068136,0.45632961463578114,3515,59,3517,2,18.867962264113206
sato_s1-3_f0.08,26,0.4613031112643282,0.46702472045682397,107,32,109,2,33.24154027718932
sato_s1-3_f0.1,26,0.5442275341340324,0.5474399965330893,156,29,158,2,26.30589287593181
sato_s1-3_f0.12,26,0.602747577510702,0.6028557456932218,283,22,285,2,22.02271554554524
sato_s1-3_f0.14,26,0.6236104458135808,0.6121022240636671,564,12,566,2,18.681541692269406
sato_s1-5_f0.08,26,0.396793932603637,0.39491830544942447,67,31,69,2,51.61395160225576
sato_s1-5_f0.1,26,0.48605297132350067,0.46982222024622805,108,30,110,2,33.24154027718932
sato_s1-5_f0.12,26,0.5534917877165015,0.5385990649739509,151,27,153,2,27.202941017470888
sato_s1-5_f0.14,26,0.5949356634346972,0.5852268288372389,237,20,239,2,24.0
sato_s1-7_f0.08,26,0.3624493665431354,0.34698616733469345,65,31,67,2,65.77385351239583
sato_s1-7_f0.1,26,0.4527209420601698,0.4272024177659893,99,30,101,2,36.6742416417845
sato_s1-7_f0.12,26,0.5175977503537461,0.4961625455198861,155,28,157,2,30.265491900843113
sato_s1-7_f0.14,26,0.5595546819510745,0.5457313568379452,228,23,230,2,25.238858928247925
meijering_s1-3_f0.08,26,0.4559165733000086,0.48738657457517376,334,35,336,2,23.853720883753127
meijering_s1-3_f0.1,26,0.5303783107077188,0.551916095745099,627,32,629,2,19.1049731745428
meijering_s1-3_f0.12,26,0.5700059106947754,0.5691006283045492,1165,29,1167,2,18.35755975068582
meijering_s1-3_f0.14,26,0.5846616342643828,0.5532331674391024,1833,27,1835,2,18.788294228055936
meijering_s1-5_f0.08,26,0.39054554856502627,0.4120382348047956,192,29,194,2,32.57299494980466
meijering_s1-5_f0.1,26,0.4822190055162161,0.49194337987214315,327,31,329,2,24.413111231467404
meijering_s1-5_f0.12,26,0.5447153015349895,0.5474423754322552,603,28,605,2,20.591260281974
meijering_s1-5_f0.14,26,0.5774929386696619,0.5631177983464534,1049,24,1051,2,19.6468827043885
meijering_s1-7_f0.08,26,0.3546927518745152,0.36219966041566565,176,23,178,2,33.734255586866
meijering_s1-7_f0.1,26,0.44912170885333125,0.4497085841191977,307,28,309,2,26.40075756488817
meijering_s1-7_f0.12,26,0.5145528469846501,0.5153697833011972,513,32,515,2,22.02271554554524
meijering_s1-7_f0.14,26,0.549710113807172,0.5454802278578389,899,29,901,2,20.12461179749811
otsu,26,0.33865329558216417,0.28741591127090077,2062,2495,2064,2,21.840329667841555
frangi_s1-3_f0.08,27,0.5534622274383841,0.6056074972988776,632,57,635,3,14.212670403551895
frangi_s1-3_f0.1,27,0.5851047904191616,0.6223963355994491,1182,61,1185,3,13.0
frangi_s1-3_f0.12,27,0.5864457934629763,0.5981724907884285,1929,52,1932,3,13.435015956036224
frangi_s1-3_f0.14,27,0.5721746561792774,0.560633643624699,2681,39,2684,3,14.7648230602334
frangi_s1-5_f0.08,27,0.5534622274383841,0.6056074972988776,632,57,635,3,14.212670403551895
frangi_s1-5_f0.1,27,0.5851047904191616,0.6223963355994491,1182,61,1185,3,13.0
