run,trained_on,scored_against,image,band,breaks,gt_px,dice,cldice,tprec,tsens
ah_f0_s0,ah,vk,im0255,Q4_clearest,13,16378,0.97828,0.99186,1.0,0.98385
ah_f0_s0,ah,ah,im0291,Q1_dimmest,59,5612,0.38928,0.40857,0.8733,0.26667
ah_f0_s0,ah,ah,im0291,Q2,44,6266,0.75159,0.82718,0.94322,0.73656
ah_f0_s0,ah,ah,im0291,Q3,16,5570,0.92387,0.96326,0.98883,0.93897
ah_f0_s0,ah,ah,im0291,Q4_clearest,1,3970,0.98935,0.99447,0.999,0.98998
ah_f0_s0,ah,vk,im0291,Q1_dimmest,100,8426,0.28629,0.244,0.85068,0.14243
ah_f0_s0,ah,vk,im0291,Q2,51,7773,0.6949,0.74121,0.98305,0.59487
ah_f0_s0,ah,vk,im0291,Q3,12,5973,0.91009,0.96005,0.9984,0.92453
ah_f0_s0,ah,vk,im0291,Q4_clearest,1,3978,0.98936,0.99652,0.999,0.99405
ah_f0_s0,ah,ah,im0319,Q1_dimmest,71,3917,0.34491,0.40776,0.52154,0.33473
ah_f0_s0,ah,ah,im0319,Q2,72,6569,0.72053,0.77794,0.89023,0.6908
ah_f0_s0,ah,ah,im0319,Q3,29,5701,0.90419,0.92344,0.94476,0.90306
ah_f0_s0,ah,ah,im0319,Q4_clearest,0,2058,0.98936,0.99029,0.98397,0.99669
ah_f0_s0,ah,vk,im0319,Q1_dimmest,102,8846,0.27148,0.27313,0.80499,0.16446
ah_f0_s0,ah,vk,im0319,Q2,77,9216,0.67425,0.70917,0.96034,0.56215
ah_f0_s0,ah,vk,im0319,Q3,19,6429,0.91664,0.92488,0.9792,0.87627
ah_f0_s0,ah,vk,im0319,Q4_clearest,0,2090,0.99616,0.99921,1.0,0.99843
ah_f0_s0,ah,ah,im0324,Q1_dimmest,37,6617,0.28323,0.38348,0.6832,0.26654
ah_f0_s0,ah,ah,im0324,Q2,71,8846,0.55163,0.57509,0.79622,0.45009
ah_f0_s0,ah,ah,im0324,Q3,39,8400,0.80819,0.87074,0.94495,0.80733
ah_f0_s0,ah,ah,im0324,Q4_clearest,0,4398,0.96961,0.98579,0.99509,0.97666
ah_f0_s0,ah,vk,im0324,Q1_dimmest,90,14643,0.22923,0.17162,0.86777,0.09522
ah_f0_s0,ah,vk,im0324,Q2,74,13140,0.50724,0.40232,0.91597,0.25777
ah_f0_s0,ah,vk,im0324,Q3,32,9911,0.80602,0.81705,0.98654,0.69725
ah_f0_s0,ah,vk,im0324,Q4_clearest,1,4515,0.97486,0.98497,1.0,0.97038
vk_f0_s0,vk,ah,im0162,Q1_dimmest,40,1234,0.37421,0.38456,0.25344,0.79676
vk_f0_s0,vk,ah,im0162,Q2,42,4015,0.50833,0.61752,0.4626,0.92845
vk_f0_s0,vk,ah,im0162,Q3,17,8765,0.74221,0.87647,0.7913,0.98218
vk_f0_s0,vk,ah,im0162,Q4_clearest,4,16166,0.93818,0.98105,0.96602,0.99656
vk_f0_s0,vk,vk,im0162,Q1_dimmest,291,7724,0.46105,0.34641,0.61198,0.24157
vk_f0_s0,vk,vk,im0162,Q2,147,11002,0.75754,0.71887,0.80428,0.64986
vk_f0_s0,vk,vk,im0162,Q3,17,12733,0.89398,0.94109,0.93939,0.94278
vk_f0_s0,vk,vk,im0162,Q4_clearest,3,17043,0.9639,0.99244,0.98914,0.99576
vk_f0_s0,vk,ah,im0163,Q1_dimmest,18,913,0.33178,0.30841,0.18928,0.83206
vk_f0_s0,vk,ah,im0163,Q2,11,2555,0.40381,0.50499,0.34108,0.97219
vk_f0_s0,vk,ah,im0163,Q3,1,7366,0.66366,0.85746,0.7521,0.99714
vk_f0_s0,vk,ah,im0163,Q4_clearest,2,21917,0.93813,0.9833,0.96886,0.99818
vk_f0_s0,vk,vk,im0163,Q1_dimmest,158,5005,0.52984,0.43385,0.48119,0.39499
vk_f0_s0,vk,vk,im0163,Q2,65,8784,0.76693,0.78291,0.76806,0.79834
