run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
vk_f0_s0,vk,im0163,Q2,67,22.0,0.71642,0.41791,0.79605,0.27169,0.09485,0.82078,0.95258
vk_f0_s0,vk,im0163,Q3,56,29.5,0.19643,0.5,0.73131,0.24209,0.06623,0.87895,0.96688
vk_f0_s0,vk,im0163,Q4_clearest,157,20.0,0.02548,0.43312,0.98039,0.41475,0.04785,0.76366,0.97608
vk_f0_s0,vk,im0235,Q1_dimmest,77,8.0,0.77922,0.18182,0.70588,0.49635,0.29988,0.65562,0.76588
vk_f0_s0,vk,im0235,Q2,79,17.0,0.48101,0.31646,0.85494,0.43892,0.15448,0.70121,0.92276
vk_f0_s0,vk,im0235,Q3,80,31.5,0.1625,0.5,0.89323,0.43834,0.06397,0.74985,0.96801
vk_f0_s0,vk,im0235,Q4_clearest,159,15.0,0.0,0.32075,nan,nan,0.03873,nan,0.98063
vk_f0_s0,vk,im0236,Q1_dimmest,67,9.0,0.62687,0.1791,0.67905,0.46305,0.30011,0.71666,0.82538
vk_f0_s0,vk,im0236,Q2,85,16.0,0.50588,0.30588,0.83942,0.43219,0.17097,0.76781,0.91249
vk_f0_s0,vk,im0236,Q3,81,19.0,0.12346,0.45679,0.97042,0.43468,0.05613,0.77767,0.97193
vk_f0_s0,vk,im0236,Q4_clearest,156,17.0,0.00641,0.32051,0.9871,0.39058,0.03392,0.80471,0.98304
vk_f0_s0,vk,im0239,Q1_dimmest,40,6.0,0.575,0.225,0.63427,0.56945,0.41498,0.57662,0.74679
vk_f0_s0,vk,im0239,Q2,97,13.0,0.4433,0.36082,0.76443,0.44518,0.22869,0.69013,0.86547
vk_f0_s0,vk,im0239,Q3,110,21.0,0.15455,0.38182,0.82859,0.38018,0.10312,0.77485,0.94844
vk_f0_s0,vk,im0239,Q4_clearest,133,18.0,0.02256,0.38346,0.77949,0.13527,0.04811,0.93236,0.97594
vk_f0_s0,vk,im0240,Q1_dimmest,100,9.5,0.56,0.18,0.59821,0.48776,0.39275,0.67351,0.75946
vk_f0_s0,vk,im0240,Q2,120,19.0,0.45,0.36667,0.86195,0.47826,0.14518,0.6727,0.91338
vk_f0_s0,vk,im0240,Q3,84,21.5,0.03571,0.45238,0.89712,0.29086,0.03601,0.85457,0.98199
vk_f0_s0,vk,im0240,Q4_clearest,54,18.0,0.0,0.2963,nan,nan,0.03841,nan,0.9808
vk_f0_s0,vk,im0255,Q1_dimmest,70,10.0,0.68571,0.18571,0.81629,0.49656,0.22884,0.657,0.86175
vk_f0_s0,vk,im0255,Q2,149,19.0,0.51007,0.32215,0.75523,0.361,0.16148,0.76351,0.91926
vk_f0_s0,vk,im0255,Q3,128,23.0,0.07812,0.45312,0.8178,0.30195,0.0815,0.84532,0.9579
vk_f0_s0,vk,im0255,Q4_clearest,191,15.0,0.01047,0.32984,0.92857,0.38312,0.03015,0.80844,0.98493
vk_f0_s0,vk,im0291,Q1_dimmest,42,14.0,0.54762,0.2619,0.70709,0.45128,0.3096,0.6369,0.82019
vk_f0_s0,vk,im0291,Q2,40,27.5,0.25,0.575,0.86667,0.43497,0.14095,0.71478,0.8911
vk_f0_s0,vk,im0291,Q3,29,20.0,0.03448,0.44828,0.89286,0.23911,0.12487,0.88044,0.93464
vk_f0_s0,vk,im0291,Q4_clearest,17,17.0,0.11765,0.41176,0.96667,0.23131,0.04007,0.88434,0.97997
vk_f0_s0,vk,im0319,Q1_dimmest,38,12.0,0.65789,0.10526,0.63077,0.4729,0.39878,0.63682,0.78722
vk_f0_s0,vk,im0319,Q2,59,21.0,0.28814,0.45763,0.78711,0.40198,0.18814,0.64632,0.90033
vk_f0_s0,vk,im0319,Q3,20,40.5,0.15,0.6,0.92157,0.26363,0.07087,0.86818,0.96456
vk_f0_s0,vk,im0319,Q4_clearest,13,32.0,0.0,0.61538,nan,nan,0.05229,nan,0.97386
vk_f0_s0,vk,im0324,Q1_dimmest,73,6.0,0.58904,0.06849,0.54109,0.5412,0.51041,0.59903,0.58845
