run,config,image,min_size,band,breaks,gt_px,skel_px,dice,cldice,tprec,tsens
A_dice_s0,A_dice,07,20,Q2,54,7149,2172,0.80579,0.80576,0.84305,0.77164
A_dice_s0,A_dice,07,20,Q3,5,7254,1955,0.92493,0.96737,0.95697,0.97801
A_dice_s0,A_dice,07,20,Q4_clearest,1,7433,2033,0.97551,0.9968,0.9946,0.99902
A_dice_s0,A_dice,08,0,Q1_dimmest,304,9976,3245,0.50861,0.47022,0.57096,0.39969
A_dice_s0,A_dice,08,0,Q2,27,8461,2479,0.83805,0.84822,0.82814,0.8693
A_dice_s0,A_dice,08,0,Q3,4,6640,1970,0.93309,0.97178,0.96252,0.98122
A_dice_s0,A_dice,08,0,Q4_clearest,0,3312,891,0.97848,0.99437,0.99549,0.99327
A_dice_s0,A_dice,08,20,Q1_dimmest,272,9976,3245,0.51041,0.47368,0.63045,0.37935
A_dice_s0,A_dice,08,20,Q2,26,8461,2479,0.84063,0.85624,0.85051,0.86204
A_dice_s0,A_dice,08,20,Q3,4,6640,1970,0.93449,0.9759,0.97065,0.98122
A_dice_s0,A_dice,08,20,Q4_clearest,0,3312,891,0.97848,0.99437,0.99549,0.99327
A_dice_s0,A_dice,09,0,Q1_dimmest,312,9368,3406,0.51562,0.51592,0.66097,0.42308
A_dice_s0,A_dice,09,0,Q2,40,7639,2383,0.84223,0.86981,0.83963,0.90222
A_dice_s0,A_dice,09,0,Q3,5,6249,1936,0.93929,0.97652,0.96469,0.98864
A_dice_s0,A_dice,09,0,Q4_clearest,2,3485,1001,0.97788,0.99399,0.99902,0.98901
A_dice_s0,A_dice,09,20,Q1_dimmest,269,9368,3406,0.51231,0.51072,0.69845,0.40252
A_dice_s0,A_dice,09,20,Q2,38,7639,2383,0.84191,0.86837,0.84848,0.88922
A_dice_s0,A_dice,09,20,Q3,5,6249,1936,0.93913,0.97651,0.96468,0.98864
A_dice_s0,A_dice,09,20,Q4_clearest,2,3485,1001,0.97788,0.99399,0.99902,0.98901
A_dice_s0,A_dice,10,0,Q1_dimmest,321,7560,3177,0.50449,0.46176,0.51623,0.41769
A_dice_s0,A_dice,10,0,Q2,57,6756,2369,0.80811,0.80563,0.76249,0.85395
A_dice_s0,A_dice,10,0,Q3,3,6741,2035,0.90875,0.95902,0.92891,0.99115
A_dice_s0,A_dice,10,0,Q4_clearest,1,6099,1556,0.96182,0.9964,0.99409,0.99871
A_dice_s0,A_dice,10,20,Q1_dimmest,297,7560,3177,0.50628,0.46653,0.55644,0.40164
A_dice_s0,A_dice,10,20,Q2,52,6756,2369,0.80773,0.80394,0.77262,0.83791
A_dice_s0,A_dice,10,20,Q3,2,6741,2035,0.90945,0.96064,0.93545,0.98722
A_dice_s0,A_dice,10,20,Q4_clearest,1,6099,1556,0.96197,0.99705,0.9954,0.99871
A_dice_s0,A_dice,11,0,Q1_dimmest,322,6386,2930,0.44953,0.40857,0.51507,0.33857
A_dice_s0,A_dice,11,0,Q2,75,5601,2186,0.76046,0.72377,0.68983,0.76121
A_dice_s0,A_dice,11,0,Q3,13,6593,2129,0.8688,0.8994,0.85261,0.95162
A_dice_s0,A_dice,11,0,Q4_clearest,3,10959,3211,0.94476,0.98059,0.9651,0.99657
A_dice_s0,A_dice,11,20,Q1_dimmest,291,6386,2930,0.44831,0.4064,0.55732,0.3198
A_dice_s0,A_dice,11,20,Q2,70,5601,2186,0.76487,0.7323,0.71688,0.7484
A_dice_s0,A_dice,11,20,Q3,11,6593,2129,0.86935,0.90151,0.85872,0.9488
A_dice_s0,A_dice,11,20,Q4_clearest,1,10959,3211,0.94474,0.98058,0.96626,0.99533
A_dice_s0,A_dice,12,0,Q1_dimmest,245,6741,2151,0.54569,0.56389,0.62018,0.51697
A_dice_s0,A_dice,12,0,Q2,74,7686,2661,0.81289,0.82908,0.80308,0.85682
A_dice_s0,A_dice,12,0,Q3,6,7976,2374,0.90479,0.95076,0.92794,0.97473
A_dice_s0,A_dice,12,0,Q4_clearest,0,6087,1526,0.96289,0.99332,0.98864,0.99803
A_dice_s0,A_dice,12,20,Q1_dimmest,224,6741,2151,0.54527,0.56895,0.65164,0.50488
A_dice_s0,A_dice,12,20,Q2,67,7686,2661,0.81527,0.8366,0.82641,0.84705
A_dice_s0,A_dice,12,20,Q3,6,7976,2374,0.90576,0.95304,0.93385,0.97304
A_dice_s0,A_dice,12,20,Q4_clearest,0,6087,1526,0.96289,0.99332,0.98864,0.99803
A_dice_s0,A_dice,13,0,Q1_dimmest,321,8947,3161,0.51794,0.48211,0.56161,0.42233
A_dice_s0,A_dice,13,0,Q2,85,7970,2798,0.80286,0.79427,0.77341,0.8163
A_dice_s0,A_dice,13,0,Q3,8,7295,2120,0.91892,0.95547,0.93412,0.97783
A_dice_s0,A_dice,13,0,Q4_clearest,0,8047,2107,0.97899,0.99739,0.99527,0.99953
A_dice_s0,A_dice,13,20,Q1_dimmest,282,8947,3161,0.51447,0.47171,0.58932,0.39323
A_dice_s0,A_dice,13,20,Q2,76,7970,2798,0.80551,0.79945,0.80192,0.797
A_dice_s0,A_dice,13,20,Q3,5,7295,2120,0.91946,0.95557,0.94042,0.97123
A_dice_s0,A_dice,13,20,Q4_clearest,0,8047,2107,0.97899,0.99739,0.99527,0.99953
A_dice_s0,A_dice,14,0,Q1_dimmest,218,4886,1623,0.47449,0.46378,0.44036,0.48983
A_dice_s0,A_dice,14,0,Q2,82,6453,2243,0.7686,0.75655,0.68643,0.84262
A_dice_s0,A_dice,14,0,Q3,5,8104,2470,0.88494,0.92746,0.87245,0.98988
A_dice_s0,A_dice,14,0,Q4_clearest,0,7234,2022,0.95357,0.99221,0.98455,1.0
A_dice_s0,A_dice,14,20,Q1_dimmest,213,4886,1623,0.4802,0.47637,0.47282,0.47998
A_dice_s0,A_dice,14,20,Q2,74,6453,2243,0.7705,0.76354,0.70331,0.83504
A_dice_s0,A_dice,14,20,Q3,5,8104,2470,0.88641,0.93234,0.88144,0.98947
A_dice_s0,A_dice,14,20,Q4_clearest,0,7234,2022,0.95364,0.99246,0.98502,1.0
A_dice_s0,A_dice,15,0,Q1_dimmest,197,4357,1638,0.46339,0.46609,0.41865,0.52564
A_dice_s0,A_dice,15,0,Q2,35,5141,1751,0.73468,0.7496,0.63655,0.91148
A_dice_s0,A_dice,15,0,Q3,1,6066,1760,0.8386,0.89432,0.81185,0.99545
A_dice_s0,A_dice,15,0,Q4_clearest,0,8050,2502,0.93495,0.97841,0.95774,1.0
A_dice_s0,A_dice,15,20,Q1_dimmest,179,4357,1638,0.46337,0.46599,0.43914,0.49634
A_dice_s0,A_dice,15,20,Q2,34,5141,1751,0.74399,0.77286,0.67428,0.9052
A_dice_s0,A_dice,15,20,Q3,1,6066,1760,0.84611,0.91438,0.84552,0.99545
A_dice_s0,A_dice,15,20,Q4_clearest,0,8050,2502,0.93658,0.98208,0.96478,1.0
A_dice_s0,A_dice,16,0,Q1_dimmest,256,6445,1959,0.54134,0.5748,0.66994,0.50332
A_dice_s0,A_dice,16,0,Q2,71,6977,2256,0.81745,0.85443,0.86146,0.84752
A_dice_s0,A_dice,16,0,Q3,1,7630,2131,0.90299,0.9574,0.92964,0.98686
A_dice_s0,A_dice,16,0,Q4_clearest,0,8739,2466,0.94229,0.97984,0.96085,0.99959
A_dice_s0,A_dice,16,20,Q1_dimmest,245,6445,1959,0.54233,0.57964,0.70827,0.49056
A_dice_s0,A_dice,16,20,Q2,67,6977,2256,0.81894,0.85992,0.88426,0.83688
A_dice_s0,A_dice,16,20,Q3,1,7630,2131,0.90426,0.96159,0.93842,0.98592
A_dice_s0,A_dice,16,20,Q4_clearest,0,8739,2466,0.94269,0.9814,0.96386,0.99959
A_dice_s0,A_dice,17,0,Q1_dimmest,276,7862,2585,0.54958,0.56197,0.68302,0.47737
A_dice_s0,A_dice,17,0,Q2,44,7104,2140,0.84019,0.87555,0.87494,0.87617
A_dice_s0,A_dice,17,0,Q3,10,7222,1826,0.91676,0.97076,0.95827,0.98357
A_dice_s0,A_dice,17,0,Q4_clearest,1,5664,1433,0.93553,0.99404,0.99228,0.99581
A_dice_s0,A_dice,17,20,Q1_dimmest,247,7862,2585,0.54983,0.56405,0.74936,0.45222
A_dice_s0,A_dice,17,20,Q2,42,7104,2140,0.84133,0.87976,0.90324,0.85748
A_dice_s0,A_dice,17,20,Q3,10,7222,1826,0.91667,0.97138,0.96211,0.98083
A_dice_s0,A_dice,17,20,Q4_clearest,1,5664,1433,0.93499,0.99369,0.99296,0.99442
A_dice_s0,A_dice,18,0,Q1_dimmest,190,4966,1759,0.5928,0.60445,0.6654,0.55372
A_dice_s0,A_dice,18,0,Q2,59,6044,1968,0.80462,0.85562,0.8343,0.87805
A_dice_s0,A_dice,18,0,Q3,9,7429,2081,0.8586,0.9551,0.9273,0.98462
A_dice_s0,A_dice,18,0,Q4_clearest,0,7705,1851,0.90359,0.98984,0.98093,0.99892
A_dice_s0,A_dice,18,20,Q1_dimmest,181,4966,1759,0.59627,0.61631,0.70401,0.54804
A_dice_s0,A_dice,18,20,Q2,58,6044,1968,0.80506,0.85724,0.85075,0.86382
A_dice_s0,A_dice,18,20,Q3,8,7429,2081,0.86006,0.95918,0.93719,0.98222
A_dice_s0,A_dice,18,20,Q4_clearest,0,7705,1851,0.90359,0.98984,0.98093,0.99892
A_dice_s0,A_dice,19,0,Q1_dimmest,170,3731,1722,0.63932,0.65665,0.67816,0.63647
A_dice_s0,A_dice,19,0,Q2,42,6957,2067,0.78513,0.8295,0.74807,0.93082
A_dice_s0,A_dice,19,0,Q3,2,8771,2610,0.89501,0.96038,0.93245,0.99004
A_dice_s0,A_dice,19,0,Q4_clearest,0,7909,2077,0.96758,0.9937,0.98842,0.99904
A_dice_s0,A_dice,19,20,Q1_dimmest,160,3731,1722,0.63712,0.65573,0.69704,0.61905
A_dice_s0,A_dice,19,20,Q2,38,6957,2067,0.79451,0.85307,0.78975,0.92743
A_dice_s0,A_dice,19,20,Q3,2,8771,2610,0.89658,0.96543,0.94515,0.98659
A_dice_s0,A_dice,19,20,Q4_clearest,0,7909,2077,0.96829,0.99612,0.99321,0.99904
A_dice_s0,A_dice,20,0,Q1_dimmest,219,5411,1924,0.59545,0.59959,0.57639,0.62474
A_dice_s0,A_dice,20,0,Q2,37,7210,2225,0.7932,0.84102,0.76282,0.93708
A_dice_s0,A_dice,20,0,Q3,3,6951,2027,0.86532,0.93847,0.89233,0.98964
A_dice_s0,A_dice,20,0,Q4_clearest,0,4693,1197,0.94246,0.98608,0.97413,0.99833
A_dice_s0,A_dice,20,20,Q1_dimmest,208,5411,1924,0.59811,0.60899,0.61519,0.60291
A_dice_s0,A_dice,20,20,Q2,33,7210,2225,0.79628,0.84991,0.7842,0.92764
A_dice_s0,A_dice,20,20,Q3,2,6951,2027,0.86789,0.94585,0.90826,0.98668
A_dice_s0,A_dice,20,20,Q4_clearest,0,4693,1197,0.94234,0.98565,0.97488,0.99666
B_cldice_s0,B_cldice,01,0,Q1_dimmest,217,4597,1791,0.57572,0.55264,0.56055,0.54495
B_cldice_s0,B_cldice,01,0,Q2,58,6946,2500,0.78362,0.82936,0.77829,0.8876
B_cldice_s0,B_cldice,01,0,Q3,11,8473,2538,0.85612,0.95919,0.94706,0.97163
B_cldice_s0,B_cldice,01,0,Q4_clearest,1,9424,2483,0.9255,0.9881,0.97919,0.99718
B_cldice_s0,B_cldice,01,20,Q1_dimmest,207,4597,1791,0.58186,0.56421,0.60403,0.52931
B_cldice_s0,B_cldice,01,20,Q2,57,6946,2500,0.78441,0.83257,0.79,0.88
B_cldice_s0,B_cldice,01,20,Q3,11,8473,2538,0.85698,0.96183,0.95336,0.97045
B_cldice_s0,B_cldice,01,20,Q4_clearest,1,9424,2483,0.92555,0.9883,0.97958,0.99718
B_cldice_s0,B_cldice,02,0,Q1_dimmest,228,5691,1790,0.50679,0.44604,0.46978,0.42458
B_cldice_s0,B_cldice,02,0,Q2,58,6606,1861,0.79235,0.76642,0.70746,0.83611
B_cldice_s0,B_cldice,02,0,Q3,4,8662,2260,0.89669,0.94603,0.90669,0.98894
B_cldice_s0,B_cldice,02,0,Q4_clearest,0,12831,3378,0.9623,0.99259,0.98529,1.0
B_cldice_s0,B_cldice,02,20,Q1_dimmest,205,5691,1790,0.50384,0.43872,0.49251,0.39553
B_cldice_s0,B_cldice,02,20,Q2,53,6606,1861,0.79208,0.76579,0.71707,0.8216
B_cldice_s0,B_cldice,02,20,Q3,4,8662,2260,0.89721,0.94814,0.91057,0.98894
B_cldice_s0,B_cldice,02,20,Q4_clearest,0,12831,3378,0.96244,0.99316,0.98641,1.0
B_cldice_s0,B_cldice,03,0,Q1_dimmest,278,10358,3377,0.51126,0.47046,0.56099,0.40509
B_cldice_s0,B_cldice,03,0,Q2,42,9353,2708,0.81406,0.84133,0.82442,0.85894
B_cldice_s0,B_cldice,03,0,Q3,9,8095,2089,0.93009,0.97017,0.9667,0.97367
B_cldice_s0,B_cldice,03,0,Q4_clearest,0,5087,1047,0.98815,1.0,1.0,1.0
B_cldice_s0,B_cldice,03,20,Q1_dimmest,260,10358,3377,0.51137,0.4692,0.58218,0.39295
B_cldice_s0,B_cldice,03,20,Q2,39,9353,2708,0.814,0.84138,0.83286,0.85007
B_cldice_s0,B_cldice,03,20,Q3,9,8095,2089,0.93018,0.97146,0.9702,0.97271
B_cldice_s0,B_cldice,03,20,Q4_clearest,0,5087,1047,0.98815,1.0,1.0,1.0
B_cldice_s0,B_cldice,04,0,Q1_dimmest,216,7750,3035,0.49901,0.43489,0.57886,0.34827
B_cldice_s0,B_cldice,04,0,Q2,41,6017,1865,0.8011,0.82173,0.78938,0.85684
B_cldice_s0,B_cldice,04,0,Q3,2,6293,1680,0.9064,0.9573,0.93369,0.98214
B_cldice_s0,B_cldice,04,0,Q4_clearest,1,10294,2346,0.97178,0.98794,0.98151,0.99446
B_cldice_s0,B_cldice,04,20,Q1_dimmest,194,7750,3035,0.4975,0.43316,0.59554,0.34036
B_cldice_s0,B_cldice,04,20,Q2,37,6017,1865,0.79968,0.81731,0.79134,0.84504
B_cldice_s0,B_cldice,04,20,Q3,2,6293,1680,0.90623,0.95668,0.93412,0.98036
B_cldice_s0,B_cldice,04,20,Q4_clearest,1,10294,2346,0.97178,0.98794,0.98151,0.99446
B_cldice_s0,B_cldice,05,0,Q1_dimmest,295,9685,3539,0.49635,0.42297,0.59986,0.32665
B_cldice_s0,B_cldice,05,0,Q2,23,7440,2198,0.84292,0.84285,0.82068,0.86624
B_cldice_s0,B_cldice,05,0,Q3,3,7606,2186,0.93446,0.98107,0.97103,0.99131
B_cldice_s0,B_cldice,05,0,Q4_clearest,0,6179,1663,0.9752,0.99676,0.99593,0.99759
B_cldice_s0,B_cldice,05,20,Q1_dimmest,279,9685,3539,0.49627,0.4208,0.62772,0.31647
B_cldice_s0,B_cldice,05,20,Q2,23,7440,2198,0.84484,0.84767,0.83538,0.86033
B_cldice_s0,B_cldice,05,20,Q3,3,7606,2186,0.93452,0.98129,0.97147,0.99131
B_cldice_s0,B_cldice,05,20,Q4_clearest,0,6179,1663,0.9752,0.99676,0.99593,0.99759
B_cldice_s0,B_cldice,06,0,Q1_dimmest,339,10790,3981,0.49159,0.46687,0.64376,0.36624
B_cldice_s0,B_cldice,06,0,Q2,48,7933,2378,0.83197,0.82726,0.84353,0.81161
B_cldice_s0,B_cldice,06,0,Q3,1,7891,2229,0.94748,0.98186,0.9707,0.99327
B_cldice_s0,B_cldice,06,0,Q4_clearest,0,5502,1401,0.98054,0.99787,0.99646,0.99929
B_cldice_s0,B_cldice,06,20,Q1_dimmest,311,10790,3981,0.48914,0.46212,0.67007,0.35268
B_cldice_s0,B_cldice,06,20,Q2,42,7933,2378,0.83098,0.82481,0.85091,0.80025
B_cldice_s0,B_cldice,06,20,Q3,1,7891,2229,0.94729,0.98095,0.97065,0.99148
B_cldice_s0,B_cldice,06,20,Q4_clearest,0,5502,1401,0.98054,0.99787,0.99646,0.99929
B_cldice_s0,B_cldice,07,0,Q1_dimmest,226,8316,2808,0.48661,0.43309,0.62427,0.33155
B_cldice_s0,B_cldice,07,0,Q2,40,7149,2172,0.80952,0.79853,0.81058,0.78683
B_cldice_s0,B_cldice,07,0,Q3,5,7254,1955,0.91879,0.96172,0.9479,0.97596
B_cldice_s0,B_cldice,07,0,Q4_clearest,0,7433,2033,0.97303,0.99628,0.99355,0.99902
B_cldice_s0,B_cldice,07,20,Q1_dimmest,201,8316,2808,0.48445,0.42529,0.66953,0.31161
B_cldice_s0,B_cldice,07,20,Q2,35,7149,2172,0.8128,0.80607,0.84207,0.77302
B_cldice_s0,B_cldice,07,20,Q3,5,7254,1955,0.91955,0.96415,0.95361,0.97494
B_cldice_s0,B_cldice,07,20,Q4_clearest,0,7433,2033,0.9731,0.99652,0.99404,0.99902
B_cldice_s0,B_cldice,08,0,Q1_dimmest,281,9976,3245,0.54091,0.48921,0.60135,0.41233
B_cldice_s0,B_cldice,08,0,Q2,41,8461,2479,0.84131,0.84672,0.82894,0.86527
B_cldice_s0,B_cldice,08,0,Q3,5,6640,1970,0.93078,0.97502,0.96401,0.98629
B_cldice_s0,B_cldice,08,0,Q4_clearest,0,3312,891,0.97619,0.99327,0.99104,0.99551
B_cldice_s0,B_cldice,08,20,Q1_dimmest,255,9976,3245,0.53967,0.48436,0.63532,0.39137
B_cldice_s0,B_cldice,08,20,Q2,38,8461,2479,0.8414,0.8456,0.83547,0.85599
B_cldice_s0,B_cldice,08,20,Q3,5,6640,1970,0.93112,0.97598,0.96589,0.98629
B_cldice_s0,B_cldice,08,20,Q4_clearest,0,3312,891,0.97619,0.99327,0.99104,0.99551
B_cldice_s0,B_cldice,09,0,Q1_dimmest,296,9368,3406,0.5524,0.52402,0.64558,0.44099
B_cldice_s0,B_cldice,09,0,Q2,40,7639,2383,0.84558,0.87241,0.8456,0.90097
B_cldice_s0,B_cldice,09,0,Q3,2,6249,1936,0.92849,0.97697,0.96756,0.98657
B_cldice_s0,B_cldice,09,0,Q4_clearest,2,3485,1001,0.96971,0.98121,0.999,0.96404
B_cldice_s0,B_cldice,09,20,Q1_dimmest,274,9368,3406,0.5491,0.51689,0.65987,0.42484
B_cldice_s0,B_cldice,09,20,Q2,39,7639,2383,0.84444,0.87004,0.84748,0.89383
B_cldice_s0,B_cldice,09,20,Q3,1,6249,1936,0.92815,0.9767,0.96802,0.98554
B_cldice_s0,B_cldice,09,20,Q4_clearest,1,3485,1001,0.96942,0.98069,0.999,0.96304
B_cldice_s0,B_cldice,10,0,Q1_dimmest,298,7560,3177,0.53578,0.48721,0.5749,0.42273
B_cldice_s0,B_cldice,10,0,Q2,44,6756,2369,0.80888,0.80521,0.76479,0.85015
B_cldice_s0,B_cldice,10,0,Q3,4,6741,2035,0.9003,0.9626,0.93697,0.98968
B_cldice_s0,B_cldice,10,0,Q4_clearest,0,6099,1556,0.95896,0.994,0.9887,0.99936
B_cldice_s0,B_cldice,10,20,Q1_dimmest,273,7560,3177,0.53504,0.48462,0.60299,0.4051
B_cldice_s0,B_cldice,10,20,Q2,42,6756,2369,0.81004,0.80571,0.77445,0.83959
B_cldice_s0,B_cldice,10,20,Q3,4,6741,2035,0.90065,0.96347,0.94129,0.98673
B_cldice_s0,B_cldice,10,20,Q4_clearest,0,6099,1556,0.95941,0.996,0.99266,0.99936
B_cldice_s0,B_cldice,11,0,Q1_dimmest,310,6386,2930,0.47438,0.40191,0.50036,0.33584
B_cldice_s0,B_cldice,11,0,Q2,62,5601,2186,0.77027,0.73571,0.70444,0.7699
B_cldice_s0,B_cldice,11,0,Q3,11,6593,2129,0.85916,0.90867,0.86981,0.95115
B_cldice_s0,B_cldice,11,0,Q4_clearest,1,10959,3211,0.93841,0.98646,0.97536,0.99782
B_cldice_s0,B_cldice,11,20,Q1_dimmest,291,6386,2930,0.4743,0.40101,0.52632,0.32389
B_cldice_s0,B_cldice,11,20,Q2,58,5601,2186,0.76993,0.73554,0.71194,0.76075
B_cldice_s0,B_cldice,11,20,Q3,10,6593,2129,0.86071,0.91274,0.87771,0.95068
B_cldice_s0,B_cldice,11,20,Q4_clearest,1,10959,3211,0.93864,0.98707,0.97715,0.9972
B_cldice_s0,B_cldice,12,0,Q1_dimmest,225,6741,2151,0.56087,0.54755,0.60613,0.4993
B_cldice_s0,B_cldice,12,0,Q2,68,7686,2661,0.81539,0.82986,0.80587,0.85532
B_cldice_s0,B_cldice,12,0,Q3,8,7976,2374,0.89446,0.95191,0.9286,0.97641
B_cldice_s0,B_cldice,12,0,Q4_clearest,1,6087,1526,0.95871,0.99265,0.98989,0.99541
B_cldice_s0,B_cldice,12,20,Q1_dimmest,210,6741,2151,0.5628,0.55489,0.64521,0.48675
B_cldice_s0,B_cldice,12,20,Q2,55,7686,2661,0.81606,0.83081,0.81519,0.84705
B_cldice_s0,B_cldice,12,20,Q3,7,7976,2374,0.89509,0.95281,0.93186,0.97473
B_cldice_s0,B_cldice,12,20,Q4_clearest,1,6087,1526,0.95878,0.99296,0.99052,0.99541
B_cldice_s0,B_cldice,13,0,Q1_dimmest,283,8947,3161,0.53763,0.48685,0.56607,0.42708
B_cldice_s0,B_cldice,13,0,Q2,77,7970,2798,0.80533,0.78943,0.75421,0.82809
B_cldice_s0,B_cldice,13,0,Q3,5,7295,2120,0.90834,0.95673,0.93914,0.975
B_cldice_s0,B_cldice,13,0,Q4_clearest,0,8047,2107,0.97573,0.99834,0.99669,1.0
B_cldice_s0,B_cldice,13,20,Q1_dimmest,259,8947,3161,0.53545,0.48107,0.58323,0.40936
