kind,pair,trained_on,image,band,n_px,contested_frac,auroc_single,mean_single_contested,mean_single_agreed,auroc_ens_mean,mean_ens_mean_contested,mean_ens_mean_agreed,auroc_disagree,mean_disagree_contested,mean_disagree_agreed
seed,vk_f0,vk,im0162,Q2,11449,0.68836,0.69885,0.23073,0.10452,0.69964,0.31687,0.15057,0.66972,0.18788,0.09612
seed,vk_f0,vk,im0162,Q3,12944,0.33915,0.7729,0.13591,0.03384,0.7892,0.20726,0.056,0.75514,0.12817,0.03752
seed,vk_f0,vk,im0162,Q4_clearest,17112,0.05932,0.83643,0.06395,0.00878,0.84541,0.10605,0.02624,0.81275,0.06753,0.0219
seed,vk_f0,vk,im0163,Q1_dimmest,5186,0.85885,0.66596,0.26467,0.15554,0.64747,0.33652,0.21282,0.64141,0.20407,0.12858
seed,vk_f0,vk,im0163,Q2,9046,0.74652,0.73466,0.23728,0.09297,0.74501,0.3305,0.13481,0.71743,0.19349,0.08099
seed,vk_f0,vk,im0163,Q3,12344,0.42158,0.77779,0.13187,0.02789,0.78589,0.18829,0.04727,0.75753,0.10735,0.02937
seed,vk_f0,vk,im0163,Q4_clearest,23265,0.06082,0.87186,0.07983,0.00871,0.87816,0.11647,0.01627,0.84435,0.06833,0.01118
seed,vk_f0,vk,im0235,Q1_dimmest,13323,0.81506,0.49645,0.21454,0.20428,0.45071,0.27806,0.30968,0.45917,0.18205,0.20126
seed,vk_f0,vk,im0235,Q2,13930,0.58227,0.71443,0.25097,0.11506,0.69737,0.34833,0.18068,0.68461,0.21836,0.1152
seed,vk_f0,vk,im0235,Q3,14288,0.29171,0.80909,0.19959,0.04661,0.8098,0.30197,0.08391,0.78149,0.18581,0.05569
seed,vk_f0,vk,im0235,Q4_clearest,19285,0.05476,0.86541,0.0763,0.01131,0.86831,0.12358,0.02561,0.82968,0.07541,0.01932
seed,vk_f0,vk,im0236,Q1_dimmest,12278,0.78319,0.47935,0.22303,0.21486,0.42252,0.29357,0.3581,0.43151,0.19809,0.25835
seed,vk_f0,vk,im0236,Q2,12694,0.53387,0.74308,0.27306,0.11082,0.71527,0.38643,0.19262,0.684,0.24273,0.13378
seed,vk_f0,vk,im0236,Q3,15124,0.23969,0.82014,0.19415,0.04163,0.81724,0.29486,0.08046,0.78276,0.18276,0.05682
seed,vk_f0,vk,im0236,Q4_clearest,17583,0.04311,0.86031,0.09038,0.01079,0.85817,0.15519,0.02389,0.82063,0.09885,0.01745
seed,vk_f0,vk,im0239,Q1_dimmest,10232,0.75352,0.46421,0.20344,0.23095,0.41375,0.24688,0.33842,0.41343,0.16254,0.24002
seed,vk_f0,vk,im0239,Q2,13453,0.5482,0.65829,0.27107,0.15867,0.61019,0.36708,0.26675,0.58688,0.22708,0.18688
seed,vk_f0,vk,im0239,Q3,17219,0.24299,0.81105,0.22089,0.05807,0.78854,0.32934,0.11973,0.7513,0.20599,0.09171
seed,vk_f0,vk,im0239,Q4_clearest,13841,0.04183,0.82976,0.05038,0.01299,0.80962,0.12162,0.04952,0.7692,0.0921,0.0432
seed,vk_f0,vk,im0240,Q1_dimmest,25455,0.65842,0.45989,0.17069,0.18202,0.42531,0.22332,0.29049,0.42147,0.1498,0.21242
seed,vk_f0,vk,im0240,Q2,20238,0.37084,0.73342,0.25773,0.11166,0.71218,0.35462,0.17711,0.68541,0.22158,0.12204
seed,vk_f0,vk,im0240,Q3,13823,0.11777,0.85083,0.13424,0.02397,0.84879,0.19317,0.03393,0.81316,0.11595,0.02069
seed,vk_f0,vk,im0240,Q4_clearest,7375,0.00841,0.87854,0.03762,0.0025,0.87544,0.0435,0.00262,0.81418,0.02154,0.00155
seed,vk_f0,vk,im0255,Q1_dimmest,12113,0.83035,0.43632,0.21181,0.24195,0.4153,0.28451,0.34829,0.4236,0.17363,0.21245
seed,vk_f0,vk,im0255,Q2,14210,0.55876,0.64632,0.25758,0.15252,0.66046,0.35783,0.21084,0.63606,0.20513,0.1245
seed,vk_f0,vk,im0255,Q3,14708,0.20118,0.80798,0.1877,0.04547,0.81981,0.25944,0.06025,0.77589,0.14192,0.03525
seed,vk_f0,vk,im0255,Q4_clearest,16385,0.02673,0.8804,0.08808,0.00821,0.90837,0.10968,0.0144,0.87632,0.05955,0.01089
seed,vk_f0,vk,im0291,Q1_dimmest,10378,0.64733,0.41692,0.17054,0.20044,0.37406,0.25142,0.35037,0.38127,0.18269,0.26788
seed,vk_f0,vk,im0291,Q2,8228,0.29375,0.70709,0.2193,0.0995,0.68769,0.33478,0.17868,0.65991,0.22561,0.1316
seed,vk_f0,vk,im0291,Q3,6036,0.08764,0.83805,0.12757,0.02753,0.81402,0.17897,0.05677,0.77077,0.11352,0.04217
seed,vk_f0,vk,im0291,Q4_clearest,3979,0.00251,0.89686,0.00936,0.00512,0.92933,0.02087,0.00821,0.92625,0.01348,0.00579
seed,vk_f0,vk,im0319,Q1_dimmest,10024,0.72676,0.38623,0.16522,0.22285,0.35368,0.23309,0.35597,0.36126,0.16964,0.26547
seed,vk_f0,vk,im0319,Q2,9867,0.40022,0.67494,0.23298,0.12617,0.64409,0.34787,0.22959,0.6306,0.23808,0.16478
seed,vk_f0,vk,im0319,Q3,6553,0.14894,0.77037,0.11496,0.0359,0.76182,0.21803,0.06987,0.72909,0.15089,0.04958
seed,vk_f0,vk,im0319,Q4_clearest,2090,0.01531,0.86651,0.00638,0.00272,0.8982,0.0129,0.00424,0.84976,0.0073,0.00224
seed,vk_f0,vk,im0324,Q1_dimmest,16445,0.70721,0.40224,0.13075,0.17288,0.36967,0.18451,0.30215,0.36956,0.14869,0.25575
seed,vk_f0,vk,im0324,Q2,14329,0.46563,0.5914,0.2213,0.16747,0.5323,0.34419,0.3249,0.51584,0.25325,0.25937
seed,vk_f0,vk,im0324,Q3,10272,0.21739,0.71868,0.18757,0.08936,0.69838,0.30318,0.16698,0.66793,0.20868,0.12937
seed,vk_f0,vk,im0324,Q4_clearest,4535,0.03462,0.76202,0.08509,0.03527,0.74682,0.14106,0.07056,0.69408,0.09926,0.05752
seed,soft_f0,soft,im0162,Q1_dimmest,8081,0.89147,0.26718,0.16393,0.30594,0.27362,0.19961,0.37401,0.32246,0.09884,0.17797
seed,soft_f0,soft,im0162,Q2,11449,0.68836,0.56332,0.32611,0.25181,0.59777,0.38077,0.27313,0.5967,0.15936,0.10763
seed,soft_f0,soft,im0162,Q3,12944,0.33915,0.80388,0.34473,0.11821,0.8168,0.37302,0.12189,0.76937,0.14158,0.04659
seed,soft_f0,soft,im0162,Q4_clearest,17112,0.05932,0.90975,0.20883,0.0272,0.90748,0.21914,0.03286,0.84817,0.08333,0.0198
seed,soft_f0,soft,im0163,Q1_dimmest,5186,0.85885,0.46405,0.21931,0.23134,0.46675,0.27039,0.29629,0.47235,0.13058,0.14906
seed,soft_f0,soft,im0163,Q2,9046,0.74652,0.6349,0.34752,0.22872,0.66185,0.39174,0.24611,0.62997,0.15606,0.10364
seed,soft_f0,soft,im0163,Q3,12344,0.42158,0.8219,0.32713,0.09734,0.8336,0.34683,0.09703,0.77101,0.11629,0.03864
seed,soft_f0,soft,im0163,Q4_clearest,23265,0.06082,0.92288,0.19802,0.01987,0.92147,0.1994,0.02385,0.88396,0.06586,0.01249
seed,soft_f0,soft,im0235,Q1_dimmest,13323,0.81506,0.31699,0.16171,0.28261,0.31265,0.19835,0.35085,0.3451,0.09582,0.16431
seed,soft_f0,soft,im0235,Q2,13930,0.58227,0.57781,0.27553,0.21658,0.59377,0.32282,0.24485,0.58508,0.13008,0.10314
seed,soft_f0,soft,im0235,Q3,14288,0.29171,0.79289,0.33779,0.11692,0.80791,0.37544,0.12502,0.76482,0.13928,0.05206
seed,soft_f0,soft,im0235,Q4_clearest,19285,0.05476,0.92724,0.27192,0.03122,0.92359,0.28508,0.03515,0.88228,0.10084,0.01703
seed,soft_f0,soft,im0236,Q1_dimmest,12278,0.78319,0.32428,0.17493,0.28795,0.3238,0.21221,0.35127,0.35777,0.10346,0.16532
seed,soft_f0,soft,im0236,Q2,12694,0.53387,0.58974,0.28676,0.2229,0.62384,0.35149,0.24945,0.61558,0.14665,0.1051
seed,soft_f0,soft,im0236,Q3,15124,0.23969,0.807,0.34673,0.11911,0.82981,0.39273,0.12066,0.78874,0.14723,0.05017
seed,soft_f0,soft,im0236,Q4_clearest,17583,0.04311,0.91021,0.29786,0.03609,0.91187,0.30421,0.03641,0.85988,0.10654,0.01687
seed,soft_f0,soft,im0239,Q1_dimmest,10232,0.75352,0.35419,0.12598,0.22599,0.31843,0.15234,0.32617,0.32615,0.07928,0.19087
seed,soft_f0,soft,im0239,Q2,13453,0.5482,0.44315,0.24049,0.27095,0.45009,0.28758,0.32342,0.45194,0.12747,0.15722
seed,soft_f0,soft,im0239,Q3,17219,0.24299,0.73275,0.33456,0.15947,0.74301,0.38363,0.18156,0.69709,0.15659,0.08727
seed,soft_f0,soft,im0239,Q4_clearest,13841,0.04183,0.8744,0.24292,0.0501,0.86438,0.25098,0.05966,0.80304,0.09888,0.03447
seed,soft_f0,soft,im0240,Q1_dimmest,25455,0.65842,0.33502,0.1412,0.24771,0.3424,0.16936,0.29518,0.35816,0.08612,0.14736
