run,config,image,length,depth,kind,band
B_cldice_s0,B_cldice,19,1,1.0,intact,Q2
B_cldice_s0,B_cldice,19,1,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,1,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,1,1.0,intact,Q2
B_cldice_s0,B_cldice,19,2,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,11,4.123,severs,Q2
B_cldice_s0,B_cldice,19,1,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,1,1.0,intact,Q2
B_cldice_s0,B_cldice,19,2,2.236,intact,Q2
B_cldice_s0,B_cldice,19,1,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,1,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,1,1.0,intact,Q2
B_cldice_s0,B_cldice,19,1,1.0,intact,Q1_dimmest
B_cldice_s0,B_cldice,19,2,1.0,intact,Q1_dimmest
