run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
ah_f0_s0,ah,im0240,Q4_clearest,23,39.0,0.0,0.0,nan,nan,0.00798,nan,0.99601
ah_f0_s0,ah,im0255,Q1_dimmest,16,3.5,0.5,0.0,0.625,0.49871,0.41863,0.68479,0.73339
ah_f0_s0,ah,im0255,Q2,99,7.0,0.25253,0.0,0.71892,0.53971,0.33929,0.57787,0.79187
ah_f0_s0,ah,im0255,Q3,109,21.0,0.05505,0.0,0.8479,0.45347,0.18608,0.70458,0.8859
ah_f0_s0,ah,im0255,Q4_clearest,150,22.0,0.00667,0.0,0.95973,0.17723,0.03178,0.91139,0.98158
ah_f0_s0,ah,im0291,Q1_dimmest,16,5.5,0.1875,0.0,0.46154,0.32829,0.4318,0.6396,0.69764
ah_f0_s0,ah,im0291,Q2,33,27.0,0.0303,0.0,0.65625,0.19514,0.19885,0.90243,0.88745
ah_f0_s0,ah,im0291,Q3,19,15.0,0.0,0.0,nan,nan,0.16116,nan,0.91366
ah_f0_s0,ah,im0291,Q4_clearest,15,19.0,0.0,0.0,nan,nan,0.06497,nan,0.96751
ah_f0_s0,ah,im0319,Q1_dimmest,29,7.0,0.62069,0.0,0.4899,0.41504,0.42423,0.69519,0.65984
ah_f0_s0,ah,im0319,Q2,50,20.5,0.16,0.0,0.66667,0.3409,0.20252,0.65595,0.86261
ah_f0_s0,ah,im0319,Q3,26,26.0,0.11538,0.0,0.97101,0.70787,0.16773,0.35393,0.86019
ah_f0_s0,ah,im0324,Q1_dimmest,23,5.0,0.47826,0.0,0.5303,0.35471,0.31995,0.76824,0.80288
ah_f0_s0,ah,im0324,Q2,53,6.0,0.30189,0.0,0.70777,0.54459,0.33284,0.6013,0.75787
ah_f0_s0,ah,im0324,Q3,49,19.0,0.12245,0.0,0.77907,0.38544,0.16786,0.80728,0.88913
ah_f0_s0,ah,im0324,Q4_clearest,11,66.0,0.0,0.0,nan,nan,0.10318,nan,0.94841
vk_f0_s0,vk,im0162,Q1_dimmest,49,9.0,0.87755,0.0,0.83333,0.51687,0.19102,0.65988,0.90449
vk_f0_s0,vk,im0162,Q2,130,19.0,0.59231,0.0,0.86229,0.39407,0.13636,0.74872,0.93182
vk_f0_s0,vk,im0162,Q3,130,24.0,0.15385,0.0,0.88636,0.32636,0.05548,0.77494,0.96868
vk_f0_s0,vk,im0162,Q4_clearest,204,15.0,0.0098,0.0,0.78218,0.07341,0.01189,0.96329,0.99406
vk_f0_s0,vk,im0163,Q1_dimmest,29,7.0,0.7931,0.0,0.86957,0.44979,0.10206,0.69657,0.85866
vk_f0_s0,vk,im0163,Q2,65,22.0,0.70769,0.0,0.82494,0.26776,0.08291,0.82086,0.95855
vk_f0_s0,vk,im0163,Q3,56,29.5,0.16071,0.0,0.77778,0.25698,0.03926,0.87151,0.98037
vk_f0_s0,vk,im0163,Q4_clearest,157,20.0,0.01274,0.0,0.99677,0.57658,0.00743,0.65377,0.99629
vk_f0_s0,vk,im0235,Q1_dimmest,78,8.0,0.79487,0.0,0.67843,0.48227,0.31705,0.66577,0.75204
vk_f0_s0,vk,im0235,Q2,79,17.0,0.48101,0.0,0.84018,0.4321,0.15853,0.70461,0.92073
vk_f0_s0,vk,im0235,Q3,79,32.0,0.16456,0.0,0.88462,0.40911,0.04892,0.76447,0.97554
vk_f0_s0,vk,im0235,Q4_clearest,159,15.0,0.0,0.0,nan,nan,0.01931,nan,0.99035
vk_f0_s0,vk,im0236,Q1_dimmest,67,9.0,0.64179,0.0,0.68992,0.45672,0.29211,0.72103,0.82836
vk_f0_s0,vk,im0236,Q2,85,16.0,0.48235,0.0,0.8398,0.4324,0.16995,0.76692,0.91309
vk_f0_s0,vk,im0236,Q3,81,19.0,0.12346,0.0,0.97746,0.43468,0.03585,0.77767,0.98208
vk_f0_s0,vk,im0236,Q4_clearest,156,17.0,0.00641,0.0,0.99355,0.39058,0.01393,0.80471,0.99303
vk_f0_s0,vk,im0239,Q1_dimmest,39,6.0,0.5641,0.0,0.64171,0.57558,0.41939,0.56151,0.74459
vk_f0_s0,vk,im0239,Q2,96,13.0,0.44792,0.0,0.77753,0.45236,0.22593,0.68654,0.86647
vk_f0_s0,vk,im0239,Q3,110,21.0,0.15455,0.0,0.8697,0.38253,0.08419,0.77367,0.95791
