run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,05,bridge_only,0.25,1,0.79913,0.78081,20,34,-34
A_dice_s0,A_dice,05,bridge_only,0.5,1,0.79913,0.78081,20,34,-34
A_dice_s0,A_dice,05,bridge_only,0.75,2,0.79917,0.78019,15,35,-35
A_dice_s0,A_dice,05,bridge_only,1.0,3,0.79738,0.77826,15,34,-34
A_dice_s0,A_dice,05,bridge_only,1.5,4,0.7919,0.77467,13,34,-34
A_dice_s0,A_dice,05,bridge_only,2.0,6,0.76796,0.75981,11,34,-34
A_dice_s0,A_dice,06,closing,0.0,0,0.79405,0.77029,34,43,-43
A_dice_s0,A_dice,06,closing,0.25,1,0.79486,0.77188,28,45,-45
A_dice_s0,A_dice,06,closing,0.5,1,0.79486,0.77188,28,45,-45
A_dice_s0,A_dice,06,closing,0.75,2,0.79265,0.76964,21,47,-47
A_dice_s0,A_dice,06,closing,1.0,3,0.78585,0.76141,16,42,-42
A_dice_s0,A_dice,06,closing,1.5,4,0.77412,0.75358,13,45,-45
A_dice_s0,A_dice,06,closing,2.0,6,0.73311,0.72284,7,48,-48
A_dice_s0,A_dice,06,bridge_only,0.0,0,0.79405,0.77029,34,43,-43
A_dice_s0,A_dice,06,bridge_only,0.25,1,0.79397,0.77122,29,41,-41
A_dice_s0,A_dice,06,bridge_only,0.5,1,0.79397,0.77122,29,41,-41
A_dice_s0,A_dice,06,bridge_only,0.75,2,0.79255,0.77076,24,40,-40
A_dice_s0,A_dice,06,bridge_only,1.0,3,0.7888,0.76674,19,34,-34
A_dice_s0,A_dice,06,bridge_only,1.5,4,0.78103,0.76318,17,37,-37
A_dice_s0,A_dice,06,bridge_only,2.0,6,0.75251,0.74353,12,37,-37
A_dice_s0,A_dice,07,closing,0.0,0,0.80588,0.79551,27,53,-53
A_dice_s0,A_dice,07,closing,0.25,1,0.80634,0.79634,23,52,-52
A_dice_s0,A_dice,07,closing,0.5,1,0.80634,0.79634,23,52,-52
A_dice_s0,A_dice,07,closing,0.75,2,0.80561,0.79535,23,50,-50
A_dice_s0,A_dice,07,closing,1.0,3,0.79914,0.79058,16,49,-49
A_dice_s0,A_dice,07,closing,1.5,4,0.78808,0.78127,16,50,-50
A_dice_s0,A_dice,07,closing,2.0,6,0.75392,0.74983,11,54,-54
A_dice_s0,A_dice,07,bridge_only,0.0,0,0.80588,0.79551,27,53,-53
A_dice_s0,A_dice,07,bridge_only,0.25,1,0.80638,0.79632,23,52,-52
A_dice_s0,A_dice,07,bridge_only,0.5,1,0.80638,0.79632,23,52,-52
A_dice_s0,A_dice,07,bridge_only,0.75,2,0.8063,0.79708,23,50,-50
A_dice_s0,A_dice,07,bridge_only,1.0,3,0.80359,0.79553,18,49,-49
A_dice_s0,A_dice,07,bridge_only,1.5,4,0.79925,0.79326,18,49,-49
A_dice_s0,A_dice,07,bridge_only,2.0,6,0.78083,0.77935,14,49,-49
A_dice_s0,A_dice,08,closing,0.0,0,0.7869,0.78146,32,48,-48
A_dice_s0,A_dice,08,closing,0.25,1,0.78786,0.78139,29,49,-49
A_dice_s0,A_dice,08,closing,0.5,1,0.78786,0.78139,29,49,-49
A_dice_s0,A_dice,08,closing,0.75,2,0.7885,0.7811,27,51,-51
A_dice_s0,A_dice,08,closing,1.0,3,0.78549,0.77532,25,52,-52
A_dice_s0,A_dice,08,closing,1.5,4,0.77852,0.7674,19,53,-53
A_dice_s0,A_dice,08,closing,2.0,6,0.74231,0.7401,15,49,-49
A_dice_s0,A_dice,08,bridge_only,0.0,0,0.7869,0.78146,32,48,-48
A_dice_s0,A_dice,08,bridge_only,0.25,1,0.78719,0.78171,29,46,-46
A_dice_s0,A_dice,08,bridge_only,0.5,1,0.78719,0.78171,29,46,-46
A_dice_s0,A_dice,08,bridge_only,0.75,2,0.7861,0.78193,27,46,-46
A_dice_s0,A_dice,08,bridge_only,1.0,3,0.78453,0.78035,24,44,-44
A_dice_s0,A_dice,08,bridge_only,1.5,4,0.77893,0.77532,20,44,-44
A_dice_s0,A_dice,08,bridge_only,2.0,6,0.75042,0.75899,16,40,-40
A_dice_s0,A_dice,09,closing,0.0,0,0.79291,0.79496,19,30,-30
A_dice_s0,A_dice,09,closing,0.25,1,0.79395,0.79514,16,32,-32
A_dice_s0,A_dice,09,closing,0.5,1,0.79395,0.79514,16,32,-32
A_dice_s0,A_dice,09,closing,0.75,2,0.79405,0.79437,12,29,-29
A_dice_s0,A_dice,09,closing,1.0,3,0.78751,0.78341,10,31,-31
A_dice_s0,A_dice,09,closing,1.5,4,0.77948,0.77659,10,31,-31
A_dice_s0,A_dice,09,closing,2.0,6,0.74686,0.74832,6,31,-31
A_dice_s0,A_dice,09,bridge_only,0.0,0,0.79291,0.79496,19,30,-30
A_dice_s0,A_dice,09,bridge_only,0.25,1,0.79367,0.79579,17,30,-30
A_dice_s0,A_dice,09,bridge_only,0.5,1,0.79367,0.79579,17,30,-30
A_dice_s0,A_dice,09,bridge_only,0.75,2,0.79394,0.79686,13,28,-28
A_dice_s0,A_dice,09,bridge_only,1.0,3,0.79072,0.79319,11,26,-26
A_dice_s0,A_dice,09,bridge_only,1.5,4,0.78503,0.78979,11,25,-25
A_dice_s0,A_dice,09,bridge_only,2.0,6,0.76547,0.77385,7,25,-25
A_dice_s0,A_dice,10,closing,0.0,0,0.80293,0.78009,24,59,-59
A_dice_s0,A_dice,10,closing,0.25,1,0.8031,0.77877,20,61,-61
A_dice_s0,A_dice,10,closing,0.5,1,0.8031,0.77877,20,61,-61
A_dice_s0,A_dice,10,closing,0.75,2,0.80089,0.77456,14,60,-60
A_dice_s0,A_dice,10,closing,1.0,3,0.78878,0.76127,13,64,-64
A_dice_s0,A_dice,10,closing,1.5,4,0.77292,0.74602,10,66,-66
A_dice_s0,A_dice,10,closing,2.0,6,0.7158,0.70009,12,71,-71
A_dice_s0,A_dice,10,bridge_only,0.0,0,0.80293,0.78009,24,59,-59
A_dice_s0,A_dice,10,bridge_only,0.25,1,0.80309,0.78045,20,59,-59
A_dice_s0,A_dice,10,bridge_only,0.5,1,0.80309,0.78045,20,59,-59
A_dice_s0,A_dice,10,bridge_only,0.75,2,0.80179,0.78014,14,55,-55
A_dice_s0,A_dice,10,bridge_only,1.0,3,0.79584,0.77536,13,56,-56
A_dice_s0,A_dice,10,bridge_only,1.5,4,0.78744,0.76879,11,57,-57
A_dice_s0,A_dice,10,bridge_only,2.0,6,0.7563,0.75174,13,54,-54
A_dice_s0,A_dice,11,closing,0.0,0,0.80822,0.78247,27,62,-62
A_dice_s0,A_dice,11,closing,0.25,1,0.80699,0.78181,22,71,-71
A_dice_s0,A_dice,11,closing,0.5,1,0.80699,0.78181,22,71,-71
A_dice_s0,A_dice,11,closing,0.75,2,0.80188,0.77417,16,79,-79
A_dice_s0,A_dice,11,closing,1.0,3,0.78914,0.76517,10,79,-79
A_dice_s0,A_dice,11,closing,1.5,4,0.77452,0.75362,7,80,-80
A_dice_s0,A_dice,11,closing,2.0,6,0.7276,0.7196,6,78,-78
A_dice_s0,A_dice,11,bridge_only,0.0,0,0.80822,0.78247,27,62,-62
A_dice_s0,A_dice,11,bridge_only,0.25,1,0.80776,0.78268,25,62,-62
A_dice_s0,A_dice,11,bridge_only,0.5,1,0.80776,0.78268,25,62,-62
A_dice_s0,A_dice,11,bridge_only,0.75,2,0.80593,0.78129,19,61,-61
A_dice_s0,A_dice,11,bridge_only,1.0,3,0.79931,0.77764,13,61,-61
A_dice_s0,A_dice,11,bridge_only,1.5,4,0.79069,0.7728,12,60,-60
A_dice_s0,A_dice,11,bridge_only,2.0,6,0.76828,0.75781,10,59,-59
A_dice_s0,A_dice,12,closing,0.0,0,0.82346,0.8433,13,22,-22
A_dice_s0,A_dice,12,closing,0.25,1,0.82428,0.84468,11,29,-29
A_dice_s0,A_dice,12,closing,0.5,1,0.82428,0.84468,11,29,-29
A_dice_s0,A_dice,12,closing,0.75,2,0.82097,0.8406,10,30,-30
A_dice_s0,A_dice,12,closing,1.0,3,0.81091,0.8304,8,30,-30
A_dice_s0,A_dice,12,closing,1.5,4,0.79264,0.81289,8,29,-29
A_dice_s0,A_dice,12,closing,2.0,6,0.7311,0.75882,3,36,-36
A_dice_s0,A_dice,12,bridge_only,0.0,0,0.82346,0.8433,13,22,-22
A_dice_s0,A_dice,12,bridge_only,0.25,1,0.82371,0.84431,11,21,-21
A_dice_s0,A_dice,12,bridge_only,0.5,1,0.82371,0.84431,11,21,-21
A_dice_s0,A_dice,12,bridge_only,0.75,2,0.82251,0.84372,10,17,-17
A_dice_s0,A_dice,12,bridge_only,1.0,3,0.81574,0.83669,9,17,-17
A_dice_s0,A_dice,12,bridge_only,1.5,4,0.80492,0.82625,9,17,-17
A_dice_s0,A_dice,12,bridge_only,2.0,6,0.77822,0.81057,6,19,-19
A_dice_s0,A_dice,13,closing,0.0,0,0.81356,0.79416,26,42,-42
A_dice_s0,A_dice,13,closing,0.25,1,0.81385,0.79474,19,44,-44
A_dice_s0,A_dice,13,closing,0.5,1,0.81385,0.79474,19,44,-44
A_dice_s0,A_dice,13,closing,0.75,2,0.81128,0.79123,11,44,-44
A_dice_s0,A_dice,13,closing,1.0,3,0.80192,0.78052,9,46,-46
A_dice_s0,A_dice,13,closing,1.5,4,0.79047,0.77163,8,46,-46
A_dice_s0,A_dice,13,closing,2.0,6,0.74367,0.73691,6,48,-48
A_dice_s0,A_dice,13,bridge_only,0.0,0,0.81356,0.79416,26,42,-42
A_dice_s0,A_dice,13,bridge_only,0.25,1,0.8139,0.79471,19,41,-41
A_dice_s0,A_dice,13,bridge_only,0.5,1,0.8139,0.79471,19,41,-41
A_dice_s0,A_dice,13,bridge_only,0.75,2,0.81289,0.79371,13,39,-39
A_dice_s0,A_dice,13,bridge_only,1.0,3,0.80871,0.7901,12,39,-39
A_dice_s0,A_dice,13,bridge_only,1.5,4,0.80155,0.78557,11,38,-38
A_dice_s0,A_dice,13,bridge_only,2.0,6,0.76694,0.76509,9,36,-36
A_dice_s0,A_dice,14,closing,0.0,0,0.81403,0.82373,23,21,-21
A_dice_s0,A_dice,14,closing,0.25,1,0.81329,0.82302,18,25,-25
A_dice_s0,A_dice,14,closing,0.5,1,0.81329,0.82302,18,25,-25
A_dice_s0,A_dice,14,closing,0.75,2,0.8082,0.81981,18,20,-20
A_dice_s0,A_dice,14,closing,1.0,3,0.79734,0.80961,17,18,-18
A_dice_s0,A_dice,14,closing,1.5,4,0.78421,0.79676,17,19,-19
A_dice_s0,A_dice,14,closing,2.0,6,0.72856,0.75235,12,14,-14
A_dice_s0,A_dice,14,bridge_only,0.0,0,0.81403,0.82373,23,21,-21
A_dice_s0,A_dice,14,bridge_only,0.25,1,0.81415,0.82413,22,21,-21
A_dice_s0,A_dice,14,bridge_only,0.5,1,0.81415,0.82413,22,21,-21
A_dice_s0,A_dice,14,bridge_only,0.75,2,0.81375,0.82421,22,21,-21
A_dice_s0,A_dice,14,bridge_only,1.0,3,0.81236,0.82312,22,19,-19
A_dice_s0,A_dice,14,bridge_only,1.5,4,0.809,0.82074,22,19,-19
A_dice_s0,A_dice,14,bridge_only,2.0,6,0.78908,0.80691,18,17,-17
A_dice_s0,A_dice,15,closing,0.0,0,0.79046,0.81821,40,23,-23
A_dice_s0,A_dice,15,closing,0.25,1,0.78989,0.81818,34,24,-24
A_dice_s0,A_dice,15,closing,0.5,1,0.78989,0.81818,34,24,-24
