run,config,image,min_size,band,breaks,gt_px,skel_px,dice,cldice,tprec,tsens
A_dice_s0,A_dice,07,20,Q2,34,7149,2172,0.81745,0.81207,0.82091,0.80341
A_dice_s0,A_dice,07,20,Q3,7,7254,1955,0.92116,0.96181,0.95147,0.97238
A_dice_s0,A_dice,07,20,Q4_clearest,0,7433,2033,0.96933,0.99557,0.99361,0.99754
A_dice_s0,A_dice,08,0,Q1_dimmest,297,9976,3245,0.51136,0.4846,0.60956,0.40216
A_dice_s0,A_dice,08,0,Q2,29,8461,2479,0.84687,0.84428,0.81084,0.8806
A_dice_s0,A_dice,08,0,Q3,3,6640,1970,0.93375,0.96918,0.95743,0.98122
A_dice_s0,A_dice,08,0,Q4_clearest,1,3312,891,0.97516,0.99326,0.99439,0.99214
A_dice_s0,A_dice,08,20,Q1_dimmest,257,9976,3245,0.51095,0.48432,0.65746,0.38336
A_dice_s0,A_dice,08,20,Q2,28,8461,2479,0.84658,0.84381,0.8223,0.86648
A_dice_s0,A_dice,08,20,Q3,3,6640,1970,0.93556,0.97381,0.96652,0.98122
A_dice_s0,A_dice,08,20,Q4_clearest,1,3312,891,0.97516,0.99326,0.99439,0.99214
A_dice_s0,A_dice,09,0,Q1_dimmest,281,9368,3406,0.5304,0.53909,0.66554,0.45302
A_dice_s0,A_dice,09,0,Q2,33,7639,2383,0.85327,0.87946,0.84709,0.91439
A_dice_s0,A_dice,09,0,Q3,3,6249,1936,0.93283,0.97576,0.96716,0.9845
A_dice_s0,A_dice,09,0,Q4_clearest,1,3485,1001,0.96977,0.98484,0.99695,0.97303
A_dice_s0,A_dice,09,20,Q1_dimmest,248,9368,3406,0.52702,0.53138,0.68524,0.43394
A_dice_s0,A_dice,09,20,Q2,30,7639,2383,0.85205,0.87584,0.84909,0.90432
A_dice_s0,A_dice,09,20,Q3,3,6249,1936,0.93266,0.97599,0.96762,0.9845
A_dice_s0,A_dice,09,20,Q4_clearest,1,3485,1001,0.96963,0.98484,0.99695,0.97303
A_dice_s0,A_dice,10,0,Q1_dimmest,296,7560,3177,0.5242,0.49696,0.55092,0.45263
A_dice_s0,A_dice,10,0,Q2,38,6756,2369,0.81923,0.81467,0.7564,0.88265
A_dice_s0,A_dice,10,0,Q3,2,6741,2035,0.91105,0.96133,0.93066,0.9941
A_dice_s0,A_dice,10,0,Q4_clearest,0,6099,1556,0.95671,0.99236,0.98484,1.0
A_dice_s0,A_dice,10,20,Q1_dimmest,276,7560,3177,0.52634,0.5021,0.5759,0.44507
A_dice_s0,A_dice,10,20,Q2,35,6756,2369,0.81812,0.81083,0.75952,0.86957
A_dice_s0,A_dice,10,20,Q3,1,6741,2035,0.91263,0.96607,0.94223,0.99115
A_dice_s0,A_dice,10,20,Q4_clearest,0,6099,1556,0.95731,0.99467,0.9894,1.0
A_dice_s0,A_dice,11,0,Q1_dimmest,320,6386,2930,0.48199,0.41911,0.53945,0.34266
A_dice_s0,A_dice,11,0,Q2,50,5601,2186,0.78367,0.75083,0.72107,0.78317
A_dice_s0,A_dice,11,0,Q3,10,6593,2129,0.86856,0.9056,0.85885,0.95773
A_dice_s0,A_dice,11,0,Q4_clearest,3,10959,3211,0.93824,0.98063,0.9646,0.9972
A_dice_s0,A_dice,11,20,Q1_dimmest,277,6386,2930,0.47246,0.39769,0.56045,0.30819
A_dice_s0,A_dice,11,20,Q2,43,5601,2186,0.78375,0.75066,0.73655,0.76532
A_dice_s0,A_dice,11,20,Q3,9,6593,2129,0.87004,0.90992,0.86782,0.95632
A_dice_s0,A_dice,11,20,Q4_clearest,3,10959,3211,0.9388,0.98235,0.96793,0.9972
A_dice_s0,A_dice,12,0,Q1_dimmest,214,6741,2151,0.54843,0.5634,0.61965,0.5165
A_dice_s0,A_dice,12,0,Q2,52,7686,2661,0.81587,0.83546,0.80682,0.86622
A_dice_s0,A_dice,12,0,Q3,5,7976,2374,0.90064,0.95432,0.9313,0.97852
A_dice_s0,A_dice,12,0,Q4_clearest,1,6087,1526,0.95808,0.99327,0.9892,0.99738
A_dice_s0,A_dice,12,20,Q1_dimmest,187,6741,2151,0.54588,0.56245,0.64937,0.49605
A_dice_s0,A_dice,12,20,Q2,43,7686,2661,0.81653,0.83946,0.82594,0.85344
A_dice_s0,A_dice,12,20,Q3,5,7976,2374,0.90042,0.95335,0.93328,0.9743
A_dice_s0,A_dice,12,20,Q4_clearest,1,6087,1526,0.958,0.99294,0.98919,0.99672
A_dice_s0,A_dice,13,0,Q1_dimmest,283,8947,3161,0.54684,0.50456,0.59882,0.43594
A_dice_s0,A_dice,13,0,Q2,64,7970,2798,0.81677,0.80334,0.76954,0.84024
A_dice_s0,A_dice,13,0,Q3,6,7295,2120,0.91749,0.95384,0.93359,0.975
A_dice_s0,A_dice,13,0,Q4_clearest,0,8047,2107,0.97575,0.99742,0.99485,1.0
A_dice_s0,A_dice,13,20,Q1_dimmest,244,8947,3161,0.54268,0.49322,0.6167,0.41095
A_dice_s0,A_dice,13,20,Q2,53,7970,2798,0.81636,0.8032,0.79018,0.81665
A_dice_s0,A_dice,13,20,Q3,5,7295,2120,0.91806,0.95658,0.94104,0.97264
A_dice_s0,A_dice,13,20,Q4_clearest,0,8047,2107,0.97575,0.99742,0.99485,1.0
A_dice_s0,A_dice,14,0,Q1_dimmest,211,4886,1623,0.5181,0.49415,0.46154,0.53173
A_dice_s0,A_dice,14,0,Q2,52,6453,2243,0.79562,0.78097,0.69446,0.89211
A_dice_s0,A_dice,14,0,Q3,1,8104,2470,0.88638,0.93864,0.88789,0.99555
A_dice_s0,A_dice,14,0,Q4_clearest,0,7234,2022,0.94863,0.99307,0.98624,1.0
A_dice_s0,A_dice,14,20,Q1_dimmest,191,4886,1623,0.5231,0.50511,0.4978,0.51263
A_dice_s0,A_dice,14,20,Q2,50,6453,2243,0.79699,0.78486,0.70939,0.87829
A_dice_s0,A_dice,14,20,Q3,1,8104,2470,0.88763,0.9431,0.89623,0.99514
A_dice_s0,A_dice,14,20,Q4_clearest,0,7234,2022,0.94863,0.99307,0.98624,1.0
A_dice_s0,A_dice,15,0,Q1_dimmest,154,4357,1638,0.52227,0.50797,0.44068,0.59951
A_dice_s0,A_dice,15,0,Q2,23,5141,1751,0.74528,0.74278,0.62071,0.92461
A_dice_s0,A_dice,15,0,Q3,1,6066,1760,0.82897,0.88435,0.79447,0.99716
A_dice_s0,A_dice,15,0,Q4_clearest,0,8050,2502,0.92917,0.97684,0.95472,1.0
A_dice_s0,A_dice,15,20,Q1_dimmest,141,4357,1638,0.53322,0.53718,0.49713,0.58425
A_dice_s0,A_dice,15,20,Q2,21,5141,1751,0.75535,0.76848,0.66126,0.91719
A_dice_s0,A_dice,15,20,Q3,1,6066,1760,0.83376,0.89767,0.81624,0.99716
A_dice_s0,A_dice,15,20,Q4_clearest,0,8050,2502,0.92965,0.9778,0.95657,1.0
A_dice_s0,A_dice,16,0,Q1_dimmest,256,6445,1959,0.57892,0.61284,0.71272,0.53752
A_dice_s0,A_dice,16,0,Q2,38,6977,2256,0.84652,0.88622,0.88458,0.88785
A_dice_s0,A_dice,16,0,Q3,1,7630,2131,0.89415,0.96015,0.93025,0.99202
A_dice_s0,A_dice,16,0,Q4_clearest,1,8739,2466,0.93668,0.98466,0.97171,0.99797
A_dice_s0,A_dice,16,20,Q1_dimmest,233,6445,1959,0.57892,0.62317,0.77032,0.52323
A_dice_s0,A_dice,16,20,Q2,35,6977,2256,0.84931,0.89283,0.90996,0.87633
A_dice_s0,A_dice,16,20,Q3,1,7630,2131,0.89662,0.96839,0.94671,0.99108
A_dice_s0,A_dice,16,20,Q4_clearest,1,8739,2466,0.93734,0.98628,0.97486,0.99797
A_dice_s0,A_dice,17,0,Q1_dimmest,252,7862,2585,0.57483,0.59388,0.73075,0.50019
A_dice_s0,A_dice,17,0,Q2,45,7104,2140,0.84293,0.87759,0.87483,0.88037
A_dice_s0,A_dice,17,0,Q3,3,7222,1826,0.90473,0.9757,0.96584,0.98576
A_dice_s0,A_dice,17,0,Q4_clearest,1,5664,1433,0.92533,0.98948,0.98459,0.99442
A_dice_s0,A_dice,17,20,Q1_dimmest,230,7862,2585,0.57492,0.59565,0.76279,0.48859
A_dice_s0,A_dice,17,20,Q2,39,7104,2140,0.84445,0.88563,0.89727,0.8743
A_dice_s0,A_dice,17,20,Q3,2,7222,1826,0.90491,0.97641,0.96936,0.98357
A_dice_s0,A_dice,17,20,Q4_clearest,1,5664,1433,0.92521,0.98947,0.98595,0.99302
A_dice_s0,A_dice,18,0,Q1_dimmest,180,4966,1759,0.6132,0.62393,0.69992,0.56282
A_dice_s0,A_dice,18,0,Q2,38,6044,1968,0.82079,0.88346,0.86904,0.89837
A_dice_s0,A_dice,18,0,Q3,2,7429,2081,0.85709,0.96388,0.93661,0.99279
A_dice_s0,A_dice,18,0,Q4_clearest,0,7705,1851,0.8913,0.98801,0.97786,0.99838
A_dice_s0,A_dice,18,20,Q1_dimmest,168,4966,1759,0.61772,0.6366,0.74555,0.55543
A_dice_s0,A_dice,18,20,Q2,38,6044,1968,0.82216,0.88907,0.88791,0.89024
A_dice_s0,A_dice,18,20,Q3,2,7429,2081,0.85919,0.97136,0.95217,0.99135
A_dice_s0,A_dice,18,20,Q4_clearest,0,7705,1851,0.89181,0.9893,0.98038,0.99838
A_dice_s0,A_dice,19,0,Q1_dimmest,136,3731,1722,0.64641,0.66428,0.66305,0.66551
A_dice_s0,A_dice,19,0,Q2,23,6957,2067,0.79281,0.8402,0.75184,0.9521
A_dice_s0,A_dice,19,0,Q3,1,8771,2610,0.88731,0.95264,0.91534,0.9931
A_dice_s0,A_dice,19,0,Q4_clearest,0,7909,2077,0.95948,0.99634,0.99271,1.0
A_dice_s0,A_dice,19,20,Q1_dimmest,129,3731,1722,0.6509,0.67601,0.69638,0.65679
A_dice_s0,A_dice,19,20,Q2,22,6957,2067,0.79774,0.85572,0.77867,0.94969
A_dice_s0,A_dice,19,20,Q3,1,8771,2610,0.88899,0.95813,0.92553,0.9931
A_dice_s0,A_dice,19,20,Q4_clearest,0,7909,2077,0.95948,0.99634,0.99271,1.0
A_dice_s0,A_dice,20,0,Q1_dimmest,203,5411,1924,0.6245,0.63783,0.61702,0.66008
A_dice_s0,A_dice,20,0,Q2,22,7210,2225,0.80856,0.85042,0.77414,0.94337
A_dice_s0,A_dice,20,0,Q3,2,6951,2027,0.86683,0.94353,0.90275,0.98816
A_dice_s0,A_dice,20,0,Q4_clearest,0,4693,1197,0.9362,0.97781,0.95659,1.0
