run,trained_on,image,band,n_px,contested_frac,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed,auroc
vk_f0_s0,vk,im0239,Q1_dimmest,10232,0.75352,0.20344,0.23095,0.23902,0.55691,0.46421
vk_f0_s0,vk,im0239,Q2,13453,0.5482,0.27107,0.15867,0.48825,0.82327,0.65829
vk_f0_s0,vk,im0239,Q3,17219,0.24299,0.22089,0.05807,0.77231,0.95128,0.81105
vk_f0_s0,vk,im0239,Q4_clearest,13841,0.04183,0.05038,0.01299,0.96986,0.98904,0.82976
vk_f0_s0,vk,im0240,Q1_dimmest,25455,0.65842,0.17069,0.18202,0.23063,0.53213,0.45989
vk_f0_s0,vk,im0240,Q2,20238,0.37084,0.25773,0.11166,0.57836,0.88231,0.73342
vk_f0_s0,vk,im0240,Q3,13823,0.11777,0.13424,0.02397,0.87278,0.98509,0.85083
vk_f0_s0,vk,im0240,Q4_clearest,7375,0.00841,0.03762,0.0025,0.96204,0.99875,0.87854
vk_f0_s0,vk,im0255,Q1_dimmest,12113,0.83035,0.21181,0.24195,0.27961,0.67305,0.43632
vk_f0_s0,vk,im0255,Q2,14210,0.55876,0.25758,0.15252,0.57015,0.86914,0.64632
vk_f0_s0,vk,im0255,Q3,14708,0.20118,0.1877,0.04547,0.81162,0.97247,0.80798
vk_f0_s0,vk,im0255,Q4_clearest,16385,0.02673,0.08808,0.00821,0.94606,0.99488,0.8804
vk_f0_s0,vk,im0291,Q1_dimmest,10378,0.64733,0.17054,0.20044,0.26275,0.6376,0.41692
vk_f0_s0,vk,im0291,Q2,8228,0.29375,0.2193,0.0995,0.64232,0.88493,0.70709
vk_f0_s0,vk,im0291,Q3,6036,0.08764,0.12757,0.02753,0.88556,0.97794,0.83805
vk_f0_s0,vk,im0291,Q4_clearest,3979,0.00251,0.00936,0.00512,0.99532,0.99721,0.89686
vk_f0_s0,vk,im0319,Q1_dimmest,10024,0.72676,0.16522,0.22285,0.26219,0.56875,0.38623
vk_f0_s0,vk,im0319,Q2,9867,0.40022,0.23298,0.12617,0.60857,0.87247,0.67494
vk_f0_s0,vk,im0319,Q3,6553,0.14894,0.11496,0.0359,0.88179,0.96946,0.77037
vk_f0_s0,vk,im0319,Q4_clearest,2090,0.01531,0.00638,0.00272,0.99681,0.99858,0.86651
vk_f0_s0,vk,im0324,Q1_dimmest,16445,0.70721,0.13075,0.17288,0.19228,0.35344,0.40224
vk_f0_s0,vk,im0324,Q2,14329,0.46563,0.2213,0.16747,0.49278,0.69754,0.5914
vk_f0_s0,vk,im0324,Q3,10272,0.21739,0.18757,0.08936,0.75279,0.87064,0.71868
vk_f0_s0,vk,im0324,Q4_clearest,4535,0.03462,0.08509,0.03527,0.92204,0.96364,0.76202
soft_f0_s0,soft,im0162,Q1_dimmest,8081,0.89147,0.16393,0.30594,0.14326,0.62572,0.26718
soft_f0_s0,soft,im0162,Q2,11449,0.68836,0.32611,0.25181,0.38567,0.8073,0.56332
soft_f0_s0,soft,im0162,Q3,12944,0.33915,0.34473,0.11821,0.67682,0.9274,0.80388
soft_f0_s0,soft,im0162,Q4_clearest,17112,0.05932,0.20883,0.0272,0.86983,0.97963,0.90975
soft_f0_s0,soft,im0163,Q1_dimmest,5186,0.85885,0.21931,0.23134,0.20679,0.75476,0.46405
soft_f0_s0,soft,im0163,Q2,9046,0.74652,0.34752,0.22872,0.44426,0.82602,0.6349
soft_f0_s0,soft,im0163,Q3,12344,0.42158,0.32713,0.09734,0.70639,0.94164,0.8219
soft_f0_s0,soft,im0163,Q4_clearest,23265,0.06082,0.19802,0.01987,0.86451,0.98864,0.92288
soft_f0_s0,soft,im0235,Q1_dimmest,13323,0.81506,0.16171,0.28261,0.14881,0.61177,0.31699
soft_f0_s0,soft,im0235,Q2,13930,0.58227,0.27553,0.21658,0.34615,0.79203,0.57781
soft_f0_s0,soft,im0235,Q3,14288,0.29171,0.33779,0.11692,0.50554,0.9063,0.79289
soft_f0_s0,soft,im0235,Q4_clearest,19285,0.05476,0.27192,0.03122,0.78118,0.97129,0.92724
soft_f0_s0,soft,im0236,Q1_dimmest,12278,0.78319,0.17493,0.28795,0.16449,0.56959,0.32428
soft_f0_s0,soft,im0236,Q2,12694,0.53387,0.28676,0.2229,0.33612,0.79538,0.58974
soft_f0_s0,soft,im0236,Q3,15124,0.23969,0.34673,0.11911,0.51944,0.90859,0.807
soft_f0_s0,soft,im0236,Q4_clearest,17583,0.04311,0.29786,0.03609,0.72516,0.97355,0.91021
soft_f0_s0,soft,im0239,Q1_dimmest,10232,0.75352,0.12598,0.22599,0.09598,0.36259,0.35419
soft_f0_s0,soft,im0239,Q2,13453,0.5482,0.24049,0.27095,0.23057,0.6225,0.44315
soft_f0_s0,soft,im0239,Q3,17219,0.24299,0.33456,0.15947,0.45118,0.86105,0.73275
soft_f0_s0,soft,im0239,Q4_clearest,13841,0.04183,0.24292,0.0501,0.82466,0.95928,0.8744
soft_f0_s0,soft,im0240,Q1_dimmest,25455,0.65842,0.1412,0.24771,0.13038,0.45251,0.33502
soft_f0_s0,soft,im0240,Q2,20238,0.37084,0.27971,0.22574,0.32915,0.76589,0.56184
soft_f0_s0,soft,im0240,Q3,13823,0.11777,0.3266,0.09057,0.64825,0.94098,0.83329
soft_f0_s0,soft,im0240,Q4_clearest,7375,0.00841,0.09327,0.01225,0.93277,0.99384,0.89047
soft_f0_s0,soft,im0255,Q1_dimmest,12113,0.83035,0.17393,0.32818,0.14692,0.5076,0.28788
soft_f0_s0,soft,im0255,Q2,14210,0.55876,0.30566,0.27386,0.35575,0.75069,0.53032
soft_f0_s0,soft,im0255,Q3,14708,0.20118,0.35639,0.12445,0.61441,0.92056,0.80583
soft_f0_s0,soft,im0255,Q4_clearest,16385,0.02673,0.22208,0.02299,0.87854,0.98765,0.93094
soft_f0_s0,soft,im0291,Q1_dimmest,10378,0.64733,0.17159,0.26469,0.18,0.56053,0.33219
soft_f0_s0,soft,im0291,Q2,8228,0.29375,0.31207,0.19455,0.40118,0.81603,0.63262
soft_f0_s0,soft,im0291,Q3,6036,0.08764,0.38751,0.09296,0.6647,0.9378,0.86954
soft_f0_s0,soft,im0291,Q4_clearest,3979,0.00251,0.34634,0.01888,0.81454,0.98961,0.9418
soft_f0_s0,soft,im0319,Q1_dimmest,10024,0.72676,0.16056,0.27936,0.17994,0.48404,0.32263
