epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.436,0.8173,0.8256,85.35,27.2,4.3007,0.8
20,0.4099,0.8187,0.8274,81.85,26.2,4.0369,1.5
30,0.3988,0.8178,0.8246,79.2,26.4,4.2466,2.3
40,0.3875,0.8172,0.8238,74.6,27.55,4.3214,3.1
50,0.3802,0.8145,0.8203,79.7,28.1,4.4882,3.9
60,0.3735,0.8156,0.8203,71.3,26.15,4.4775,4.7
70,0.3708,0.8125,0.8157,81.2,29.75,4.4725,5.5
80,0.3619,0.8136,0.816,81.75,27.55,4.4879,6.2
90,0.3561,0.8123,0.8147,81.45,29.6,4.254,7.0
100,0.36,0.8106,0.8144,82.35,28.25,4.4352,7.8
