epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5665,0.8168,0.828,78.95,25.6,4.0582,1.2
20,0.5472,0.8205,0.8308,59.0,27.65,4.0414,2.3
30,0.5389,0.8204,0.8295,64.3,27.7,3.8182,3.4
40,0.5265,0.8235,0.8329,54.4,25.8,3.9991,4.6
50,0.5295,0.8215,0.8323,61.55,24.0,3.563,5.7
60,0.5229,0.8241,0.8343,57.9,26.3,3.7341,6.9
70,0.5231,0.8227,0.8355,59.05,26.15,3.5134,8.0
80,0.523,0.8201,0.8319,54.65,28.2,3.728,9.1
90,0.5189,0.8219,0.8326,55.05,29.15,3.7521,10.3
100,0.5152,0.8217,0.8328,64.35,28.15,3.508,11.4
