epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4271,0.8161,0.8248,76.95,28.85,4.3129,5.7
20,0.4061,0.8117,0.8182,85.45,30.2,4.4459,11.5
30,0.3922,0.8138,0.8203,90.45,28.05,4.4848,17.4
40,0.3786,0.8135,0.8179,92.25,26.65,4.5548,23.2
50,0.3662,0.8119,0.8171,78.8,30.2,4.692,29.0
60,0.3646,0.8098,0.8107,68.95,31.65,5.2193,34.7
70,0.3556,0.8091,0.8124,83.7,28.85,4.8676,40.5
80,0.349,0.8094,0.8116,77.15,27.9,4.8621,46.3
90,0.3482,0.8077,0.8077,92.35,28.9,4.6624,52.1
100,0.3402,0.8064,0.8052,93.65,30.3,4.735,57.9
