epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5613,0.8161,0.8278,65.85,29.75,4.2956,1.0
20,0.5417,0.8182,0.8303,67.75,28.8,3.9634,2.1
30,0.535,0.821,0.8308,60.0,28.4,3.8127,3.1
40,0.5275,0.8236,0.8342,56.7,28.8,3.8203,4.1
50,0.529,0.824,0.8334,55.3,26.4,3.9126,5.1
60,0.5257,0.8216,0.8337,52.25,26.6,3.8958,6.1
70,0.5201,0.822,0.8327,55.6,26.2,3.8714,7.1
80,0.5212,0.822,0.8316,56.55,28.2,3.7332,8.1
90,0.5221,0.823,0.8336,54.85,27.55,3.6608,9.2
100,0.5149,0.8228,0.8359,58.45,26.5,3.6198,10.2
